Tournament,Date,Winner,Loser,AvgW,AvgL
Brisbane International,2013-12-30,Matosevic M.,Benneteau J.,1.82,1.94
Brisbane International,2013-12-30,Nieminen J.,Duckworth J.,1.32,3.32
Brisbane International,2013-12-30,Cilic M.,Istomin D.,1.39,2.93
Brisbane International,2013-12-30,Querrey S.,Tursunov D.,1.92,1.83
Brisbane International,2013-12-30,Dimitrov G.,Haase R.,1.29,3.53
Brisbane International,2013-12-31,Mahut N.,Sijsling I.,2.37,1.56
Brisbane International,2013-12-31,Ebden M.,Kuznetsov Al.,1.31,3.34
Brisbane International,2013-12-31,Lopez F.,Kukushkin M.,1.71,2.09
Brisbane International,2013-12-31,Chardy J.,Mannarino A.,1.55,2.41
Brisbane International,2013-12-31,Copil M.,Sugita Y.,1.6,2.29
Brisbane International,2013-12-31,Hewitt L.,Kokkinakis T.,1.34,3.17
Brisbane International,2013-12-31,Groth S.,Harrison R.,2.72,1.43
Brisbane International,2014-01-01,Matosevic M.,Querrey S.,2.2,1.64
Brisbane International,2014-01-01,Cilic M.,Dimitrov G.,2.29,1.6
Brisbane International,2014-01-01,Nishikori K.,Ebden M.,1.37,3.02
Brisbane International,2014-01-01,Federer R.,Nieminen J.,1.13,5.77
Brisbane International,2014-01-02,Chardy J.,Mahut N.,1.74,2.04
Brisbane International,2014-01-02,Copil M.,Simon G.,2.85,1.41
Brisbane International,2014-01-02,Hewitt L.,Lopez F.,1.59,2.33
Brisbane International,2014-01-02,Groth S.,Herbert P.H.,1.55,2.41
Brisbane International,2014-01-03,Nishikori K.,Cilic M.,2.04,1.74
Brisbane International,2014-01-03,Hewitt L.,Copil M.,1.32,3.35
Brisbane International,2014-01-03,Chardy J.,Groth S.,1.42,2.83
Brisbane International,2014-01-03,Federer R.,Matosevic M.,1.08,7.72
Brisbane International,2014-01-04,Hewitt L.,Nishikori K.,2.35,1.58
Brisbane International,2014-01-04,Federer R.,Chardy J.,1.07,8.35
Brisbane International,2014-01-05,Hewitt L.,Federer R.,5.05,1.16
Chennai Open,2013-12-30,Lu Y.H.,Smyczek T.,1.57,2.36
Chennai Open,2013-12-30,Vesely J.,Nedunchezhiyan J.,1.13,5.75
Chennai Open,2013-12-30,Sela D.,Lacko L.,1.83,1.92
Chennai Open,2013-12-30,Pospisil V.,Edmund K.,1.12,6.03
Chennai Open,2013-12-31,Bedene A.,Laaksonen H.,1.84,1.91
Chennai Open,2013-12-31,Roger-Vasselin E.,Ramos A.,1.34,3.17
Chennai Open,2013-12-31,Bhambri Y.,Carreno-Busta P.,2.2,1.64
Chennai Open,2013-12-31,Kudryavtsev A.,Bautista R.,4.22,1.21
Chennai Open,2013-12-31,Ramanathan R.,Devvarman S.,4.88,1.16
Chennai Open,2013-12-31,Becker B.,Reister J.,1.44,2.73
Chennai Open,2013-12-31,Granollers M.,Albot R.,1.31,3.36
Chennai Open,2013-12-31,Garcia-Lopez G.,Nedovyesov A.,1.47,2.61
Chennai Open,2014-01-01,Roger-Vasselin E.,Vesely J.,1.35,3.11
Chennai Open,2014-01-01,Sela D.,Youzhny M.,3.07,1.35
Chennai Open,2014-01-01,Wawrinka S.,Becker B.,1.19,4.54
Chennai Open,2014-01-01,Bedene A.,Kudryavtsev A.,1.52,2.49
Chennai Open,2014-01-02,Bhambri Y.,Fognini F.,2.24,1.63
Chennai Open,2014-01-02,Granollers M.,Ramanathan R.,1.15,5.21
Chennai Open,2014-01-02,Pospisil V.,Lu Y.H.,1.41,2.81
Chennai Open,2014-01-02,Paire B.,Garcia-Lopez G.,1.75,2.03
Chennai Open,2014-01-03,Roger-Vasselin E.,Sela D.,1.64,2.21
Chennai Open,2014-01-03,Wawrinka S.,Bedene A.,1.11,6.29
Chennai Open,2014-01-03,Granollers M.,Paire B.,2.29,1.6
Chennai Open,2014-01-03,Pospisil V.,Bhambri Y.,1.38,2.99
Chennai Open,2014-01-04,Roger-Vasselin E.,Granollers M.,1.81,1.96
Chennai Open,2014-01-04,Wawrinka S.,Pospisil V.,1.24,4.0
Chennai Open,2014-01-05,Wawrinka S.,Roger-Vasselin E.,1.22,4.2
Qatar Exxon Mobil Open,2013-12-30,Monfils G.,Giraldo S.,1.32,3.26
Qatar Exxon Mobil Open,2013-12-30,Kubot L.,Gimeno-Traver D.,1.57,2.34
Qatar Exxon Mobil Open,2013-12-30,Karlovic I.,Berdych T.,4.49,1.19
Qatar Exxon Mobil Open,2013-12-30,Verdasco F.,Volandri F.,1.08,7.63
Qatar Exxon Mobil Open,2013-12-30,Hanescu V.,Sousa J.,2.59,1.48
Qatar Exxon Mobil Open,2013-12-30,Kamke T.,Jaziri M.,1.54,2.43
Qatar Exxon Mobil Open,2013-12-31,Brown D.,Dodig I.,3.01,1.37
Qatar Exxon Mobil Open,2013-12-31,Gojowczyk P.,Thiem D.,2.14,1.68
Qatar Exxon Mobil Open,2013-12-31,Murray A.,Zayed M.S.,1.01,34.46
Qatar Exxon Mobil Open,2013-12-31,Brands D.,Davydenko N.,1.96,1.8
Qatar Exxon Mobil Open,2013-12-31,Ferrer D.,Dolgopolov O.,1.16,5.09
