Tournament,Date,Winner,Loser,AvgW,AvgL
AAPT Championships,05/01/2004,Spadea V.,Melzer J.,1.45,2.62
AAPT Championships,05/01/2004,Dent T.,Horna L.,1.2,4.18
AAPT Championships,05/01/2004,Martin A.,Ancic M.,2.08,1.67
AAPT Championships,05/01/2004,Beck K.,Vahaly B.,1.75,2.05
AAPT Championships,05/01/2004,Nieminen J.,Moodie W.,1.42,2.7
AAPT Championships,05/01/2004,Johansson T.,Rochus C.,1.73,2.03
AAPT Championships,05/01/2004,Arthurs W.,Karlovic I.,1.82,1.89
AAPT Championships,06/01/2004,Sanguinetti D.,Elsner D.,1.71,2.01
AAPT Championships,06/01/2004,Lapentti N.,Labadze I.,1.52,2.39
AAPT Championships,06/01/2004,Hrbaty D.,Benneteau J.,1.57,2.31
AAPT Championships,06/01/2004,Clement A.,Hanescu V.,1.46,2.57
AAPT Championships,06/01/2004,Llodra M.,Burgsmuller L.,1.58,2.25
AAPT Championships,07/01/2004,Saulnier C.,Ginepri R.,2.5,1.48
AAPT Championships,07/01/2004,Sluiter R.,Canas G.,2.93,1.38
AAPT Championships,07/01/2004,Rusedski G.,Wawrinka S.,1.2,4.2
AAPT Championships,07/01/2004,Reid T.,Ferreira W.,2.67,1.43
AAPT Championships,07/01/2004,Llodra M.,Lapentti N.,2.0,1.73
AAPT Championships,07/01/2004,Johansson T.,Clement A.,2.28,1.57
AAPT Championships,07/01/2004,Spadea V.,Arthurs W.,1.61,2.22
AAPT Championships,07/01/2004,Dent T.,Beck K.,1.3,3.3
AAPT Championships,08/01/2004,Nieminen J.,Sanguinetti D.,1.6,2.23
AAPT Championships,08/01/2004,Reid T.,Sluiter R.,1.97,1.75
AAPT Championships,08/01/2004,Saulnier C.,Rusedski G.,2.67,1.43
AAPT Championships,08/01/2004,Hrbaty D.,Martin A.,1.71,2.03
AAPT Championships,09/01/2004,Nieminen J.,Reid T.,1.61,2.23
AAPT Championships,09/01/2004,Hrbaty D.,Saulnier C.,1.77,1.94
AAPT Championships,09/01/2004,Llodra M.,Spadea V.,2.32,1.56
AAPT Championships,09/01/2004,Dent T.,Johansson T.,1.62,2.19
AAPT Championships,10/01/2004,Hrbaty D.,Nieminen J.,2.16,1.64
AAPT Championships,10/01/2004,Llodra M.,Dent T.,2.82,1.39
AAPT Championships,11/01/2004,Hrbaty D.,Llodra M.,1.69,2.06
TATA Open,05/01/2004,Ferrer D.,Verdasco F.,1.73,1.99
TATA Open,05/01/2004,Levy H.,Portas A.,1.6,2.21
TATA Open,05/01/2004,van Lottum J.,Blanco G.,1.44,2.64
TATA Open,05/01/2004,Andreev I.,Ramirez-Hidalgo R.,1.47,2.55
TATA Open,05/01/2004,Amritraj P.,Mankad H.,1.48,2.35
TATA Open,05/01/2004,Dupuis A.,Popp A.,1.75,1.99
TATA Open,05/01/2004,Goldstein P.,Mutis O.,1.7,2.06
TATA Open,05/01/2004,Lisnard J.R.,Pless K.,1.52,2.38
TATA Open,06/01/2004,Srichaphan P.,Montanes A.,1.15,5.02
TATA Open,06/01/2004,Schalken S.,Udomchoke D.,1.13,5.44
TATA Open,06/01/2004,Knowle J.,Rastogi K.,,
TATA Open,06/01/2004,Moya C.,Okun N.,1.14,5.08
TATA Open,06/01/2004,Mantilla F.,Vacek J.,1.65,2.12
TATA Open,06/01/2004,Carlsen K.,Mathieu P.H.,2.18,1.61
TATA Open,06/01/2004,Robredo T.,Tursunov D.,1.43,2.65
TATA Open,06/01/2004,Ascione T.,Nadal R.,2.71,1.42
TATA Open,07/01/2004,Lisnard J.R.,Dupuis A.,1.94,1.77
TATA Open,07/01/2004,Srichaphan P.,Levy H.,1.16,4.79
TATA Open,07/01/2004,Andreev I.,Ferrer D.,1.92,1.8
TATA Open,07/01/2004,Robredo T.,Carlsen K.,1.56,2.29
TATA Open,08/01/2004,Ascione T.,Amritraj P.,1.29,3.37
TATA Open,08/01/2004,Moya C.,Goldstein P.,1.21,4.16
TATA Open,08/01/2004,Mantilla F.,van Lottum J.,1.56,2.32
TATA Open,08/01/2004,Schalken S.,Knowle J.,1.16,4.89
TATA Open,09/01/2004,Srichaphan P.,Andreev I.,1.24,3.82
TATA Open,09/01/2004,Schalken S.,Mantilla F.,1.46,2.56
TATA Open,09/01/2004,Moya C.,Ascione T.,1.26,3.61
TATA Open,09/01/2004,Robredo T.,Lisnard J.R.,1.36,2.98
TATA Open,10/01/2004,Srichaphan P.,Robredo T.,1.46,2.57
TATA Open,10/01/2004,Moya C.,Schalken S.,1.6,2.23
TATA Open,11/01/2004,Moya C.,Srichaphan P.,1.69,2.03
Qatar Exxon Mobil Open,05/01/2004,Heuberger I.,Khalfan S.,,
Qatar Exxon Mobil Open,05/01/2004,Sargsian S.,Carraz G.,1.66,2.12
Qatar Exxon Mobil Open,05/01/2004,Youzhny M.,Schuettler R.,2.87,1.38
Qatar Exxon Mobil Open,05/01/2004,Ulihrach B.,Kiefer N.,2.16,1.63
Qatar Exxon Mobil Open,05/01/2004,Arazi H.,Enqvist T.,1.94,1.79
Qatar Exxon Mobil Open,05/01/2004,Henman T.,Sanchez D.,1.11,5.97
Qatar Exxon Mobil Open,06/01/2004,Grosjean S.,Hantschk M.,1.17,4.54
Qatar Exxon Mobil Open,06/01/2004,Chela J.I.,Rochus O.,1.5,2.47
