Tournament,Date,Winner,Loser,AvgW,AvgL
Brisbane International,2012-01-01,Duckworth J.,Mahut N.,4.35,1.2
Brisbane International,2012-01-01,Dolgopolov O.,Falla A.,1.28,3.59
Brisbane International,2012-01-02,Istomin D.,Mayer F.,3.1,1.35
Brisbane International,2012-01-02,Tomic B.,Benneteau J.,1.63,2.22
Brisbane International,2012-01-02,Muller G.,Mello R.,1.4,2.86
Brisbane International,2012-01-02,Simon G.,Sweeting R.,1.2,4.25
Brisbane International,2012-01-02,Baghdatis M.,Harrison R.,1.41,2.79
Brisbane International,2012-01-03,Nishikori K.,Stebe C.M.,1.25,3.8
Brisbane International,2012-01-03,Nieminen J.,Levine J.,1.38,2.94
Brisbane International,2012-01-03,Ito T.,Mitchell B.,1.49,2.52
Brisbane International,2012-01-03,Stepanek R.,Ebden M.,1.53,2.43
Brisbane International,2012-01-03,Giraldo S.,Millman J.,1.28,3.53
Brisbane International,2012-01-03,Petzschner P.,Melzer J.,2.34,1.58
Brisbane International,2012-01-03,Haas T.,Matosevic M.,1.55,2.37
Brisbane International,2012-01-03,Andreev I.,Mannarino A.,1.85,1.89
Brisbane International,2012-01-03,Murray A.,Kukushkin M.,1.02,13.93
Brisbane International,2012-01-04,Simon G.,Duckworth J.,1.09,6.69
Brisbane International,2012-01-04,Stepanek R.,Nieminen J.,1.55,2.38
Brisbane International,2012-01-04,Istomin D.,Haas T.,2.02,1.75
Brisbane International,2012-01-04,Giraldo S.,Petzschner P.,1.93,1.81
Brisbane International,2012-01-04,Dolgopolov O.,Andreev I.,1.39,2.9
Brisbane International,2012-01-04,Baghdatis M.,Nishikori K.,1.6,2.27
Brisbane International,2012-01-04,Tomic B.,Ito T.,1.24,3.91
Brisbane International,2012-01-04,Murray A.,Muller G.,1.1,6.36
Brisbane International,2012-01-05,Simon G.,Giraldo S.,1.47,2.63
Brisbane International,2012-01-05,Dolgopolov O.,Stepanek R.,2.06,1.72
Brisbane International,2012-01-06,Murray A.,Baghdatis M.,1.28,3.53
Brisbane International,2012-01-06,Tomic B.,Istomin D.,1.3,3.42
Brisbane International,2012-01-07,Dolgopolov O.,Simon G.,2.2,1.64
Brisbane International,2012-01-07,Murray A.,Tomic B.,1.2,4.33
Brisbane International,2012-01-08,Murray A.,Dolgopolov O.,1.17,4.78
Chennai Open,2012-01-02,Bhambri Y.,Beck K.,2.98,1.37
Chennai Open,2012-01-02,Sela D.,Fognini F.,1.54,2.4
Chennai Open,2012-01-02,Dodig I.,Vardhan V.,1.15,5.16
Chennai Open,2012-01-02,Paire B.,Riba P.,1.59,2.29
Chennai Open,2012-01-03,Roger-Vasselin E.,Prodon E.,1.29,3.42
Chennai Open,2012-01-03,Sugita Y.,Rochus O.,2.47,1.51
Chennai Open,2012-01-03,Hanescu V.,Querrey S.,3.41,1.3
Chennai Open,2012-01-03,Lu Y.H.,De Bakker T.,1.73,2.05
Chennai Open,2012-01-03,Beck A.,Pospisil V.,2.25,1.6
Chennai Open,2012-01-03,Goffin D.,Malisse X.,2.94,1.38
Chennai Open,2012-01-03,Darcis S.,Kavcic B.,1.65,2.16
Chennai Open,2012-01-03,Soeda G.,Gil F.,1.47,2.59
Chennai Open,2012-01-04,Sela D.,Paire B.,1.53,2.43
Chennai Open,2012-01-04,Raonic M.,Hanescu V.,1.31,3.31
Chennai Open,2012-01-04,Wawrinka S.,Roger-Vasselin E.,1.2,4.29
Chennai Open,2012-01-04,Soeda G.,Dodig I.,2.87,1.39
Chennai Open,2012-01-05,Almagro N.,Darcis S.,1.41,2.79
Chennai Open,2012-01-05,Goffin D.,Beck A.,2.08,1.71
Chennai Open,2012-01-05,Sugita Y.,Lu Y.H.,3.08,1.35
Chennai Open,2012-01-05,Tipsarevic J.,Bhambri Y.,1.05,9.16
Chennai Open,2012-01-06,Raonic M.,Sela D.,1.22,4.03
Chennai Open,2012-01-06,Soeda G.,Wawrinka S.,4.7,1.17
Chennai Open,2012-01-06,Almagro N.,Sugita Y.,1.33,3.16
Chennai Open,2012-01-06,Tipsarevic J.,Goffin D.,1.1,6.56
Chennai Open,2012-01-07,Raonic M.,Almagro N.,1.4,2.84
Chennai Open,2012-01-07,Tipsarevic J.,Soeda G.,1.14,5.28
Chennai Open,2012-01-08,Raonic M.,Tipsarevic J.,1.68,2.1
Qatar Exxon Mobil Open,2012-01-02,Seppi A.,Kubot L.,1.56,2.34
Qatar Exxon Mobil Open,2012-01-02,Ramos A.,Tursunov D.,2.83,1.4
Qatar Exxon Mobil Open,2012-01-02,Cipolla F.,Al Mutawa J.,1.02,15.02
Qatar Exxon Mobil Open,2012-01-02,Troicki V.,Rosol L.,1.19,4.44
Qatar Exxon Mobil Open,2012-01-02,Bogomolov A.,Volandri F.,1.11,6.05
Qatar Exxon Mobil Open,2012-01-02,Becker B.,Kunitsyn I.,2.0,1.76
Qatar Exxon Mobil Open,2012-01-03,Bachinger M.,Bautista R.,1.6,2.27
Qatar Exxon Mobil Open,2012-01-03,Gremelmayr D.,Starace P.,2.12,1.67
Qatar Exxon Mobil Open,2012-01-03,Tsonga J.W.,Jaziri M.,1.03,11.14
Qatar Exxon Mobil Open,2012-01-03,Karlovic I.,Stakhovsky S.,1.6,2.25
Qatar Exxon Mobil Open,2012-01-03,Garcia-Lopez G.,Andujar P.,1.36,2.99
Qatar Exxon Mobil Open,2012-01-03,Zemlja G.,Bubka S.,1.45,2.63
Qatar Exxon Mobil Open,2012-01-03,Youzhny M.,Gulbis E.,1.83,1.89
Qatar Exxon Mobil Open,2012-01-03,Nadal R.,Kohlschreiber P.,1.1,6.72
Qatar Exxon Mobil Open,2012-01-03,Federer R.,Davydenko N.,1.11,6.22
Qatar Exxon Mobil Open,2012-01-03,Monfils G.,Machado R.,1.06,8.88
Qatar Exxon Mobil Open,2012-01-04,Troicki V.,Bachinger M.,1.27,3.57
Qatar Exxon Mobil Open,2012-01-04,Tsonga J.W.,Cipolla F.,1.08,7.34
Qatar Exxon Mobil Open,2012-01-04,Seppi A.,Garcia-Lopez G.,1.36,2.99
Qatar Exxon Mobil Open,2012-01-04,Youzhny M.,Karlovic I.,1.69,2.1
Qatar Exxon Mobil Open,2012-01-04,Nadal R.,Gremelmayr D.,1.02,13.39
Qatar Exxon Mobil Open,2012-01-04,Ramos A.,Bogomolov A.,2.31,1.58
Qatar Exxon Mobil Open,2012-01-04,Federer R.,Zemlja G.,1.02,16.92
Qatar Exxon Mobil Open,2012-01-04,Monfils G.,Becker B.,1.15,5.04
Qatar Exxon Mobil Open,2012-01-05,Tsonga J.W.,Ramos A.,1.07,7.85
Qatar Exxon Mobil Open,2012-01-05,Federer R.,Seppi A.,1.02,13.43
Qatar Exxon Mobil Open,2012-01-05,Nadal R.,Youzhny M.,1.11,5.98
Qatar Exxon Mobil Open,2012-01-05,Monfils G.,Troicki V.,1.66,2.16
Qatar Exxon Mobil Open,2012-01-06,Tsonga J.W.,Federer R.,2.51,1.5
Qatar Exxon Mobil Open,2012-01-06,Monfils G.,Nadal R.,3.93,1.24
Qatar Exxon Mobil Open,2012-01-07,Tsonga J.W.,Monfils G.,1.73,2.06
Heineken Open,2012-01-09,Falla A.,Young D.,2.28,1.6
Heineken Open,2012-01-09,Bellucci T.,Machado R.,1.32,3.24
Heineken Open,2012-01-09,Giraldo S.,Venus M.,1.08,7.32
Heineken Open,2012-01-10,Berlocq C.,Volandri F.,1.23,3.97
Heineken Open,2012-01-10,Garcia-Lopez G.,Kunitsyn I.,1.67,2.14
