Tournament,Date,Winner,Loser,AvgW,AvgL
Adelaide International 1,2022-01-03,Kwon S.W.,Nishioka Y.,1.64,2.22
Adelaide International 1,2022-01-03,Monteiro T.,Altmaier D.,2.38,1.57
Adelaide International 1,2022-01-03,Djere L.,Carballes Baena R.,1.7,2.12
Adelaide International 1,2022-01-03,Johnson S.,Vukic A.,2.1,1.72
Adelaide International 1,2022-01-04,Moutet C.,Rune H.,2.64,1.47
Adelaide International 1,2022-01-04,Daniel T.,Musetti L.,2.09,1.73
Adelaide International 1,2022-01-04,Gerasimov E.,Fucsovics M.,2.62,1.48
Adelaide International 1,2022-01-04,Ymer M.,Bonzi B.,2.04,1.77
Adelaide International 1,2022-01-04,Cerundolo J.M.,Bolt A.,2.89,1.41
Adelaide International 1,2022-01-04,Paul T.,Vesely J.,1.32,3.35
Adelaide International 1,2022-01-04,Mager G.,Cerundolo F.,1.9,1.88
Adelaide International 1,2022-01-04,Kokkinakis T.,Millman J.,1.77,2.03
Adelaide International 1,2022-01-05,Djere L.,Moutet C.,2.28,1.62
Adelaide International 1,2022-01-05,Cilic M.,Monteiro T.,1.3,3.44
Adelaide International 1,2022-01-05,Ymer M.,Kwon S.W.,2.31,1.6
Adelaide International 1,2022-01-05,Kokkinakis T.,Tiafoe F.,2.26,1.63
Adelaide International 1,2022-01-06,Paul T.,Daniel T.,1.29,3.5
Adelaide International 1,2022-01-06,Gerasimov E.,Mager G.,1.67,2.18
Adelaide International 1,2022-01-06,Khachanov K.,Johnson S.,1.24,3.91
Adelaide International 1,2022-01-06,Monfils G.,Cerundolo J.M.,1.18,4.68
Adelaide International 1,2022-01-07,Cilic M.,Djere L.,1.29,3.58
Adelaide International 1,2022-01-07,Monfils G.,Paul T.,1.56,2.42
Adelaide International 1,2022-01-07,Khachanov K.,Gerasimov E.,1.26,3.81
Adelaide International 1,2022-01-07,Kokkinakis T.,Ymer M.,1.63,2.26
Adelaide International 1,2022-01-08,Khachanov K.,Cilic M.,2.14,1.7
Adelaide International 1,2022-01-08,Monfils G.,Kokkinakis T.,1.37,3.04
Adelaide International 1,2022-01-09,Monfils G.,Khachanov K.,1.6,2.34
Melbourne Summer Set,2022-01-04,Bagnis F.,Murray A.,7.51,1.08
Melbourne Summer Set,2022-01-04,Van De Zandschulp B.,Mannarino A.,1.46,2.67
Melbourne Summer Set,2022-01-04,Mcdonald M.,Gojowczyk P.,1.36,3.05
Melbourne Summer Set,2022-01-04,Griekspoor T.,Koepfer D.,1.54,2.46
Melbourne Summer Set,2022-01-05,Berankis R.,Giron M.,2.27,1.63
Melbourne Summer Set,2022-01-05,Thompson J.,O Connell C.,1.92,1.87
Melbourne Summer Set,2022-01-05,Ruusuvuori E.,Baez S.,1.48,2.62
Melbourne Summer Set,2022-01-05,Laaksonen H.,Paire B.,1.37,3.1
Melbourne Summer Set,2022-01-05,Molcan A.,Seppi A.,1.66,2.19
Melbourne Summer Set,2022-01-05,Popyrin A.,Travaglia S.,1.52,2.51
Melbourne Summer Set,2022-01-05,Cressy M.,Hijikata R.,1.43,2.79
Melbourne Summer Set,2022-01-05,Munar J.,Anderson K.,2.77,1.43
Melbourne Summer Set,2022-01-06,Ruusuvuori E.,Thompson J.,1.43,2.79
Melbourne Summer Set,2022-01-06,Molcan A.,Goffin D.,1.57,2.38
Melbourne Summer Set,2022-01-06,Dimitrov G.,Bagnis F.,1.16,5.04
Melbourne Summer Set,2022-01-06,Nadal R.,Berankis R.,1.14,5.44
Melbourne Summer Set,2022-01-06,Munar J.,Laaksonen H.,2.11,1.71
Melbourne Summer Set,2022-01-06,Griekspoor T.,Popyrin A.,1.83,1.96
Melbourne Summer Set,2022-01-06,Cressy M.,Opelka R.,2.22,1.64
