Tournament,Date,Winner,Loser,AvgW,AvgL
Brisbane International,04/01/2010,Gasquet R.,Nieminen J.,1.5,2.55
Brisbane International,04/01/2010,Odesnik W.,Clement A.,2.22,1.64
Brisbane International,04/01/2010,Gicquel M.,Petzschner P.,1.64,2.21
Brisbane International,04/01/2010,Falla A.,Chardy J.,2.56,1.5
Brisbane International,04/01/2010,Levy H.,Llodra M.,2.68,1.48
Brisbane International,04/01/2010,Bellucci T.,Chela J.I.,1.67,2.15
Brisbane International,04/01/2010,Stepanek R.,Millman J.,1.05,9.64
Brisbane International,04/01/2010,Roddick A.,Luczak P.,1.11,6.37
Brisbane International,05/01/2010,Dolgopolov O.,Tomic B.,1.75,2.03
Brisbane International,05/01/2010,Berdych T.,Lindahl N.,1.16,5.04
Brisbane International,05/01/2010,Baghdatis M.,Fish M.,1.38,2.98
Brisbane International,05/01/2010,Ball C.,Zverev M.,2.06,1.74
Brisbane International,05/01/2010,Blake J.,Querrey S.,1.68,2.13
Brisbane International,05/01/2010,Ebden M.,Melzer J.,3.56,2.6
Brisbane International,05/01/2010,Serra F.,Reister J.,1.44,2.7
Brisbane International,05/01/2010,Monfils G.,Dent T.,1.26,3.76
Brisbane International,06/01/2010,Blake J.,Gicquel M.,1.35,3.13
Brisbane International,06/01/2010,Stepanek R.,Dolgopolov O.,1.13,5.68
Brisbane International,06/01/2010,Odesnik W.,Falla A.,2.17,1.66
Brisbane International,06/01/2010,Roddick A.,Ball C.,1.08,7.47
Brisbane International,06/01/2010,Gasquet R.,Ebden M.,1.2,4.46
Brisbane International,06/01/2010,Bellucci T.,Levy H.,1.44,2.72
Brisbane International,06/01/2010,Monfils G.,Serra F.,1.2,4.38
Brisbane International,06/01/2010,Berdych T.,Baghdatis M.,1.8,1.97
Brisbane International,07/01/2010,Stepanek R.,Odesnik W.,1.21,4.25
Brisbane International,07/01/2010,Monfils G.,Blake J.,1.64,2.21
Brisbane International,08/01/2010,Berdych T.,Bellucci T.,1.24,3.89
Brisbane International,08/01/2010,Roddick A.,Gasquet R.,1.29,3.54
Brisbane International,09/01/2010,Stepanek R.,Monfils G.,2.14,1.68
Brisbane International,09/01/2010,Roddick A.,Berdych T.,1.35,3.17
Brisbane International,10/01/2010,Roddick A.,Stepanek R.,1.42,2.82
Chennai Open,04/01/2010,Cilic M.,Kunitsyn I.,1.13,5.63
Chennai Open,04/01/2010,Hajek J.,Greul S.,2.56,1.49
Chennai Open,04/01/2010,Giraldo S.,Phau B.,1.98,1.79
Chennai Open,04/01/2010,Tipsarevic J.,Moya C.,1.42,2.82
Chennai Open,04/01/2010,De Bakker T.,Ram R.,1.93,1.82
Chennai Open,05/01/2010,Granollers M.,Ward J.,1.41,2.86
Chennai Open,05/01/2010,Russell M.,Amritraj P.,1.52,2.48
Chennai Open,05/01/2010,Ginepri R.,Soderling R.,6.6,1.1
Chennai Open,05/01/2010,Lacko L.,Lu Y.H.,1.89,1.85
Chennai Open,05/01/2010,Haase R.,Yang T.H.,1.34,3.24
Chennai Open,05/01/2010,Devvarman S.,Schuettler R.,1.65,2.18
Chennai Open,05/01/2010,Berrer M.,Ventura S.,1.3,3.44
Chennai Open,05/01/2010,Sela D.,Istomin D.,1.83,1.94
Chennai Open,05/01/2010,Robert S.,Sorensen L.,1.51,2.53
Chennai Open,05/01/2010,Kim K.,Brands D.,1.97,1.8
Chennai Open,05/01/2010,Wawrinka S.,Bopanna R.,1.11,6.24
Chennai Open,06/01/2010,De Bakker T.,Haase R.,2.22,1.65
Chennai Open,06/01/2010,Giraldo S.,Hajek J.,1.64,2.21
Chennai Open,06/01/2010,Cilic M.,Granollers M.,1.11,6.52
Chennai Open,06/01/2010,Tipsarevic J.,Devvarman S.,1.37,3.03
Chennai Open,07/01/2010,Sela D.,Kim K.,1.55,2.41
Chennai Open,07/01/2010,Lacko L.,Ginepri R.,2.61,1.47
Chennai Open,07/01/2010,Berrer M.,Robert S.,1.45,2.69
Chennai Open,07/01/2010,Wawrinka S.,Russell M.,1.21,4.24
Chennai Open,08/01/2010,Wawrinka S.,Berrer M.,1.26,3.8
Chennai Open,08/01/2010,Tipsarevic J.,De Bakker T.,1.32,3.36
Chennai Open,08/01/2010,Sela D.,Lacko L.,1.69,2.12
Chennai Open,08/01/2010,Cilic M.,Giraldo S.,1.09,7.03
Chennai Open,09/01/2010,Cilic M.,Tipsarevic J.,1.42,2.79
Chennai Open,09/01/2010,Wawrinka S.,Sela D.,1.27,3.68
Chennai Open,10/01/2010,Cilic M.,Wawrinka S.,1.51,2.57
Qatar Exxon Mobil Open,04/01/2010,Troicki V.,Gimeno-Traver D.,1.19,4.59
Qatar Exxon Mobil Open,04/01/2010,Stakhovsky S.,Youzhny M.,3.72,1.26
Qatar Exxon Mobil Open,04/01/2010,Korolev E.,Vassallo-Arguello M.,1.24,3.93
Qatar Exxon Mobil Open,04/01/2010,Rochus O.,Hajji A.,1.03,11.69
Qatar Exxon Mobil Open,04/01/2010,Chiudinelli M.,Lorenzi P.,1.33,3.3
Qatar Exxon Mobil Open,04/01/2010,Karlovic I.,Fognini F.,1.37,2.99
Qatar Exxon Mobil Open,04/01/2010,Starace P.,Gil F.,2.35,1.57
Qatar Exxon Mobil Open,04/01/2010,Gulbis E.,Montanes A.,1.39,2.93
Qatar Exxon Mobil Open,05/01/2010,El Aynaoui Y.,De Heart R.,2.62,1.47
Qatar Exxon Mobil Open,05/01/2010,Darcis S.,Garcia-Lopez G.,2.44,1.54
Qatar Exxon Mobil Open,05/01/2010,Seppi A.,Hernandez O.,1.23,4.02
Qatar Exxon Mobil Open,05/01/2010,Becker B.,Koellerer D.,1.56,2.36
Qatar Exxon Mobil Open,05/01/2010,Kubot L.,Maamoun K.,1.21,4.37
Qatar Exxon Mobil Open,05/01/2010,Nadal R.,Bolelli S.,1.03,11.86
Qatar Exxon Mobil Open,05/01/2010,Federer R.,Rochus C.,1.01,17.5
Qatar Exxon Mobil Open,05/01/2010,Davydenko N.,Kukushkin M.,1.07,8.39
Qatar Exxon Mobil Open,06/01/2010,Darcis S.,El Aynaoui Y.,1.45,2.67
Qatar Exxon Mobil Open,06/01/2010,Kubot L.,Stakhovsky S.,2.03,1.76
Qatar Exxon Mobil Open,06/01/2010,Federer R.,Korolev E.,1.02,13.4
Qatar Exxon Mobil Open,06/01/2010,Troicki V.,Rochus O.,1.51,2.51
Qatar Exxon Mobil Open,06/01/2010,Davydenko N.,Chiudinelli M.,1.13,5.97
