Tournament,Date,Winner,Loser,AvgW,AvgL
Brisbane International,2023-12-31,Popyrin A.,O Connell C.,1.68,2.17
Brisbane International,2023-12-31,Shevchenko A.,Van Assche L.,1.7,2.14
Brisbane International,2024-01-01,Safiullin R.,Shelton B.,2.24,1.63
Brisbane International,2024-01-01,Rune H.,Purcell M.,1.28,3.65
Brisbane International,2024-01-01,Dimitrov G.,Murray A.,1.33,3.25
Brisbane International,2024-01-02,Hanfmann Y.,Korda S.,4.16,1.22
Brisbane International,2024-01-02,Klein L.,Baez S.,2.04,1.76
Brisbane International,2024-01-02,Duckworth J.,Wolf J.J.,2.24,1.63
Brisbane International,2024-01-02,Altmaier D.,Tu L.,1.59,2.32
Brisbane International,2024-01-02,Machac T.,Etcheverry T.,1.37,3.02
Brisbane International,2024-01-02,Thompson J.,Vukic A.,1.54,2.46
Brisbane International,2024-01-02,Kubler J.,Karatsev A.,2.58,1.49
Brisbane International,2024-01-02,Arnaldi M.,Fucsovics M.,1.82,1.98
Brisbane International,2024-01-02,Nadal R.,Thiem D.,1.58,2.33
Brisbane International,2024-01-02,Hijikata R.,Kokkinakis T.,2.57,1.49
Brisbane International,2024-01-03,Humbert U.,Michelsen A.,1.4,2.87
Brisbane International,2024-01-03,Duckworth J.,Hanfmann Y.,1.89,1.88
Brisbane International,2024-01-03,Arnaldi M.,Klein L.,1.54,2.43
Brisbane International,2024-01-03,Safiullin R.,Popyrin A.,1.52,2.49
Brisbane International,2024-01-03,Rune H.,Shevchenko A.,1.29,3.53
Brisbane International,2024-01-04,Hijikata R.,Machac T.,2.48,1.53
Brisbane International,2024-01-04,Thompson J.,Humbert U.,2.54,1.5
Brisbane International,2024-01-04,Dimitrov G.,Altmaier D.,1.13,5.83
Brisbane International,2024-01-04,Nadal R.,Kubler J.,1.15,5.22
Brisbane International,2024-01-05,Safiullin R.,Arnaldi M.,1.39,2.96
Brisbane International,2024-01-05,Rune H.,Duckworth J.,1.16,5.04
Brisbane International,2024-01-05,Dimitrov G.,Hijikata R.,1.13,5.88
Brisbane International,2024-01-05,Thompson J.,Nadal R.,5.54,1.14
Brisbane International,2024-01-06,Rune H.,Safiullin R.,1.56,2.4
Brisbane International,2024-01-06,Dimitrov G.,Thompson J.,1.23,4.07
Brisbane International,2024-01-07,Dimitrov G.,Rune H.,1.93,1.86
Hong Kong Tennis Open,2024-01-01,Shang J.,Djere L.,2.13,1.7
Hong Kong Tennis Open,2024-01-01,Kotov P.,Borges N.,1.97,1.81
Hong Kong Tennis Open,2024-01-01,Ruusuvuori E.,Bonzi B.,1.55,2.38
Hong Kong Tennis Open,2024-01-01,Van De Zandschulp B.,Mochizuki S.,1.3,3.48
Hong Kong Tennis Open,2024-01-02,Kecmanovic M.,Daniel T.,1.55,2.41
Hong Kong Tennis Open,2024-01-02,Broady L.,Cachin P.,1.37,3.03
Hong Kong Tennis Open,2024-01-02,Ofner S.,Mcdonald M.,2.66,1.46
Hong Kong Tennis Open,2024-01-02,Struff J.L.,Cilic M.,1.56,2.41
Hong Kong Tennis Open,2024-01-02,Bautista Agut R.,Marozsan F.,1.63,2.24
Hong Kong Tennis Open,2024-01-02,Huesler M.A.,Sachko V.,1.51,2.51
Hong Kong Tennis Open,2024-01-02,Fils A.,Gojo B.,1.54,2.42
Hong Kong Tennis Open,2024-01-02,Musetti L.,Wong C.,1.2,4.35
Hong Kong Tennis Open,2024-01-03,Shang J.,Van De Zandschulp B.,2.37,1.57
Hong Kong Tennis Open,2024-01-03,Tiafoe F.,Kecmanovic M.,1.79,2.0
Hong Kong Tennis Open,2024-01-03,Ruusuvuori E.,Khachanov K.,2.25,1.62
Hong Kong Tennis Open,2024-01-03,Kotov P.,Musetti L.,2.17,1.67
Hong Kong Tennis Open,2024-01-04,Ofner S.,Struff J.L.,2.09,1.73
Hong Kong Tennis Open,2024-01-04,Bautista Agut R.,Cerundolo F.,1.41,2.85
Hong Kong Tennis Open,2024-01-04,Fils A.,Huesler M.A.,1.4,2.91
Hong Kong Tennis Open,2024-01-04,Rublev A.,Broady L.,1.09,7.05
Hong Kong Tennis Open,2024-01-05,Ruusuvuori E.,Kotov P.,1.6,2.29
Hong Kong Tennis Open,2024-01-05,Ofner S.,Bautista Agut R.,2.83,1.42
Hong Kong Tennis Open,2024-01-05,Shang J.,Tiafoe F.,3.51,1.29
Hong Kong Tennis Open,2024-01-05,Rublev A.,Fils A.,1.29,3.54
Hong Kong Tennis Open,2024-01-06,Ruusuvuori E.,Ofner S.,1.62,2.28
Hong Kong Tennis Open,2024-01-06,Rublev A.,Shang J.,1.15,5.27
Hong Kong Tennis Open,2024-01-07,Rublev A.,Ruusuvuori E.,1.29,3.59
Adelaide International,2024-01-08,Draper J.,Baez S.,1.2,4.46
Adelaide International,2024-01-08,Shevchenko A.,Etcheverry T.,1.69,2.15
Adelaide International,2024-01-08,Kecmanovic M.,Mcdonald M.,1.54,2.43
Adelaide International,2024-01-08,Lajovic D.,Kokkinakis T.,2.59,1.48
Adelaide International,2024-01-08,Arnaldi M.,Zapata Miralles B.,1.15,5.29
Adelaide International,2024-01-09,O Connell C.,Rinderknech A.,2.06,1.75
Adelaide International,2024-01-09,Bolt A.,Seyboth Wild T.,1.83,1.96
Adelaide International,2024-01-09,Thompson J.,Diaz Acosta F.,1.22,4.25
Adelaide International,2024-01-09,Sonego L.,Hanfmann Y.,1.56,2.41
Adelaide International,2024-01-09,Lehecka J.,Walton A.,1.31,3.37
Adelaide International,2024-01-09,Bublik A.,Mccabe J.,1.28,3.6
Adelaide International,2024-01-09,Evans D.,Hijikata R.,1.78,2.01
Adelaide International,2024-01-10,O Connell C.,Shevchenko A.,2.13,1.71
Adelaide International,2024-01-10,Jarry N.,Arnaldi M.,1.77,2.03
Adelaide International,2024-01-10,Draper J.,Kecmanovic M.,1.44,2.73
Adelaide International,2024-01-10,Korda S.,Sonego L.,1.57,2.37
Adelaide International,2024-01-10,Paul T.,Bolt A.,1.26,3.8
Adelaide International,2024-01-10,Lehecka J.,Lajovic D.,1.44,2.73
Adelaide International,2024-01-10,Bublik A.,Evans D.,1.85,1.94
Adelaide International,2024-01-10,Musetti L.,Thompson J.,2.33,1.59
Adelaide International,2024-01-11,Korda S.,O Connell C.,1.4,2.92
Adelaide International,2024-01-11,Lehecka J.,Jarry N.,2.04,1.76
Adelaide International,2024-01-11,Bublik A.,Musetti L.,1.9,1.89
Adelaide International,2024-01-11,Draper J.,Paul T.,2.16,1.69
Adelaide International,2024-01-12,Lehecka J.,Korda S.,2.39,1.57
Adelaide International,2024-01-12,Draper J.,Bublik A.,1.44,2.77
Adelaide International,2024-01-13,Lehecka J.,Draper J.,2.32,1.6
ASB Classic,2024-01-07,Altmaier D.,Giron M.,2.49,1.52
ASB Classic,2024-01-07,Daniel T.,Vukic A.,1.72,2.1
ASB Classic,2024-01-08,Van Assche L.,Wolf J.J.,2.19,1.66
ASB Classic,2024-01-08,Tabilo A.,Gojo B.,2.47,1.53
ASB Classic,2024-01-08,Van De Zandschulp B.,Eubanks C.,1.41,2.83
ASB Classic,2024-01-08,Muller A.,Bonzi B.,1.97,1.82
ASB Classic,2024-01-08,Borges N.,Michelsen A.,2.64,1.47
ASB Classic,2024-01-08,Marozsan F.,Monfils G.,2.53,1.51
ASB Classic,2024-01-08,Carballes Baena R.,Bautista Agut R.,5.55,1.14
ASB Classic,2024-01-09,Ofner S.,Shapovalov D.,1.8,1.99
ASB Classic,2024-01-09,Purcell M.,Pannu K.,1.04,10.18
ASB Classic,2024-01-09,Fils A.,Gasquet R.,1.34,3.19
ASB Classic,2024-01-09,Muller A.,Cerundolo F.,2.23,1.64
ASB Classic,2024-01-09,Altmaier D.,Auger-Aliassime F.,2.96,1.39
ASB Classic,2024-01-10,Daniel T.,Purcell M.,2.15,1.68
ASB Classic,2024-01-10,Shelton B.,Marozsan F.,1.46,2.69
ASB Classic,2024-01-10,Carballes Baena R.,Ofner S.,3.33,1.32
