Tournament,Date,Winner,Loser,AvgW,AvgL
Brisbane International,04/01/2009,Gasquet R.,Gicquel M.,1.26,3.63
Brisbane International,04/01/2009,Dent T.,Darcis S.,2.88,1.39
Brisbane International,04/01/2009,Benneteau J.,Ginepri R.,2.1,1.7
Brisbane International,04/01/2009,Soderling R.,Querrey S.,1.47,2.62
Brisbane International,05/01/2009,Nieminen J.,Baghdatis M.,1.93,1.82
Brisbane International,05/01/2009,Stepanek R.,Kunitsyn I.,1.38,2.96
Brisbane International,05/01/2009,Melzer J.,Fish M.,2.2,1.63
Brisbane International,05/01/2009,Verdasco F.,Tomic B.,1.05,9.7
Brisbane International,06/01/2009,Berdych T.,Klein B.,1.04,10.4
Brisbane International,06/01/2009,Serra F.,Ferrero J.C.,2.59,1.48
Brisbane International,06/01/2009,Ancic M.,Delic A.,1.29,3.51
Brisbane International,06/01/2009,Gulbis E.,Djokovic N.,4.11,1.22
Brisbane International,06/01/2009,Mathieu P.H.,Gabashvili T.,1.42,2.72
Brisbane International,06/01/2009,Nishikori K.,Reynolds B.,1.68,2.13
Brisbane International,06/01/2009,Llodra M.,Sirianni J.,1.5,2.53
Brisbane International,06/01/2009,Tsonga J.W.,Calleri A.,1.13,5.8
Brisbane International,06/01/2009,Soderling R.,Benneteau J.,1.34,3.18
Brisbane International,06/01/2009,Gasquet R.,Dent T.,1.2,4.25
Brisbane International,07/01/2009,Mathieu P.H.,Gulbis E.,2.32,1.57
Brisbane International,07/01/2009,Serra F.,Melzer J.,2.53,1.5
Brisbane International,07/01/2009,Tsonga J.W.,Nieminen J.,1.28,3.55
Brisbane International,07/01/2009,Verdasco F.,Ancic M.,1.8,1.97
Brisbane International,07/01/2009,Stepanek R.,Llodra M.,1.42,2.79
Brisbane International,07/01/2009,Nishikori K.,Berdych T.,2.84,1.4
Brisbane International,08/01/2009,Verdasco F.,Serra F.,1.37,3.06
Brisbane International,08/01/2009,Mathieu P.H.,Nishikori K.,1.73,2.05
Brisbane International,09/01/2009,Stepanek R.,Soderling R.,2.49,1.51
Brisbane International,09/01/2009,Gasquet R.,Tsonga J.W.,2.09,1.73
Brisbane International,10/01/2009,Verdasco F.,Mathieu P.H.,1.78,1.99
Brisbane International,10/01/2009,Stepanek R.,Gasquet R.,2.41,1.55
Brisbane International,11/01/2009,Stepanek R.,Verdasco F.,2.27,1.61
Chennai Open,05/01/2009,Greul S.,Gimeno-Traver D.,1.49,2.52
Chennai Open,05/01/2009,Phau B.,Ventura S.,1.31,3.31
Chennai Open,05/01/2009,Cilic M.,Martin A.,1.13,5.72
Chennai Open,05/01/2009,Sela D.,Ramirez-Hidalgo R.,1.28,3.6
Chennai Open,05/01/2009,Dlouhy L.,Soeda G.,2.05,1.71
Chennai Open,05/01/2009,Schuettler R.,Amritraj P.,1.27,3.61
Chennai Open,05/01/2009,Granollers M.,Lee H.T.,2.09,1.71
Chennai Open,06/01/2009,Beck A.,Karanusic R.,1.72,2.07
Chennai Open,06/01/2009,Istomin D.,Bopanna R.,1.58,2.32
Chennai Open,06/01/2009,Davydenko N.,Koellerer D.,1.04,10.4
Chennai Open,06/01/2009,Devvarman S.,Kim K.,1.89,1.84
Chennai Open,06/01/2009,Karlovic I.,Ram R.,1.22,4.02
Chennai Open,06/01/2009,Minar I.,Odesnik W.,1.78,1.96
Chennai Open,06/01/2009,Moya C.,Udomchoke D.,1.24,3.88
Chennai Open,06/01/2009,Tipsarevic J.,Andujar P.,1.17,4.84
Chennai Open,06/01/2009,Cipolla F.,Wawrinka S.,5.86,1.12
Chennai Open,07/01/2009,Dlouhy L.,Davydenko N.,9.6,1.05
Chennai Open,08/01/2009,Karlovic I.,Minar I.,1.32,3.29
Chennai Open,08/01/2009,Devvarman S.,Moya C.,3.51,1.29
Chennai Open,08/01/2009,Granollers M.,Beck A.,1.95,1.81
Chennai Open,08/01/2009,Tipsarevic J.,Sela D.,1.44,2.7
Chennai Open,08/01/2009,Phau B.,Cipolla F.,1.8,1.96
Chennai Open,08/01/2009,Schuettler R.,Greul S.,1.44,2.69
Chennai Open,08/01/2009,Cilic M.,Istomin D.,1.14,5.32
Chennai Open,09/01/2009,Granollers M.,Dlouhy L.,1.41,2.81
Chennai Open,09/01/2009,Schuettler R.,Phau B.,1.5,2.52
Chennai Open,09/01/2009,Cilic M.,Tipsarevic J.,1.47,2.61
Chennai Open,09/01/2009,Devvarman S.,Karlovic I.,3.56,1.28
Chennai Open,10/01/2009,Cilic M.,Granollers M.,1.3,3.47
Chennai Open,10/01/2009,Schuettler R.,Devvarman S.,1.64,2.19
Chennai Open,11/01/2009,Cilic M.,Schuettler R.,1.22,4.2
Qatar Exxon Mobil Open,05/01/2009,Monfils G.,Hernych J.,1.18,4.55
Qatar Exxon Mobil Open,05/01/2009,Stakhovsky S.,Rochus C.,1.74,2.01
Qatar Exxon Mobil Open,05/01/2009,Roddick A.,Navarro-Pastor I.,1.06,8.7
Qatar Exxon Mobil Open,05/01/2009,Devilder N.,Hajji A.,1.06,8.5
Qatar Exxon Mobil Open,05/01/2009,Hanescu V.,Troicki V.,2.13,1.67
Qatar Exxon Mobil Open,05/01/2009,Seppi A.,Gremelmayr D.,1.43,2.73
Qatar Exxon Mobil Open,05/01/2009,Petzschner P.,Chardy J.,1.79,1.95
Qatar Exxon Mobil Open,06/01/2009,Peya A.,Tursunov D.,4.37,1.2
Qatar Exxon Mobil Open,06/01/2009,Clement A.,Junqueira D.,1.34,3.15
Qatar Exxon Mobil Open,06/01/2009,Murray A.,Montanes A.,1.01,15.7
Qatar Exxon Mobil Open,06/01/2009,Vliegen K.,Hernandez O.,1.35,3.09
Qatar Exxon Mobil Open,06/01/2009,Kohlschreiber P.,Chiudinelli M.,1.16,4.87
Qatar Exxon Mobil Open,06/01/2009,Youzhny M.,Andreev I.,2.1,1.71
Qatar Exxon Mobil Open,06/01/2009,Nadal R.,Santoro F.,1.01,16.1
Qatar Exxon Mobil Open,06/01/2009,Federer R.,Starace P.,1.02,14.3
Qatar Exxon Mobil Open,06/01/2009,Beck K.,Przysiezny M.,1.42,2.74
Qatar Exxon Mobil Open,07/01/2009,Monfils G.,Devilder N.,1.11,6.29
Qatar Exxon Mobil Open,07/01/2009,Hanescu V.,Youzhny M.,2.66,1.45
Qatar Exxon Mobil Open,07/01/2009,Murray A.,Petzschner P.,1.02,17.5
Qatar Exxon Mobil Open,07/01/2009,Kohlschreiber P.,Vliegen K.,1.23,4.09
Qatar Exxon Mobil Open,07/01/2009,Nadal R.,Beck K.,1.01,18.8
Qatar Exxon Mobil Open,07/01/2009,Stakhovsky S.,Peya A.,1.75,2.04
Qatar Exxon Mobil Open,07/01/2009,Federer R.,Seppi A.,1.03,12.5
Qatar Exxon Mobil Open,07/01/2009,Roddick A.,Clement A.,1.1,7.83
Qatar Exxon Mobil Open,08/01/2009,Roddick A.,Hanescu V.,1.15,6.94
Qatar Exxon Mobil Open,08/01/2009,Monfils G.,Nadal R.,5.79,1.67
Qatar Exxon Mobil Open,08/01/2009,Federer R.,Kohlschreiber P.,1.07,7.99
Qatar Exxon Mobil Open,08/01/2009,Murray A.,Stakhovsky S.,1.02,14.3
Qatar Exxon Mobil Open,09/01/2009,Roddick A.,Monfils G.,1.89,2.56
Qatar Exxon Mobil Open,09/01/2009,Murray A.,Federer R.,1.76,3.04
Qatar Exxon Mobil Open,10/01/2009,Murray A.,Roddick A.,1.33,3.29
Heineken Open,12/01/2009,Querrey S.,King-Turner D.,1.12,6.13
Heineken Open,12/01/2009,Ferrero J.C.,Nishikori K.,1.95,1.79
Heineken Open,12/01/2009,Ginepri R.,Statham J.,1.07,7.57
Heineken Open,12/01/2009,Troicki V.,Kunitsyn I.,1.55,2.4
Heineken Open,12/01/2009,Muller G.,Serra F.,2.23,1.61
Heineken Open,12/01/2009,Lu Y.H.,Darcis S.,2.17,1.65
Heineken Open,12/01/2009,Kohlschreiber P.,Hrbaty D.,1.35,3.12
Heineken Open,12/01/2009,Isner J.,Montanes A.,1.46,2.61
Heineken Open,12/01/2009,Gulbis E.,Granollers M.,1.27,3.66
Heineken Open,13/01/2009,Reynolds B.,Hernandez O.,1.32,3.24
Heineken Open,13/01/2009,Gicquel M.,Calleri A.,1.58,2.31
Heineken Open,13/01/2009,Monaco J.,Hanescu V.,2.11,1.68
Heineken Open,13/01/2009,Querrey S.,Muller G.,1.69,2.11
Heineken Open,13/01/2009,Almagro N.,Lu Y.H.,1.66,2.16
Heineken Open,14/01/2009,Del Potro J.M.,Gulbis E.,1.48,2.59
Heineken Open,14/01/2009,Isner J.,Ginepri R.,2.64,1.47
Heineken Open,14/01/2009,Troicki V.,Monaco J.,2.38,1.66
Heineken Open,14/01/2009,Ferrer D.,Gicquel M.,1.43,2.73
Heineken Open,14/01/2009,Soderling R.,Reynolds B.,1.18,4.7
Heineken Open,14/01/2009,Kohlschreiber P.,Ferrero J.C.,1.44,2.67
Heineken Open,14/01/2009,Querrey S.,Almagro N.,1.7,2.1
Heineken Open,14/01/2009,Del Potro J.M.,Troicki V.,1.24,3.89
Heineken Open,15/01/2009,Ferrer D.,Kohlschreiber P.,2.21,1.63
Heineken Open,15/01/2009,Soderling R.,Isner J.,1.26,3.7
