Tournament,Date,Winner,Loser,AvgW,AvgL
Brisbane International,2018-12-31,Dimitrov G.,Nishioka Y.,1.35,3.18
Brisbane International,2018-12-31,Raonic M.,Bedene A.,1.22,4.26
Brisbane International,2018-12-31,Kecmanovic M.,Mayer L.,1.63,2.28
Brisbane International,2018-12-31,Millman J.,Sandgren T.,1.4,2.95
Brisbane International,2018-12-31,Uchiyama Y.,Humbert U.,2.69,1.47
Brisbane International,2019-01-01,Kudla D.,Fritz T.,2.7,1.47
Brisbane International,2019-01-01,Chardy J.,Struff J.L.,2.19,1.68
Brisbane International,2019-01-01,Murray A.,Duckworth J.,1.34,3.26
Brisbane International,2019-01-01,Kyrgios N.,Harrison R.,1.44,2.8
Brisbane International,2019-01-01,Tsonga J.W.,Kokkinakis T.,2.27,1.64
Brisbane International,2019-01-01,De Minaur A.,Popyrin A.,1.2,4.55
Brisbane International,2019-01-01,Thompson J.,Bolt A.,1.36,3.14
Brisbane International,2019-01-02,Dimitrov G.,Millman J.,1.43,2.82
Brisbane International,2019-01-02,Uchiyama Y.,Edmund K.,4.26,1.22
Brisbane International,2019-01-02,Nishikori K.,Kudla D.,1.16,5.17
Brisbane International,2019-01-02,Raonic M.,Kecmanovic M.,1.21,4.48
Brisbane International,2019-01-02,Chardy J.,Kyrgios N.,3.11,1.37
Brisbane International,2019-01-02,Medvedev D.,Murray A.,1.88,1.93
Brisbane International,2019-01-02,De Minaur A.,Thompson J.,1.38,3.06
Brisbane International,2019-01-03,Tsonga J.W.,Daniel T.,1.27,3.84
Brisbane International,2019-01-03,Chardy J.,Uchiyama Y.,1.61,2.34
Brisbane International,2019-01-03,Nishikori K.,Dimitrov G.,1.65,2.26
Brisbane International,2019-01-04,Medvedev D.,Raonic M.,2.04,1.79
Brisbane International,2019-01-04,Tsonga J.W.,De Minaur A.,2.42,1.57
Brisbane International,2019-01-05,Nishikori K.,Chardy J.,1.17,5.11
Brisbane International,2019-01-05,Medvedev D.,Tsonga J.W.,1.67,2.23
Brisbane International,2019-01-06,Nishikori K.,Medvedev D.,1.6,2.36
Qatar Exxon Mobil Open,2018-12-31,Bautista Agut R.,Berrettini M.,1.35,3.23
Qatar Exxon Mobil Open,2018-12-31,Jarry N.,Haase R.,2.05,1.77
Qatar Exxon Mobil Open,2018-12-31,Verdasco F.,Lorenzi P.,1.24,4.07
Qatar Exxon Mobil Open,2018-12-31,Berdych T.,Kohlschreiber P.,2.44,1.59
Qatar Exxon Mobil Open,2018-12-31,Basilashvili N.,Ramos-Vinolas A.,1.45,2.75
Qatar Exxon Mobil Open,2018-12-31,Rublev A.,Seppi A.,1.5,2.59
Qatar Exxon Mobil Open,2018-12-31,Marterer M.,Gojowczyk P.,2.09,1.74
Qatar Exxon Mobil Open,2019-01-01,Berankis R.,Goffin D.,3.32,1.33
Qatar Exxon Mobil Open,2019-01-01,Pella G.,Ilkel C.,1.2,4.49
Qatar Exxon Mobil Open,2019-01-01,Cecchinato M.,Stakhovsky S.,2.18,1.68
Qatar Exxon Mobil Open,2019-01-01,Lajovic D.,Mannarino A.,1.72,2.11
Qatar Exxon Mobil Open,2019-01-01,Garcia-Lopez G.,Zayid M.S.,1.02,17.2
