Tournament,Date,Winner,Loser,AvgW,AvgL
Qatar Exxon Mobil Open,2020-01-06,Bublik A.,Mannarino A.,2.11,1.72
Qatar Exxon Mobil Open,2020-01-06,Moutet C.,Sandgren T.,1.59,2.34
Qatar Exxon Mobil Open,2020-01-06,Verdasco F.,Andujar P.,1.29,3.53
Qatar Exxon Mobil Open,2020-01-06,Bedene A.,Ymer M.,1.87,1.92
Qatar Exxon Mobil Open,2020-01-06,Chardy J.,Barrere G.,1.53,2.47
Qatar Exxon Mobil Open,2020-01-06,Kecmanovic M.,Thompson J.,1.72,2.11
Qatar Exxon Mobil Open,2020-01-06,Krajinovic F.,Edmund K.,1.88,1.92
Qatar Exxon Mobil Open,2020-01-07,Djere L.,Sonego L.,3.03,1.37
Qatar Exxon Mobil Open,2020-01-07,Fucsovics M.,Tiafoe F.,2.01,1.78
Qatar Exxon Mobil Open,2020-01-07,Ilkel C.,Berankis R.,3.72,1.27
Qatar Exxon Mobil Open,2020-01-07,Kukushkin M.,Jaziri M.,1.29,3.54
Qatar Exxon Mobil Open,2020-01-07,Herbert P.H.,Cecchinato M.,1.54,2.44
Qatar Exxon Mobil Open,2020-01-07,Bedene A.,Bublik A.,1.75,2.06
Qatar Exxon Mobil Open,2020-01-07,Wawrinka S.,Chardy J.,1.36,3.08
Qatar Exxon Mobil Open,2020-01-08,Rublev A.,Kukushkin M.,1.28,3.69
Qatar Exxon Mobil Open,2020-01-08,Fucsovics M.,Ilkel C.,1.18,4.82
Qatar Exxon Mobil Open,2020-01-08,Verdasco F.,Krajinovic F.,2.32,1.6
Qatar Exxon Mobil Open,2020-01-08,Herbert P.H.,Djere L.,1.49,2.59
Qatar Exxon Mobil Open,2020-01-08,Kecmanovic M.,Tsonga J.W.,2.29,1.61
Qatar Exxon Mobil Open,2020-01-08,Moutet C.,Raonic M.,2.72,1.45
Qatar Exxon Mobil Open,2020-01-09,Kecmanovic M.,Fucsovics M.,1.63,2.27
Qatar Exxon Mobil Open,2020-01-10,Rublev A.,Herbert P.H.,1.26,3.79
Qatar Exxon Mobil Open,2020-01-10,Moutet C.,Verdasco F.,2.38,1.58
Qatar Exxon Mobil Open,2020-01-10,Wawrinka S.,Bedene A.,1.33,3.27
Qatar Exxon Mobil Open,2020-01-10,Rublev A.,Kecmanovic M.,1.67,2.2
Qatar Exxon Mobil Open,2020-01-10,Moutet C.,Wawrinka S.,3.79,1.26
Qatar Exxon Mobil Open,2020-01-11,Rublev A.,Moutet C.,1.22,4.18
ASB Classic,2020-01-12,Bublik A.,Fritz T.,2.36,1.57
ASB Classic,2020-01-12,Cuevas P.,Opelka R.,3.34,1.32
ASB Classic,2020-01-12,Djere L.,Popyrin A.,3.06,1.37
ASB Classic,2020-01-13,Chardy J.,Simon G.,1.7,2.13
ASB Classic,2020-01-13,Evans D.,Londero J.I.,1.3,3.46
ASB Classic,2020-01-13,Harris L.,Garin C.,1.82,1.97
ASB Classic,2020-01-13,Querrey S.,Barrere G.,1.59,2.33
ASB Classic,2020-01-13,Duckworth J.,Delbonis F.,1.73,2.09
ASB Classic,2020-01-14,Paul T.,Bedene A.,1.91,1.88
ASB Classic,2020-01-14,Ramos-Vinolas A.,Thompson J.,2.27,1.62
ASB Classic,2020-01-14,Struff J.L.,Caruso S.,1.23,4.08
ASB Classic,2020-01-14,Bolt A.,Robert S.,1.34,3.2
ASB Classic,2020-01-14,Evans D.,Bublik A.,1.66,2.2
ASB Classic,2020-01-15,Harris L.,Djere L.,1.44,2.75
ASB Classic,2020-01-15,Rublev A.,Querrey S.,1.62,2.28
ASB Classic,2020-01-15,Paul T.,Cuevas P.,1.49,2.6
ASB Classic,2020-01-15,Carreno Busta P.,Chardy J.,1.83,1.96
ASB Classic,2020-01-15,Ramos-Vinolas A.,Munar J.,1.69,2.16
ASB Classic,2020-01-15,Bolt A.,Struff J.L.,3.84,1.26
ASB Classic,2020-01-15,Auger-Aliassime F.,Duckworth J.,1.57,2.37
ASB Classic,2020-01-16,Harris L.,Carreno Busta P.,2.65,1.48
ASB Classic,2020-01-16,Rublev A.,Evans D.,1.47,2.67
ASB Classic,2020-01-16,Paul T.,Ramos-Vinolas A.,1.54,2.47
ASB Classic,2020-01-16,Auger-Aliassime F.,Bolt A.,1.46,2.7
ASB Classic,2020-01-17,Harris L.,Paul T.,2.12,1.71
ASB Classic,2020-01-17,Rublev A.,Auger-Aliassime F.,1.47,2.67
ASB Classic,2020-01-18,Rublev A.,Harris L.,1.3,3.45
Adelaide International,2020-01-13,Hurkacz H.,Sonego L.,1.32,3.35
Adelaide International,2020-01-13,Sandgren T.,Venus M.,1.2,4.5
Adelaide International,2020-01-13,Monteiro T.,Norrie C.,2.21,1.66
Adelaide International,2020-01-13,Humbert U.,Ruud C.,1.96,1.83
Adelaide International,2020-01-13,Paire B.,Sinner J.,2.1,1.73
Adelaide International,2020-01-13,Ymer M.,Tiafoe F.,2.01,1.78
Adelaide International,2020-01-14,Pospisil V.,Sousa J.,1.41,2.88
Adelaide International,2020-01-14,Edmund K.,Davidovich Fokina A.,1.46,2.68
Adelaide International,2020-01-14,Millman J.,Mmoh M.,1.65,2.24
Adelaide International,2020-01-15,Seppi A.,Mannarino A.,2.37,1.58
Adelaide International,2020-01-15,Lopez F.,Andujar P.,1.53,2.48
Adelaide International,2020-01-15,Cecchinato M.,Mayer L.,2.42,1.56
Adelaide International,2020-01-15,Isner J.,Sandgren T.,1.55,2.42
Adelaide International,2020-01-15,Hurkacz H.,Ymer M.,1.46,2.68
Adelaide International,2020-01-15,Paire B.,Monteiro T.,1.55,2.44
Adelaide International,2020-01-15,Lopez F.,Fognini F.,2.89,1.41
Adelaide International,2020-01-15,Edmund K.,Seppi A.,1.33,3.3
Adelaide International,2020-01-15,Humbert U.,Cecchinato M.,1.36,3.11
Adelaide International,2020-01-15,Shapovalov D.,Pospisil V.,1.49,2.6
Adelaide International,2020-01-15,Millman J.,Khachanov K.,2.44,1.55
Adelaide International,2020-01-16,Isner J.,Edmund K.,1.87,1.92
Adelaide International,2020-01-16,Humbert U.,Shapovalov D.,3.12,1.35
Adelaide International,2020-01-16,Paire B.,Millman J.,2.11,1.72
Adelaide International,2020-01-16,Hurkacz H.,Lopez F.,1.32,3.36
Adelaide International,2020-01-17,Humbert U.,Isner J.,1.89,1.89
Adelaide International,2020-01-17,Paire B.,Hurkacz H.,2.54,1.51
Adelaide International,2020-01-18,Humbert U.,Paire B.,1.72,2.11
Australian Open,2020-01-20,Berrettini M.,Harris A.,1.11,6.68
Australian Open,2020-01-20,Berankis R.,Carballes Baena R.,1.73,2.1
Australian Open,2020-01-20,Evans D.,Mcdonald M.,1.2,4.57
Australian Open,2020-01-20,Nishioka Y.,Djere L.,1.53,2.51
Australian Open,2020-01-20,Pella G.,Smith J.P.,1.26,3.85
Australian Open,2020-01-20,Querrey S.,Coric B.,2.23,1.66
Australian Open,2020-01-20,Barrere G.,Safwat M.,1.4,2.94
Australian Open,2020-01-20,Fucsovics M.,Shapovalov D.,5.15,1.16
Australian Open,2020-01-20,Federer R.,Johnson S.,1.03,13.43
Australian Open,2020-01-20,Dimitrov G.,Londero J.I.,1.18,4.82
Australian Open,2020-01-20,Tsitsipas S.,Caruso S.,1.01,18.09
Australian Open,2020-01-20,Kohlschreiber P.,Giron M.,1.29,3.57
Australian Open,2020-01-20,Djokovic N.,Struff J.L.,1.01,20.0
Australian Open,2020-01-21,Cilic M.,Moutet C.,1.47,2.7
Australian Open,2020-01-21,Davidovich Fokina A.,Gombos N.,1.78,2.04
Australian Open,2020-01-21,Hurkacz H.,Novak D.,1.39,2.98
Australian Open,2020-01-21,Ito T.,Gunneswaran P.,2.38,1.58
Australian Open,2020-01-21,Millman J.,Humbert U.,2.05,1.77
Australian Open,2020-01-21,Paire B.,Stebe C.M.,1.38,3.08
Australian Open,2020-01-21,Schwartzman D.,Harris L.,1.34,3.28
Australian Open,2020-01-21,Bautista Agut R.,Lopez F.,1.14,5.67
Australian Open,2020-01-21,Fognini F.,Opelka R.,2.08,1.75
Australian Open,2020-01-21,Sinner J.,Purcell M.,1.31,3.44
Australian Open,2020-01-21,Lajovic D.,Edmund K.,2.61,1.5
Australian Open,2020-01-21,Polmans M.,Kukushkin M.,2.86,1.42
