Tournament,Date,Winner,Loser,AvgW,AvgL
AAPT Championships,30/12/2002,Davydenko N.,Labadze I.,1.55,2.03
AAPT Championships,30/12/2002,Kim A.,Savolt A.,1.72,1.79
AAPT Championships,30/12/2002,Spadea V.,Reid T.,1.33,2.76
AAPT Championships,30/12/2002,Vahaly B.,Kennedy A.,1.33,2.68
AAPT Championships,30/12/2002,Voinea A.,Rochus C.,1.85,1.66
AAPT Championships,30/12/2002,Zabaleta M.,Waske A.,1.58,1.97
AAPT Championships,31/12/2002,Dupuis A.,Beck K.,1.67,1.92
AAPT Championships,31/12/2002,Ljubicic I.,Morrison J.,1.36,2.68
AAPT Championships,31/12/2002,Martin A.,Melzer J.,1.68,1.92
AAPT Championships,31/12/2002,Mirnyi M.,Galvani S.,1.25,3.32
AAPT Championships,31/12/2002,Parmar A.,Levy H.,1.8,1.91
AAPT Championships,31/12/2002,Verkerk M.,Serra F.,,
AAPT Championships,31/12/2002,Vliegen K.,Enqvist T.,,
AAPT Championships,01/01/2003,Gasquet R.,Di Pasquale A.,1.83,1.67
AAPT Championships,01/01/2003,Krajicek R.,Draper S.,1.41,2.51
AAPT Championships,01/01/2003,Squillari F.,Ferreira W.,2.33,1.47
AAPT Championships,01/01/2003,Davydenko N.,Ljubicic I.,2.21,1.51
AAPT Championships,01/01/2003,Dupuis A.,Mirnyi M.,2.42,1.42
AAPT Championships,01/01/2003,Voinea A.,Kim A.,,
AAPT Championships,01/01/2003,Zabaleta M.,Verkerk M.,1.59,2.03
AAPT Championships,02/01/2003,Krajicek R.,Squillari F.,,
AAPT Championships,02/01/2003,Martin A.,Gasquet R.,1.46,2.33
AAPT Championships,02/01/2003,Vahaly B.,Spadea V.,2.29,1.47
AAPT Championships,02/01/2003,Vliegen K.,Parmar A.,1.85,1.72
AAPT Championships,03/01/2003,Davydenko N.,Zabaleta M.,1.83,1.75
AAPT Championships,03/01/2003,Krajicek R.,Vahaly B.,1.24,3.4
AAPT Championships,03/01/2003,Vliegen K.,Martin A.,2.4,1.44
AAPT Championships,03/01/2003,Voinea A.,Dupuis A.,1.7,1.9
AAPT Championships,04/01/2003,Davydenko N.,Voinea A.,1.68,1.92
AAPT Championships,04/01/2003,Vliegen K.,Krajicek R.,3.25,1.26
AAPT Championships,05/01/2003,Davydenko N.,Vliegen K.,1.56,2.11
TATA Open,30/12/2002,Chela J.I.,Paes L.,1.17,4.1
TATA Open,30/12/2002,Krajan Z.,Bopanna R.,,
TATA Open,30/12/2002,Lisnard J.R.,Pless K.,2.57,1.39
TATA Open,30/12/2002,Portas A.,Golmard J.,2.52,1.42
TATA Open,30/12/2002,Sargsian S.,Varlet J.,1.53,2.08
TATA Open,30/12/2002,Schuettler R.,Knowle J.,1.2,3.67
TATA Open,30/12/2002,Vanek J.,Amritraj P.,,
TATA Open,31/12/2002,Behrend T.,Pavel A.,3.22,1.25
TATA Open,31/12/2002,Canas G.,Norman D.,1.16,4.18
TATA Open,31/12/2002,Kucera K.,Gimelstob J.,1.4,2.48
TATA Open,31/12/2002,Mamiit C.,Burgsmuller L.,2.37,1.48
TATA Open,31/12/2002,Montanes A.,Llodra M.,2.43,1.43
TATA Open,31/12/2002,Okun N.,Balcells J.,1.83,1.68
TATA Open,31/12/2002,Philippoussis M.,Kohlmann M.,1.34,2.72
TATA Open,31/12/2002,Srichaphan P.,Vacek J.,1.13,4.52
TATA Open,31/12/2002,Van Lottum J.,Patience O.,1.55,2.12
TATA Open,01/01/2003,Behrend T.,Portas A.,1.76,1.79
TATA Open,01/01/2003,Chela J.I.,Krajan Z.,1.23,3.47
TATA Open,01/01/2003,Sargsian S.,Montanes A.,1.56,2.09
TATA Open,01/01/2003,Srichaphan P.,Van Lottum J.,1.14,4.33
