Tournament,Date,Winner,Loser,AvgW,AvgL
Next Generation Adelaide International,01/01/2007,Luczak P.,Hrbaty D.,2.87,1.41
Next Generation Adelaide International,01/01/2007,Serra F.,Johansson J.,2.79,1.43
Next Generation Adelaide International,01/01/2007,Jones A.,Hajek J.,1.99,1.8
Next Generation Adelaide International,01/01/2007,Guccione C.,Becker B.,2.34,1.6
Next Generation Adelaide International,02/01/2007,Mathieu P.H.,Hernych J.,1.5,2.56
Next Generation Adelaide International,02/01/2007,Djokovic N.,Hajek J.,1.1,6.85
Next Generation Adelaide International,02/01/2007,Goldstein P.,Hrbaty D.,3.14,1.36
Next Generation Adelaide International,02/01/2007,Gasquet R.,Mayer F.,1.22,4.15
Next Generation Adelaide International,02/01/2007,Spadea V.,Stepanek R.,2.57,1.51
Next Generation Adelaide International,02/01/2007,Hewitt L.,Tipsarevic J.,1.16,5.07
Next Generation Adelaide International,03/01/2007,Goldstein P.,Luczak P.,1.83,1.95
Next Generation Adelaide International,03/01/2007,Mayer F.,Dancevic F.,1.77,2.03
Next Generation Adelaide International,03/01/2007,Del Potro J.M.,Hernych J.,1.53,2.49
Next Generation Adelaide International,03/01/2007,Clement A.,Becker B.,1.44,2.78
Next Generation Adelaide International,03/01/2007,Stepanek R.,Korolev E.,1.71,2.12
Next Generation Adelaide International,03/01/2007,Kunitsyn I.,Vassallo-Arguello M.,,
Next Generation Adelaide International,03/01/2007,Johansson J.,Simon G.,1.36,3.11
Next Generation Adelaide International,03/01/2007,Djokovic N.,Jones A.,1.09,7.31
Next Generation Adelaide International,04/01/2007,Spadea V.,Korolev E.,1.82,1.97
Next Generation Adelaide International,04/01/2007,Gasquet R.,Dancevic F.,1.08,7.94
Next Generation Adelaide International,04/01/2007,Guccione C.,Clement A.,2.79,1.43
Next Generation Adelaide International,04/01/2007,Del Potro J.M.,Mathieu P.H.,1.77,2.03
Next Generation Adelaide International,04/01/2007,Simon G.,Serra F.,4.67,1.2
Next Generation Adelaide International,04/01/2007,Kunitsyn I.,Hewitt L.,6.88,1.1
Next Generation Adelaide International,05/01/2007,Djokovic N.,Goldstein P.,1.21,4.26
Next Generation Adelaide International,05/01/2007,Guccione C.,Gasquet R.,4.74,1.18
Next Generation Adelaide International,06/01/2007,Del Potro J.M.,Kunitsyn I.,1.57,2.38
Next Generation Adelaide International,06/01/2007,Johansson J.,Spadea V.,1.42,2.84
Next Generation Adelaide International,06/01/2007,Guccione C.,Del Potro J.M.,2.45,1.59
Next Generation Adelaide International,06/01/2007,Djokovic N.,Johansson J.,1.56,2.47
Next Generation Adelaide International,07/01/2007,Djokovic N.,Guccione C.,1.25,3.97
Chennai Open,01/01/2007,Mahut N.,Falla A.,1.86,1.91
Chennai Open,01/01/2007,Galvani S.,Lu Y.H.,2.25,1.66
