Tournament,Date,Winner,Loser,AvgW,AvgL
Next Generation Hardcourts,03/01/2005,Saulnier C.,Baccanello P.,1.29,3.36
Next Generation Hardcourts,03/01/2005,Enqvist T.,Sluiter R.,1.84,1.85
Next Generation Hardcourts,03/01/2005,Melzer J.,Berdych T.,1.84,1.87
Next Generation Hardcourts,03/01/2005,Rochus O.,Dupuis A.,1.6,2.21
Next Generation Hardcourts,03/01/2005,Mayer F.,Arthurs W.,1.7,2.04
Next Generation Hardcourts,03/01/2005,Kiefer N.,Schalken S.,1.4,2.79
Next Generation Hardcourts,04/01/2005,Malisse X.,Martin A.,1.51,2.44
Next Generation Hardcourts,04/01/2005,Benneteau J.,Starace P.,1.55,2.35
Next Generation Hardcourts,04/01/2005,Stepanek R.,Kohlschreiber P.,1.4,2.79
Next Generation Hardcourts,04/01/2005,Dent T.,Ginepri R.,1.69,2.06
Next Generation Hardcourts,04/01/2005,Johansson J.,Kimmich M.,1.05,8.38
Next Generation Hardcourts,04/01/2005,Calleri A.,Nieminen J.,1.9,1.81
Next Generation Hardcourts,04/01/2005,Lisnard J.R.,de Chaunac S.,1.6,2.22
Next Generation Hardcourts,04/01/2005,Chela J.I.,Sargsian S.,1.57,2.28
Next Generation Hardcourts,04/01/2005,Hewitt L.,Clement A.,1.12,5.87
Next Generation Hardcourts,04/01/2005,Delic A.,Reid T.,1.87,1.83
Next Generation Hardcourts,05/01/2005,Enqvist T.,Mayer F.,1.77,1.94
Next Generation Hardcourts,05/01/2005,Kiefer N.,Saulnier C.,1.49,2.48
Next Generation Hardcourts,05/01/2005,Rochus O.,Stepanek R.,2.21,1.6
Next Generation Hardcourts,05/01/2005,Johansson J.,Malisse X.,1.3,3.33
Next Generation Hardcourts,06/01/2005,Melzer J.,Delic A.,1.37,2.95
Next Generation Hardcourts,06/01/2005,Chela J.I.,Lisnard J.R.,1.25,3.69
Next Generation Hardcourts,06/01/2005,Hewitt L.,Calleri A.,1.12,5.59
Next Generation Hardcourts,06/01/2005,Dent T.,Benneteau J.,1.5,2.47
Next Generation Hardcourts,07/01/2005,Rochus O.,Kiefer N.,2.86,1.38
Next Generation Hardcourts,07/01/2005,Johansson J.,Enqvist T.,1.36,2.98
Next Generation Hardcourts,07/01/2005,Chela J.I.,Melzer J.,1.88,1.83
Next Generation Hardcourts,07/01/2005,Dent T.,Hewitt L.,5.7,1.12
Next Generation Hardcourts,08/01/2005,Johansson J.,Rochus O.,1.26,3.67
Next Generation Hardcourts,08/01/2005,Dent T.,Chela J.I.,1.59,2.27
Next Generation Hardcourts,09/01/2005,Johansson J.,Dent T.,1.68,2.1
TATA Open,03/01/2005,Patience O.,Schuettler R.,3.17,1.31
TATA Open,03/01/2005,Gimelstob J.,Gambill J.M.,2.17,1.62
TATA Open,03/01/2005,Mathieu P.H.,Tipsarevic J.,1.56,2.3
TATA Open,03/01/2005,Vliegen K.,Ventura S.,1.36,2.96
TATA Open,03/01/2005,Tabara M.,Vanek J.,1.55,2.35
TATA Open,03/01/2005,Heuberger I.,Amritraj P.,1.43,2.68
TATA Open,03/01/2005,Garcia A.,Carraz G.,2.69,1.42
TATA Open,03/01/2005,Garcia-Lopez G.,van Scheppingen D.,1.95,1.76
TATA Open,03/01/2005,Lu Y.H.,Paes L.,1.28,3.22
TATA Open,04/01/2005,Kim K.,Mankad H.,1.4,2.98
TATA Open,04/01/2005,Zib T.,Burgsmuller L.,1.97,1.75
TATA Open,04/01/2005,Bjorkman J.,Rastogi K.,1.07,7.17
TATA Open,04/01/2005,Devilder N.,Baghdatis M.,3.38,1.28
TATA Open,04/01/2005,Carlsen K.,Okun N.,1.57,2.28
TATA Open,04/01/2005,Moya C.,Knowle J.,1.08,7.11
TATA Open,04/01/2005,Srichaphan P.,Rochus C.,1.17,4.72
TATA Open,05/01/2005,Tabara M.,Patience O.,1.67,2.08
TATA Open,05/01/2005,Zib T.,Kim K.,1.54,2.36
TATA Open,05/01/2005,Gimelstob J.,Bjorkman J.,2.19,1.62
TATA Open,05/01/2005,Garcia-Lopez G.,Garcia A.,1.84,1.86
TATA Open,06/01/2005,Moya C.,Heuberger I.,1.1,6.5
TATA Open,06/01/2005,Vliegen K.,Lu Y.H.,1.68,2.07
TATA Open,06/01/2005,Mathieu P.H.,Carlsen K.,1.56,2.32
TATA Open,06/01/2005,Srichaphan P.,Devilder N.,1.14,5.28
TATA Open,07/01/2005,Srichaphan P.,Vliegen K.,1.19,4.39
TATA Open,07/01/2005,Garcia-Lopez G.,Tabara M.,2.35,1.55
TATA Open,07/01/2005,Moya C.,Mathieu P.H.,1.38,2.86
TATA Open,07/01/2005,Zib T.,Gimelstob J.,1.8,1.9
TATA Open,08/01/2005,Srichaphan P.,Zib T.,1.21,4.18
TATA Open,08/01/2005,Moya C.,Garcia-Lopez G.,1.09,6.7
TATA Open,09/01/2005,Moya C.,Srichaphan P.,1.6,2.26
Qatar Exxon Mobil Open,03/01/2005,Ljubicic I.,Wawrinka S.,1.27,3.52
Qatar Exxon Mobil Open,03/01/2005,Lee H.T.,Stakhovsky S.,1.4,2.3
Qatar Exxon Mobil Open,03/01/2005,Lopez F.,Volandri F.,1.27,3.44
Qatar Exxon Mobil Open,03/01/2005,Vico U.,Mahut N.,1.98,1.71
Qatar Exxon Mobil Open,03/01/2005,Federer R.,Ferrer D.,1.04,10.05
Qatar Exxon Mobil Open,03/01/2005,Lopez M.,Ulihrach B.,2.89,1.37
Qatar Exxon Mobil Open,03/01/2005,Rusedski G.,Hernych J.,1.33,3.11
Qatar Exxon Mobil Open,04/01/2005,Santoro F.,Johansson T.,2.62,1.72
Qatar Exxon Mobil Open,04/01/2005,Davydenko N.,Karlovic I.,1.69,2.06
Qatar Exxon Mobil Open,04/01/2005,Beck K.,Andreev I.,1.88,1.82
Qatar Exxon Mobil Open,04/01/2005,Chiudinelli M.,Pavel A.,4.3,1.19
Qatar Exxon Mobil Open,04/01/2005,Costa A.,Sanchez D.,1.55,2.34
Qatar Exxon Mobil Open,04/01/2005,Grosjean S.,Muller G.,1.4,2.76
Qatar Exxon Mobil Open,04/01/2005,Monfils G.,Gaudio G.,2.22,1.6
Qatar Exxon Mobil Open,04/01/2005,Verdasco F.,Abdulla M.,1.03,12.75
Qatar Exxon Mobil Open,04/01/2005,Nadal R.,Youzhny M.,1.99,1.74
Qatar Exxon Mobil Open,05/01/2005,Lopez F.,Vico U.,1.13,5.28
Qatar Exxon Mobil Open,05/01/2005,Davydenko N.,Beck K.,1.79,1.91
Qatar Exxon Mobil Open,05/01/2005,Santoro F.,Monfils G.,1.66,2.1
Qatar Exxon Mobil Open,05/01/2005,Nadal R.,Verdasco F.,1.55,2.32
Qatar Exxon Mobil Open,05/01/2005,Costa A.,Chiudinelli M.,1.51,2.42
Qatar Exxon Mobil Open,05/01/2005,Federer R.,Rusedski G.,1.08,7.64
Qatar Exxon Mobil Open,05/01/2005,Ljubicic I.,Lopez M.,1.16,4.86
Qatar Exxon Mobil Open,05/01/2005,Grosjean S.,Lee H.T.,1.52,2.39
Qatar Exxon Mobil Open,06/01/2005,Davydenko N.,Grosjean S.,2.3,1.56
Qatar Exxon Mobil Open,06/01/2005,Ljubicic I.,Nadal R.,1.82,1.89
Qatar Exxon Mobil Open,06/01/2005,Federer R.,Lopez F.,1.07,8.14
Qatar Exxon Mobil Open,06/01/2005,Costa A.,Santoro F.,1.86,1.82
Qatar Exxon Mobil Open,07/01/2005,Ljubicic I.,Costa A.,1.39,2.87
Qatar Exxon Mobil Open,07/01/2005,Federer R.,Davydenko N.,1.05,9.26
Qatar Exxon Mobil Open,08/01/2005,Federer R.,Ljubicic I.,1.07,7.85
Heineken Open,09/01/2005,Acasuso J.,Benneteau J.,3.7,1.25
Heineken Open,10/01/2005,Starace P.,Nielsen M.,1.27,3.45
Heineken Open,10/01/2005,Gonzalez F.,Blake J.,1.94,1.77
Heineken Open,10/01/2005,Saulnier C.,Muller G.,1.63,2.16
Heineken Open,10/01/2005,Spadea V.,Sanchez D.,1.27,3.56
Heineken Open,10/01/2005,Zabaleta M.,Jones G.D.,1.1,4.5
Heineken Open,10/01/2005,Ginepri R.,Calleri A.,1.76,1.95
Heineken Open,10/01/2005,Martin A.,Kohlschreiber P.,1.95,1.75
Heineken Open,11/01/2005,Coria G.,Schalken S.,1.33,3.13
Heineken Open,11/01/2005,Luzzi F.,Monaco J.,2.21,1.6
Heineken Open,11/01/2005,Rochus O.,Horna L.,1.66,2.12
Heineken Open,11/01/2005,Hrbaty D.,Nadal R.,1.71,2.03
Heineken Open,11/01/2005,Chela J.I.,Garcia-Lopez G.,1.38,2.86
Heineken Open,11/01/2005,Hernych J.,Ferrero J.C.,2.74,1.4
Heineken Open,11/01/2005,Mello R.,Bjorkman J.,1.82,1.98
Heineken Open,11/01/2005,Sluiter R.,Robredo T.,2.81,1.38
Heineken Open,11/01/2005,Coria G.,Saulnier C.,1.33,3.13
Heineken Open,11/01/2005,Rochus O.,Luzzi F.,1.29,3.39
Heineken Open,12/01/2005,Acasuso J.,Hrbaty D.,4.92,1.15
Heineken Open,12/01/2005,Hernych J.,Martin A.,1.68,2.08
Heineken Open,12/01/2005,Ginepri R.,Spadea V.,2.39,1.53
