Tournament,Date,Winner,Loser,AvgW,AvgL
Next Generation Adelaide International,02/01/2006,Berdych T.,Calleri A.,1.39,2.94
Next Generation Adelaide International,02/01/2006,Kohlschreiber P.,Guccione C.,1.62,2.28
Next Generation Adelaide International,02/01/2006,Malisse X.,Luczak P.,1.32,3.31
Next Generation Adelaide International,02/01/2006,Robredo T.,Melzer J.,1.56,2.42
Next Generation Adelaide International,02/01/2006,Ancic M.,Clement A.,1.49,2.61
Next Generation Adelaide International,03/01/2006,Mayer F.,Monaco J.,1.55,2.44
Next Generation Adelaide International,03/01/2006,Seppi A.,Pashanski B.,1.49,2.62
Next Generation Adelaide International,03/01/2006,Philippoussis M.,Spadea V.,1.81,1.96
Next Generation Adelaide International,03/01/2006,Karlovic I.,Chela J.I.,2.02,1.78
Next Generation Adelaide International,03/01/2006,Blake J.,Martin A.,1.15,5.5
Next Generation Adelaide International,03/01/2006,Nieminen J.,Mathieu P.H.,1.75,2.05
Next Generation Adelaide International,03/01/2006,Serra F.,Llodra M.,2.28,1.63
Next Generation Adelaide International,03/01/2006,Murray A.,Lorenzi P.,1.1,6.95
Next Generation Adelaide International,03/01/2006,Carlsen K.,Carraz G.,2.16,1.68
Next Generation Adelaide International,03/01/2006,Hewitt L.,Hernych J.,1.09,7.32
Next Generation Adelaide International,03/01/2006,Hrbaty D.,Junaid R.,1.06,9.33
Next Generation Adelaide International,04/01/2006,Serra F.,Robredo T.,3.81,1.26
Next Generation Adelaide International,04/01/2006,Malisse X.,Ancic M.,2.42,1.56
Next Generation Adelaide International,04/01/2006,Nieminen J.,Mayer F.,1.53,2.5
Next Generation Adelaide International,04/01/2006,Seppi A.,Blake J.,6.1,1.13
Next Generation Adelaide International,05/01/2006,Berdych T.,Murray A.,1.68,2.17
Next Generation Adelaide International,05/01/2006,Hrbaty D.,Philippoussis M.,1.38,3.02
Next Generation Adelaide International,05/01/2006,Carlsen K.,Karlovic I.,2.59,1.49
Next Generation Adelaide International,05/01/2006,Kohlschreiber P.,Hewitt L.,7.75,1.08
Next Generation Adelaide International,06/01/2006,Serra F.,Nieminen J.,2.79,1.42
Next Generation Adelaide International,06/01/2006,Hrbaty D.,Carlsen K.,1.31,3.46
Next Generation Adelaide International,06/01/2006,Malisse X.,Seppi A.,1.52,2.51
Next Generation Adelaide International,06/01/2006,Berdych T.,Kohlschreiber P.,1.22,4.23
Next Generation Adelaide International,07/01/2006,Serra F.,Hrbaty D.,3.27,1.34
Next Generation Adelaide International,07/01/2006,Malisse X.,Berdych T.,2.61,1.49
Next Generation Adelaide International,08/01/2006,Serra F.,Malisse X.,2.75,1.44
Chennai Open,02/01/2006,Amritraj P.,Mello R.,2.99,1.38
Chennai Open,02/01/2006,Vliegen K.,Wang Y.T.,1.84,1.93
Chennai Open,02/01/2006,Phau B.,Reynolds B.,1.74,2.07
Chennai Open,02/01/2006,Ascione T.,Greul S.,1.57,2.25
Chennai Open,02/01/2006,Behrend T.,Daniel M.,1.61,2.32
Chennai Open,02/01/2006,Vanek J.,Uppal V.,,
Chennai Open,03/01/2006,Stepanek R.,Navarro-Pastor I.,1.13,8.2
Chennai Open,03/01/2006,Berrer M.,Dlouhy L.,1.83,2.1
Chennai Open,03/01/2006,Srichaphan P.,Delgado R.,1.13,5.73
Chennai Open,03/01/2006,Muller G.,Sabau R.,1.23,4.12
Chennai Open,03/01/2006,Schuettler R.,Vicente F.,1.4,2.91
Chennai Open,03/01/2006,Moya C.,Norman D.,1.2,4.38
Chennai Open,03/01/2006,Gimelstob J.,Waske A.,1.75,2.06
Chennai Open,03/01/2006,Bopanna R.,Saulnier C.,4.8,1.24
Chennai Open,03/01/2006,Ljubicic I.,Garcia-Lopez G.,1.14,5.59
Chennai Open,03/01/2006,Gicquel M.,Lee H.T.,2.15,1.7
Chennai Open,04/01/2006,Phau B.,Berrer M.,,
Chennai Open,04/01/2006,Stepanek R.,Amritraj P.,,
Chennai Open,04/01/2006,Ascione T.,Behrend T.,1.65,2.26
Chennai Open,04/01/2006,Moya C.,Gimelstob J.,1.32,3.53
Chennai Open,05/01/2006,Ljubicic I.,Vanek J.,1.09,7.5
Chennai Open,05/01/2006,Vliegen K.,Schuettler R.,1.95,1.83
Chennai Open,05/01/2006,Muller G.,Bopanna R.,1.16,5.06
Chennai Open,05/01/2006,Srichaphan P.,Gicquel M.,1.25,3.93
Chennai Open,06/01/2006,Vliegen K.,Srichaphan P.,3.14,1.36
Chennai Open,06/01/2006,Stepanek R.,Ascione T.,1.26,3.88
Chennai Open,06/01/2006,Moya C.,Phau B.,1.32,3.37
Chennai Open,06/01/2006,Ljubicic I.,Muller G.,1.29,3.53
Chennai Open,07/01/2006,Moya C.,Stepanek R.,2.06,1.75
Chennai Open,08/01/2006,Ljubicic I.,Vliegen K.,1.19,4.58
Chennai Open,08/01/2006,Ljubicic I.,Moya C.,1.6,2.33
Qatar Exxon Mobil Open,02/01/2006,Youzhny M.,Bjorkman J.,1.35,3.14
Qatar Exxon Mobil Open,02/01/2006,Sanguinetti D.,Rochus O.,2.69,1.47
Qatar Exxon Mobil Open,02/01/2006,Haas T.,Wawrinka S.,1.38,2.98
Qatar Exxon Mobil Open,02/01/2006,Moodie W.,Mirnyi M.,2.2,1.66
Qatar Exxon Mobil Open,02/01/2006,Lopez F.,Hanescu V.,1.66,2.21
Qatar Exxon Mobil Open,02/01/2006,Henman T.,Gasquet R.,2.45,1.55
Qatar Exxon Mobil Open,02/01/2006,Baghdatis M.,Sultan-Khalfan A.,1.04,12.06
Qatar Exxon Mobil Open,02/01/2006,Monfils G.,Zib T.,1.29,3.55
Qatar Exxon Mobil Open,03/01/2006,Santoro F.,Marach O.,1.4,2.87
Qatar Exxon Mobil Open,03/01/2006,Davydenko N.,Rochus C.,1.15,5.42
Qatar Exxon Mobil Open,03/01/2006,Volandri F.,Mahut N.,1.9,1.88
Qatar Exxon Mobil Open,03/01/2006,Vik R.,Pavel A.,2.08,1.73
Qatar Exxon Mobil Open,03/01/2006,El Aynaoui Y.,Grosjean S.,4.45,1.21
Qatar Exxon Mobil Open,03/01/2006,Starace P.,Andreev I.,4.05,1.23
Qatar Exxon Mobil Open,03/01/2006,Tursunov D.,Tipsarevic J.,1.43,2.79
Qatar Exxon Mobil Open,03/01/2006,Federer R.,Minar I.,1.02,17.51
Qatar Exxon Mobil Open,04/01/2006,Haas T.,Henman T.,2.16,1.69
Qatar Exxon Mobil Open,04/01/2006,Davydenko N.,Vik R.,1.12,6.78
Qatar Exxon Mobil Open,04/01/2006,Federer R.,Santoro F.,1.02,17.37
Qatar Exxon Mobil Open,04/01/2006,Baghdatis M.,Lopez F.,2.05,1.76
Qatar Exxon Mobil Open,04/01/2006,Youzhny M.,Sanguinetti D.,1.43,2.85
Qatar Exxon Mobil Open,04/01/2006,Volandri F.,Starace P.,1.79,2.01
Qatar Exxon Mobil Open,04/01/2006,Tursunov D.,El Aynaoui Y.,1.44,2.78
Qatar Exxon Mobil Open,04/01/2006,Monfils G.,Moodie W.,1.41,2.88
Qatar Exxon Mobil Open,05/01/2006,Haas T.,Youzhny M.,1.72,2.1
Qatar Exxon Mobil Open,05/01/2006,Federer R.,Baghdatis M.,1.04,11.7
Qatar Exxon Mobil Open,05/01/2006,Monfils G.,Tursunov D.,1.66,2.21
Qatar Exxon Mobil Open,05/01/2006,Volandri F.,Davydenko N.,5.01,1.35
Qatar Exxon Mobil Open,06/01/2006,Federer R.,Haas T.,1.05,9.4
Qatar Exxon Mobil Open,06/01/2006,Monfils G.,Volandri F.,1.37,3.07
Qatar Exxon Mobil Open,07/01/2006,Federer R.,Monfils G.,1.04,11.3
Heineken Open,08/01/2006,Mayer F.,King-Turner D.,,
Heineken Open,09/01/2006,Murray A.,Carlsen K.,1.33,3.3
Heineken Open,09/01/2006,Wawrinka S.,Zib T.,1.49,2.57
Heineken Open,09/01/2006,Vik R.,Lopez F.,2.93,1.39
Heineken Open,09/01/2006,Ancic M.,Nielsen M.,1.07,8.4
Heineken Open,09/01/2006,Nieminen J.,Baghdatis M.,1.86,1.91
Heineken Open,09/01/2006,Rochus O.,Montanes A.,1.11,6.57
Heineken Open,10/01/2006,Hernych J.,Pavel A.,1.84,1.93
Heineken Open,10/01/2006,Sluiter R.,Bracciali D.,1.59,2.34
Heineken Open,10/01/2006,Martin A.,Ginepri R.,4.69,1.19
Heineken Open,10/01/2006,Goldstein P.,Volandri F.,2.08,1.73
Heineken Open,10/01/2006,Ferrer D.,Luzzi F.,1.3,3.47
Heineken Open,10/01/2006,Gonzalez F.,Horna L.,1.26,3.82
Heineken Open,10/01/2006,Minar I.,Moodie W.,2.43,1.57
Heineken Open,10/01/2006,Rochus C.,Acasuso J.,2.16,1.69
Heineken Open,10/01/2006,Massu N.,Hrbaty D.,3.84,1.26
Heineken Open,10/01/2006,Ferrer D.,Sluiter R.,1.49,2.6
Heineken Open,11/01/2006,Nieminen J.,Goldstein P.,1.27,3.8
Heineken Open,11/01/2006,Wawrinka S.,Martin A.,1.56,2.42
Heineken Open,11/01/2006,Ancic M.,Murray A.,1.74,2.07
Heineken Open,11/01/2006,Rochus O.,Hernych J.,1.49,2.6
Heineken Open,11/01/2006,Mayer F.,Vik R.,1.76,2.05
Heineken Open,11/01/2006,Massu N.,Rochus C.,1.49,2.6
Heineken Open,11/01/2006,Gonzalez F.,Minar I.,1.18,4.78
Heineken Open,11/01/2006,Wawrinka S.,Mayer F.,1.76,2.03
Heineken Open,12/01/2006,Nieminen J.,Massu N.,1.59,2.36
Heineken Open,12/01/2006,Ancic M.,Gonzalez F.,2.38,1.58
Heineken Open,12/01/2006,Rochus O.,Ferrer D.,1.99,1.8
Heineken Open,13/01/2006,Ancic M.,Wawrinka S.,1.37,3.12
Heineken Open,13/01/2006,Nieminen J.,Rochus O.,2.08,1.74
Heineken Open,14/01/2006,Nieminen J.,Ancic M.,2.69,1.46
Sydney International,09/01/2006,Guccione C.,Ferrero J.C.,3.93,1.24
Sydney International,09/01/2006,Melzer J.,Chela J.I.,2.23,1.65
Sydney International,09/01/2006,Calleri A.,Mathieu P.H.,1.93,1.85
Sydney International,09/01/2006,Karlovic I.,Hanescu V.,1.6,2.34
Sydney International,09/01/2006,Hewitt L.,Spadea V.,1.1,7.12
Sydney International,09/01/2006,Blake J.,Sanguinetti D.,1.27,3.67
Sydney International,09/01/2006,Clement A.,Dent T.,3.26,1.34
Sydney International,10/01/2006,Andreev I.,Gasquet R.,2.72,1.45
Sydney International,10/01/2006,Monaco J.,Verdasco F.,2.93,1.39
Sydney International,10/01/2006,Tursunov D.,Robredo T.,2.29,1.62
Sydney International,10/01/2006,Serra F.,Santoro F.,1.94,1.85
Sydney International,10/01/2006,Seppi A.,Vliegen K.,1.99,1.81
Sydney International,10/01/2006,Luczak P.,Malisse X.,3.2,1.34
Sydney International,10/01/2006,Srichaphan P.,Stepanek R.,2.62,1.49
Sydney International,10/01/2006,Moya C.,Grosjean S.,1.93,1.86
Sydney International,10/01/2006,Davydenko N.,Berdych T.,1.73,2.11
Sydney International,11/01/2006,Andreev I.,Luczak P.,1.36,3.16
Sydney International,11/01/2006,Clement A.,Monaco J.,1.53,2.52
Sydney International,11/01/2006,Blake J.,Moya C.,1.56,2.42
Sydney International,11/01/2006,Tursunov D.,Serra F.,1.89,1.89
Sydney International,11/01/2006,Hewitt L.,Melzer J.,1.23,4.18
Sydney International,11/01/2006,Davydenko N.,Calleri A.,1.34,3.31
Sydney International,11/01/2006,Seppi A.,Guccione C.,1.62,2.3
Sydney International,12/01/2006,Srichaphan P.,Karlovic I.,1.86,1.91
Sydney International,12/01/2006,Andreev I.,Tursunov D.,2.05,1.76
Sydney International,12/01/2006,Blake J.,Clement A.,1.28,3.72
Sydney International,12/01/2006,Seppi A.,Hewitt L.,5.45,1.15
Sydney International,12/01/2006,Davydenko N.,Srichaphan P.,1.35,3.59
Sydney International,13/01/2006,Andreev I.,Seppi A.,1.63,2.27
Sydney International,13/01/2006,Blake J.,Davydenko N.,1.78,2.02
Sydney International,14/01/2006,Blake J.,Andreev I.,1.36,3.16
Australian Open,16/01/2006,Ginepri R.,Melzer J.,1.39,2.98
Australian Open,16/01/2006,Gaudio G.,Sabau R.,1.15,5.41
Australian Open,16/01/2006,Ferrer D.,Serra F.,1.83,1.95
Australian Open,16/01/2006,Burgsmuller L.,Schuettler R.,2.28,1.62
Australian Open,16/01/2006,Bracciali D.,Lu Y.H.,1.77,2.02
Australian Open,16/01/2006,Hernych J.,Vicente F.,1.22,4.25
Australian Open,16/01/2006,Stepanek R.,Rehnquist B.,1.12,6.28
Australian Open,16/01/2006,Gremelmayr D.,Bjorkman J.,3.93,1.25
Australian Open,16/01/2006,Nalbandian D.,Udomchoke D.,1.05,10.07
Australian Open,16/01/2006,Wawrinka S.,Montanes A.,1.1,7.07
Australian Open,16/01/2006,Baghdatis M.,Gimelstob J.,1.34,3.24
Australian Open,16/01/2006,Nieminen J.,Kimmich M.,1.05,10.05
Australian Open,16/01/2006,Ancic M.,Calleri A.,1.32,3.35
Australian Open,16/01/2006,Pavel A.,Moya C.,4.42,1.22
Australian Open,16/01/2006,Wang Y.T.,Zabaleta M.,1.68,2.19
Australian Open,16/01/2006,Moodie W.,Hernandez O.,1.08,7.98
Australian Open,16/01/2006,Faurel J.C.,Waske A.,2.5,1.52
Australian Open,16/01/2006,Garcia-Lopez G.,Dent T.,5.03,1.17
Australian Open,16/01/2006,Kohlschreiber P.,Dlouhy L.,1.44,2.77
Australian Open,16/01/2006,Ljubicic I.,Guccione C.,1.08,8.25
Australian Open,16/01/2006,Berdych T.,Reynolds B.,1.1,7.18
Australian Open,16/01/2006,Lopez F.,Behrend T.,1.11,6.81
Australian Open,16/01/2006,Santoro F.,Spadea V.,1.61,2.31
Australian Open,16/01/2006,Benneteau J.,Daniel M.,1.37,3.07
Australian Open,16/01/2006,Robredo T.,Vanek J.,1.12,6.26
Australian Open,16/01/2006,Simon G.,Massu N.,2.77,1.45
Australian Open,16/01/2006,Blake J.,Acasuso J.,1.09,7.34
