Tournament,Date,Winner,Loser,AvgW,AvgL
Brisbane International,2012-12-31,Mayer F.,Giraldo S.,1.42,2.78
Brisbane International,2012-12-31,Nieminen J.,Benneteau J.,1.73,2.05
Brisbane International,2012-12-31,Nishikori K.,Matosevic M.,1.28,3.58
Brisbane International,2012-12-31,Baghdatis M.,Mitchell B.,1.08,7.76
Brisbane International,2013-01-01,Istomin D.,Klizan M.,1.88,1.85
Brisbane International,2013-01-01,Millman J.,Ito T.,1.71,2.08
Brisbane International,2013-01-01,Falla A.,Levine J.,2.08,1.7
Brisbane International,2013-01-01,Melzer J.,Kudla D.,1.52,2.46
Brisbane International,2013-01-01,Robredo T.,Harrison R.,2.66,1.47
Brisbane International,2013-01-01,Dimitrov G.,Baker B.,1.39,2.87
Brisbane International,2013-01-01,Goffin D.,Ebden M.,1.59,2.29
Brisbane International,2013-01-01,Hewitt L.,Kunitsyn I.,1.22,4.07
Brisbane International,2013-01-02,Simon G.,Falla A.,1.26,3.73
Brisbane International,2013-01-02,Baghdatis M.,Mayer F.,1.51,2.5
Brisbane International,2013-01-02,Nishikori K.,Robredo T.,1.25,3.84
Brisbane International,2013-01-02,Dolgopolov O.,Nieminen J.,1.49,2.52
Brisbane International,2013-01-03,Dimitrov G.,Raonic M.,2.73,1.43
Brisbane International,2013-01-03,Melzer J.,Goffin D.,2.23,1.62
Brisbane International,2013-01-03,Istomin D.,Hewitt L.,1.93,1.82
Brisbane International,2013-01-03,Murray A.,Millman J.,1.03,13.63
Brisbane International,2013-01-04,Baghdatis M.,Simon G.,1.66,2.18
Brisbane International,2013-01-04,Nishikori K.,Dolgopolov O.,1.65,2.18
Brisbane International,2013-01-04,Dimitrov G.,Melzer J.,1.43,2.77
Brisbane International,2013-01-04,Murray A.,Istomin D.,1.1,6.71
Brisbane International,2013-01-05,Dimitrov G.,Baghdatis M.,1.78,1.98
Brisbane International,2013-01-05,Murray A.,Nishikori K.,1.2,4.44
Brisbane International,2013-01-06,Murray A.,Dimitrov G.,1.16,5.23
Chennai Open,2012-12-31,Soeda G.,Donskoy E.,1.88,1.86
Chennai Open,2012-12-31,Bedene A.,Sousa J.,1.38,2.91
Chennai Open,2012-12-31,Haase R.,Bhambri Y.,1.25,3.81
Chennai Open,2012-12-31,Roger-Vasselin E.,Kuznetsov An.,1.6,2.27
Chennai Open,2013-01-01,Bachinger M.,Lu Y.H.,2.93,1.38
Chennai Open,2013-01-01,Stebe C-M.,Sijsling I.,2.51,1.5
Chennai Open,2013-01-01,Amritraj P.,Rufin G.,2.76,1.42
Chennai Open,2013-01-01,Bautista R.,Kavcic B.,1.51,2.49
Chennai Open,2013-01-01,Paire B.,Cipolla F.,1.47,2.6
Chennai Open,2013-01-01,Devvarman S.,Hajek J.,1.48,2.57
Chennai Open,2013-01-01,Sela D.,Ram R.,1.59,2.3
Chennai Open,2013-01-01,Stakhovsky S.,Bemelmans R.,2.0,1.76
Chennai Open,2013-01-02,Bedene A.,Haase R.,2.17,1.65
Chennai Open,2013-01-02,Soeda G.,Amritraj P.,1.31,3.31
Chennai Open,2013-01-02,Tipsarevic J.,Roger-Vasselin E.,1.16,5.09
Chennai Open,2013-01-02,Wawrinka S.,Stebe C-M.,1.22,4.16
Chennai Open,2013-01-03,Paire B.,Sela D.,1.62,2.24
Chennai Open,2013-01-03,Cilic M.,Stakhovsky S.,1.21,4.25
Chennai Open,2013-01-03,Bautista R.,Bachinger M.,1.84,1.9
Chennai Open,2013-01-03,Berdych T.,Devvarman S.,1.06,9.19
Chennai Open,2013-01-04,Paire B.,Cilic M.,3.38,1.31
Chennai Open,2013-01-04,Bedene A.,Wawrinka S.,5.49,1.14
Chennai Open,2013-01-04,Tipsarevic J.,Soeda G.,1.11,6.31
Chennai Open,2013-01-04,Bautista R.,Berdych T.,8.53,1.07
Chennai Open,2013-01-05,Tipsarevic J.,Bedene A.,5.44,1.14
Chennai Open,2013-01-05,Bautista R.,Paire B.,2.21,1.64
Chennai Open,2013-01-06,Tipsarevic J.,Bautista R.,1.19,4.59
Qatar Exxon Mobil Open,2012-12-31,Bolelli S.,Gimeno-Traver D.,1.5,2.5
Qatar Exxon Mobil Open,2012-12-31,Lorenzi P.,Ramos A.,2.59,1.47
Qatar Exxon Mobil Open,2012-12-31,Davydenko N.,Hanescu V.,1.33,3.21
Qatar Exxon Mobil Open,2012-12-31,Zemlja G.,Fognini F.,1.63,2.21
Qatar Exxon Mobil Open,2012-12-31,Troicki V.,Phau B.,1.4,2.87
Qatar Exxon Mobil Open,2012-12-31,Kohlschreiber P.,Dodig I.,1.5,2.52
Qatar Exxon Mobil Open,2013-01-01,Lacko L.,Garcia-Lopez G.,1.55,2.38
Qatar Exxon Mobil Open,2013-01-01,Rosol L.,Andujar P.,1.36,3.02
Qatar Exxon Mobil Open,2013-01-01,Youzhny M.,Becker B.,1.27,3.64
Qatar Exxon Mobil Open,2013-01-01,Safwat M.,Ali Mutawa J.M.,1.02,13.29
Qatar Exxon Mobil Open,2013-01-01,Brands D.,Chardy J.,2.54,1.49
Qatar Exxon Mobil Open,2013-01-01,Gasquet R.,Hernych J.,1.13,5.74
Qatar Exxon Mobil Open,2013-01-01,Monfils G.,Zayed M. S.,1.02,15.03
Qatar Exxon Mobil Open,2013-01-01,Kamke T.,Ramirez-Hidalgo R.,1.15,5.21
Qatar Exxon Mobil Open,2013-01-01,Ferrer D.,Brown D.,1.03,11.62
Qatar Exxon Mobil Open,2013-01-01,Kubot L.,Lopez F.,2.6,1.47
Qatar Exxon Mobil Open,2013-01-02,Brands D.,Safwat M.,1.11,6.21
Qatar Exxon Mobil Open,2013-01-02,Lorenzi P.,Rosol L.,3.19,1.33
Qatar Exxon Mobil Open,2013-01-02,Davydenko N.,Youzhny M.,1.73,2.04
Qatar Exxon Mobil Open,2013-01-02,Bolelli S.,Kubot L.,2.63,1.46
Qatar Exxon Mobil Open,2013-01-02,Monfils G.,Kohlschreiber P.,2.25,1.61
Qatar Exxon Mobil Open,2013-01-02,Lacko L.,Troicki V.,2.14,1.66
Qatar Exxon Mobil Open,2013-01-02,Gasquet R.,Zemlja G.,1.17,4.81
Qatar Exxon Mobil Open,2013-01-02,Ferrer D.,Kamke T.,1.06,8.82
Qatar Exxon Mobil Open,2013-01-03,Brands D.,Monfils G.,3.87,1.24
Qatar Exxon Mobil Open,2013-01-03,Gasquet R.,Lacko L.,1.3,3.41
Qatar Exxon Mobil Open,2013-01-03,Ferrer D.,Lorenzi P.,1.03,12.52
Qatar Exxon Mobil Open,2013-01-03,Davydenko N.,Bolelli S.,1.21,4.38
Qatar Exxon Mobil Open,2013-01-04,Gasquet R.,Brands D.,1.23,4.04
Qatar Exxon Mobil Open,2013-01-04,Davydenko N.,Ferrer D.,3.57,1.28
Qatar Exxon Mobil Open,2013-01-05,Gasquet R.,Davydenko N.,2.37,1.56
Heineken Open,2013-01-07,Bellucci T.,Goffin D.,2.22,1.63
Heineken Open,2013-01-07,Malisse X.,Klizan M.,2.18,1.65
Heineken Open,2013-01-07,Rochus O.,Ramos A.,1.74,2.04
Heineken Open,2013-01-07,Baker B.,Janowicz J.,2.22,1.63
Heineken Open,2013-01-07,Sijsling I.,Haase R.,1.52,2.47
Heineken Open,2013-01-07,Lacko L.,Lorenzi P.,1.54,2.43
Heineken Open,2013-01-07,Giraldo S.,Soeda G.,1.91,1.83
Heineken Open,2013-01-08,Jones G.,Melzer J.,4.11,1.22
Heineken Open,2013-01-08,Falla A.,Zemlja G.,1.65,2.16
Heineken Open,2013-01-08,Levine J.,King-Turner D.,1.14,5.45
Heineken Open,2013-01-08,Monfils G.,Becker B.,1.54,2.41
Heineken Open,2013-01-08,Lu Y.H.,Paire B.,1.56,2.36
Heineken Open,2013-01-08,Querrey S.,Rochus O.,1.28,3.51
Heineken Open,2013-01-08,Malisse X.,Giraldo S.,2.17,1.66
Heineken Open,2013-01-09,Kohlschreiber P.,Falla A.,1.34,3.15
Heineken Open,2013-01-09,Lacko L.,Bellucci T.,2.02,1.75
Heineken Open,2013-01-09,Levine J.,Baker B.,1.78,1.98
Heineken Open,2013-01-09,Monfils G.,Jones G.,1.18,4.69
Heineken Open,2013-01-09,Haas T.,Sijsling I.,1.48,2.59
Heineken Open,2013-01-09,Ferrer D.,Lu Y.H.,1.09,7.09
Heineken Open,2013-01-09,Kohlschreiber P.,Malisse X.,1.41,2.81
Heineken Open,2013-01-10,Querrey S.,Levine J.,1.27,3.66
Heineken Open,2013-01-10,Ferrer D.,Lacko L.,1.09,7.07
Heineken Open,2013-01-10,Monfils G.,Haas T.,2.28,1.6
Heineken Open,2013-01-11,Kohlschreiber P.,Querrey S.,2.3,1.6
Heineken Open,2013-01-11,Ferrer D.,Monfils G.,1.2,4.5
Heineken Open,2013-01-12,Ferrer D.,Kohlschreiber P.,1.18,4.73
Apia International,2013-01-07,Istomin D.,Duckworth J.,1.16,4.95
Apia International,2013-01-07,Granollers M.,Ebden M.,1.6,2.3
Apia International,2013-01-07,Mayer F.,Sousa J.,1.21,4.23
Apia International,2013-01-07,Benneteau J.,Andujar P.,1.16,4.99
Apia International,2013-01-08,Lopez F.,Chardy J.,1.86,1.88
Apia International,2013-01-08,Stepanek R.,Garcia-Lopez G.,1.62,2.23
Apia International,2013-01-08,Millman J.,Robredo T.,2.44,1.53
Apia International,2013-01-08,Nieminen J.,Phau B.,1.52,2.48
Apia International,2013-01-08,Anderson K.,Bedene A.,1.24,3.91
Apia International,2013-01-08,Fognini F.,Dimitrov G.,3.77,1.25
Apia International,2013-01-08,Harrison R.,Bautista R.,1.32,3.26
Apia International,2013-01-08,Tomic B.,Matosevic M.,1.26,3.69
Apia International,2013-01-09,Benneteau J.,Stepanek R.,2.24,1.61
Apia International,2013-01-09,Istomin D.,Verdasco F.,2.07,1.71
Apia International,2013-01-09,Granollers M.,Fognini F.,1.64,2.21
Apia International,2013-01-09,Anderson K.,Lopez F.,1.42,2.78
Apia International,2013-01-09,Harrison R.,Isner J.,2.21,1.64
Apia International,2013-01-09,Nieminen J.,Klec I.,1.12,7.12
Apia International,2013-01-09,Seppi A.,Millman J.,1.42,2.79
Apia International,2013-01-09,Tomic B.,Mayer F.,1.59,2.31
Apia International,2013-01-10,Anderson K.,Istomin D.,1.54,2.4
Apia International,2013-01-10,Benneteau J.,Harrison R.,1.77,2.0
Apia International,2013-01-10,Tomic B.,Nieminen J.,1.36,3.07
Apia International,2013-01-10,Seppi A.,Granollers M.,1.71,2.08
Apia International,2013-01-11,Anderson K.,Benneteau J.,1.6,2.27
Apia International,2013-01-11,Tomic B.,Seppi A.,1.5,2.54
Apia International,2013-01-12,Tomic B.,Anderson K.,1.65,2.2
Australian Open,2013-01-14,Almagro N.,Johnson S.,1.14,5.49
Australian Open,2013-01-14,Nishikori K.,Hanescu V.,1.08,7.79
Australian Open,2013-01-14,Rufin G.,Reister J.,2.28,1.6
Australian Open,2013-01-14,Berlocq C.,Authom M.,2.15,1.67
Australian Open,2013-01-14,Benneteau J.,Dimitrov G.,2.41,1.55
Australian Open,2013-01-14,Gimeno-Traver D.,Kubot L.,3.25,1.33
Australian Open,2013-01-14,Roger-Vasselin E.,Bemelmans R.,2.07,1.72
Australian Open,2013-01-14,Malisse X.,Andujar P.,1.18,4.59
Australian Open,2013-01-14,Verdasco F.,Goffin D.,1.66,2.19
Australian Open,2013-01-14,Wawrinka S.,Stebe C.M.,1.13,5.67
Australian Open,2013-01-14,Harrison R.,Giraldo S.,1.77,2.0
Australian Open,2013-01-14,Donskoy E.,Ungur A.,1.32,3.31
Australian Open,2013-01-14,Berdych T.,Russell M.,1.03,12.31
Australian Open,2013-01-14,Djokovic N.,Mathieu P.H.,1.01,21.7
Australian Open,2013-01-14,Youzhny M.,Ebden M.,1.17,4.93
Australian Open,2013-01-14,Melzer J.,Kukushkin M.,1.16,5.17
