Tournament,Date,Winner,Loser,AvgW,AvgL
AAPT Championships,31/12/2001,Arazi H.,Kratochvil M.,1.55,2.17
AAPT Championships,31/12/2001,Carlsen K.,Black W.,,
AAPT Championships,31/12/2001,Chela J.I.,Delgado R.,,
AAPT Championships,31/12/2001,Draper S.,Sa A.,,
AAPT Championships,31/12/2001,Enqvist T.,Rios M.,,
AAPT Championships,31/12/2001,Golmard J.,Arthurs W.,,
AAPT Championships,31/12/2001,Henman T.,Fromberg R.,1.15,4.25
AAPT Championships,31/12/2001,Ljubicic I.,Russell M.,,
AAPT Championships,31/12/2001,Llodra M.,Ferreira W.,,
AAPT Championships,31/12/2001,Martin A.,Vinciguerra A.,,
AAPT Championships,31/12/2001,Martin T.,Sampras P.,3.09,1.3
AAPT Championships,31/12/2001,Massu N.,Savolt A.,1.47,2.35
AAPT Championships,31/12/2001,Mathieu P.H.,Ilie A.,,
AAPT Championships,31/12/2001,Philippoussis M.,Boutter J.,1.5,2.27
AAPT Championships,31/12/2001,Rusedski G.,Diaz J.,,
AAPT Championships,31/12/2001,Schalken S.,Kim A.,,
AAPT Championships,31/12/2001,Arazi H.,Mathieu P.H.,1.43,2.53
AAPT Championships,31/12/2001,Enqvist T.,Golmard J.,1.31,2.92
AAPT Championships,31/12/2001,Henman T.,Carlsen K.,1.17,4.02
AAPT Championships,31/12/2001,Ljubicic I.,Massu N.,1.54,2.22
AAPT Championships,31/12/2001,Martin A.,Chela J.I.,1.74,1.86
AAPT Championships,31/12/2001,Martin T.,Llodra M.,1.38,2.63
AAPT Championships,31/12/2001,Philippoussis M.,Schalken S.,1.65,1.98
AAPT Championships,31/12/2001,Rusedski G.,Draper S.,1.25,3.22
AAPT Championships,31/12/2001,Arazi H.,Ljubicic I.,,
AAPT Championships,31/12/2001,Henman T.,Rusedski G.,1.54,2.22
AAPT Championships,31/12/2001,Martin A.,Enqvist T.,3.18,1.28
AAPT Championships,31/12/2001,Philippoussis M.,Martin T.,1.4,2.52
AAPT Championships,31/12/2001,Henman T.,Martin A.,,
AAPT Championships,31/12/2001,Philippoussis M.,Arazi H.,,
AAPT Championships,31/12/2001,Henman T.,Philippoussis M.,2.0,1.67
TATA Open,31/12/2001,Calatrava A.,Fukarek O.,,
TATA Open,31/12/2001,Canas G.,Bastl G.,1.32,2.9
TATA Open,31/12/2001,Galvani S.,Luzzi F.,1.98,1.67
TATA Open,31/12/2001,Hrbaty D.,Pretzsch A.,,
TATA Open,31/12/2001,Johansson T.,Heuberger I.,1.21,3.62
TATA Open,31/12/2001,Karlovic I.,Black B.,,
TATA Open,31/12/2001,Kucera K.,Balcells J.,1.4,2.52
TATA Open,31/12/2001,Labadze I.,Dupre T.,,
TATA Open,31/12/2001,Okun N.,Pless K.,2.73,1.34
TATA Open,31/12/2001,Pavel A.,Marin J.A.,,
TATA Open,31/12/2001,Rochus O.,Lee M.,1.59,2.08
TATA Open,31/12/2001,Santoro F.,Wessels P.,1.45,2.38
TATA Open,31/12/2001,Srichaphan P.,Mirnyi M.,2.72,1.35
