Tournament,Date,Winner,Loser,AvgW,AvgL
ASB Classic,2018-12-31,Puig M.,Mattek-Sands B.,1.37,3.09
ASB Classic,2018-12-31,Davis L.,Arruabarrena L.,1.5,2.59
ASB Classic,2018-12-31,Kuzmova V.,Zidansek T.,1.62,2.28
ASB Classic,2018-12-31,Bouchard E.,Brengle M.,1.53,2.51
ASB Classic,2018-12-31,Sorribes Tormo S.,Voegele S.,2.35,1.59
ASB Classic,2019-01-01,Kenin S.,Martic P.,2.03,1.78
ASB Classic,2019-01-01,Flipkens K.,Vickery S.,1.83,1.98
ASB Classic,2019-01-01,Strycova B.,Townsend T.,1.31,3.5
ASB Classic,2019-01-01,Schoofs B.,Van Uytvanck A.,2.68,1.47
ASB Classic,2019-01-01,Hsieh S.W.,Hercog P.,1.55,2.46
ASB Classic,2019-01-01,Barthel M.,Soler-Espinosa S.,1.45,2.74
ASB Classic,2019-01-01,Goerges J.,Larsson J.,1.18,4.89
ASB Classic,2019-01-01,Anisimova A.,Cepelova J.,1.52,2.58
ASB Classic,2019-01-01,Williams V.,Azarenka V.,2.28,1.63
ASB Classic,2019-01-01,Andreescu B.,Babos T.,1.69,2.17
ASB Classic,2019-01-02,Wozniacki C.,Siegemund L.,1.35,3.21
ASB Classic,2019-01-01,Sorribes Tormo S.,Flipkens K.,2.61,1.49
ASB Classic,2019-01-02,Hsieh S.W.,Puig M.,2.14,1.71
ASB Classic,2019-01-02,Bouchard E.,Schoofs B.,1.28,3.69
ASB Classic,2019-01-02,Goerges J.,Barthel M.,1.29,3.59
ASB Classic,2019-01-02,Kuzmova V.,Kenin S.,2.01,1.81
ASB Classic,2019-01-03,Anisimova A.,Strycova B.,1.77,2.07
ASB Classic,2019-01-03,Williams V.,Davis L.,1.27,3.76
ASB Classic,2019-01-03,Andreescu B.,Wozniacki C.,4.16,1.23
ASB Classic,2019-01-03,Kuzmova V.,Anisimova A.,2.3,1.63
ASB Classic,2019-01-04,Goerges J.,Bouchard E.,1.36,3.15
ASB Classic,2019-01-04,Andreescu B.,Williams V.,2.35,1.61
ASB Classic,2019-01-04,Hsieh S.W.,Sorribes Tormo S.,1.31,3.5
ASB Classic,2019-01-05,Goerges J.,Kuzmova V.,1.33,3.33
ASB Classic,2019-01-05,Andreescu B.,Hsieh S.W.,1.93,1.89
ASB Classic,2019-01-06,Goerges J.,Andreescu B.,1.42,2.91
Brisbane International,2018-12-31,Tsurenko L.,Buzarnescu M.,1.89,1.92
Brisbane International,2018-12-31,Birrell K.,Kasatkina D.,6.35,1.12
Brisbane International,2018-12-31,Pliskova Ka.,Putintseva Y.,1.18,4.86
Brisbane International,2018-12-31,Aiava D.,Mladenovic K.,2.12,1.73
