Tournament,Date,Winner,Loser,AvgW,AvgL
Adelaide International 1,01/01/2023,Andreescu B.,Muguruza G.,1.51,2.55
Adelaide International 1,01/01/2023,Kanepi K.,Sasnovich A.,1.9,1.89
Adelaide International 1,02/01/2023,Noskova L.,Kasatkina D.,3.04,1.37
Adelaide International 1,02/01/2023,Begu I.,Rogers S.,2.66,1.47
Adelaide International 1,02/01/2023,Kudermetova V.,Anisimova A.,1.52,2.48
Adelaide International 1,02/01/2023,Kostyuk M.,Fourlis J.,1.14,5.6
Adelaide International 1,02/01/2023,Rybakina E.,Collins D.,1.65,2.22
Adelaide International 1,02/01/2023,Samsonova L.,Zhang S.,1.25,3.84
Adelaide International 1,03/01/2023,Zheng Q.,Kontaveit A.,1.64,2.24
Adelaide International 1,03/01/2023,Vondrousova M.,Alexandrova E.,1.79,2.01
Adelaide International 1,03/01/2023,Azarenka V.,Kalinina A.,1.73,2.1
Adelaide International 1,03/01/2023,Liu C.,Hon P.,1.25,3.89
Adelaide International 1,03/01/2023,Cirstea S.,Golubic V.,2.24,1.64
Adelaide International 1,03/01/2023,Ostapenko J.,Pliskova Ka.,2.02,1.78
Adelaide International 1,04/01/2023,Vondrousova M.,Kanepi K.,1.51,2.54
Adelaide International 1,04/01/2023,Sabalenka A.,Samsonova L.,2.13,1.71
Adelaide International 1,04/01/2023,Kostyuk M.,Rybakina E.,3.27,1.33
Adelaide International 1,04/01/2023,Kudermetova V.,Andreescu B.,1.61,2.3
Adelaide International 1,05/01/2023,Noskova L.,Liu C.,1.68,2.18
Adelaide International 1,05/01/2023,Begu I.,Ostapenko J.,2.8,1.43
Adelaide International 1,05/01/2023,Azarenka V.,Zheng Q.,2.16,1.68
Adelaide International 1,05/01/2023,Jabeur O.,Cirstea S.,1.27,3.71
Adelaide International 1,06/01/2023,Sabalenka A.,Vondrousova M.,1.78,2.03
Adelaide International 1,06/01/2023,Begu I.,Kudermetova V.,3.79,1.26
Adelaide International 1,06/01/2023,Noskova L.,Azarenka V.,2.57,1.5
Adelaide International 1,06/01/2023,Jabeur O.,Kostyuk M.,1.36,3.09
Adelaide International 1,07/01/2023,Sabalenka A.,Begu I.,1.35,3.16
Adelaide International 1,07/01/2023,Noskova L.,Jabeur O.,3.36,1.32
Adelaide International 1,08/01/2023,Sabalenka A.,Noskova L.,1.35,3.22
ASB Classic,02/01/2023,Zhu L.,Brengle M.,2.33,1.59
ASB Classic,02/01/2023,Marino R.,Galfi D.,1.42,2.83
ASB Classic,02/01/2023,Bonaventure Y.,Mcnally C.,2.61,1.49
ASB Classic,02/01/2023,Fernandez L.A.,Fruhvirtova B.,1.38,2.98
ASB Classic,02/01/2023,Grabher J.,Martincova T.,3.03,1.37
ASB Classic,02/01/2023,Williams V.,Volynets K.,3.03,1.37
ASB Classic,03/01/2023,Blinkova A.,Cocciaretto E.,1.97,1.82
ASB Classic,03/01/2023,Kuzmova V.,Pera B.,2.2,1.65
