Tournament,Date,Winner,Loser,AvgW,AvgL
ASB Classic,2016-01-03,Ostapenko J.,Larsson J.,2.1,1.72
ASB Classic,2016-01-03,Witthoeft C.,Maria T.,1.79,2.0
ASB Classic,2016-01-04,Kuznetsova S.,Barthel M.,1.42,2.8
ASB Classic,2016-01-04,Hibino N.,Duque Marino M.,1.81,1.96
ASB Classic,2016-01-04,Dulgheru A.,Van Uytvanck A.,2.52,1.51
ASB Classic,2016-01-04,Stephens S.,Hercog P.,1.34,3.15
ASB Classic,2016-01-04,Falconi I.,Vandeweghe C.,2.71,1.44
ASB Classic,2016-01-04,Mchale C.,Doi M.,2.16,1.67
ASB Classic,2016-01-04,Goerges J.,Hradecka L.,1.53,2.47
ASB Classic,2016-01-04,Paszek T.,Schiavone F.,1.68,2.15
ASB Classic,2016-01-05,Strycova B.,Bertens K.,1.55,2.4
ASB Classic,2016-01-05,Flipkens K.,Mattek-Sands B.,1.9,1.86
ASB Classic,2016-01-05,Wozniacki C.,Kovinic D.,1.14,5.32
ASB Classic,2016-01-05,Kasatkina D.,Williams V.,4.6,1.19
ASB Classic,2016-01-05,Broady N.,Ivanovic A.,6.29,1.11
ASB Classic,2016-01-05,Erakovic M.,Putintseva Y.,2.36,1.57
ASB Classic,2016-01-05,Stephens S.,Witthoeft C.,1.26,3.78
ASB Classic,2016-01-05,Paszek T.,Kuznetsova S.,3.64,1.28
ASB Classic,2016-01-06,Hibino N.,Kasatkina D.,3.22,1.33
ASB Classic,2016-01-06,Broady N.,Ostapenko J.,2.2,1.65
ASB Classic,2016-01-06,Flipkens K.,Falconi I.,1.57,2.38
ASB Classic,2016-01-06,Goerges J.,Strycova B.,2.36,1.57
ASB Classic,2016-01-06,Dulgheru A.,Erakovic M.,1.89,1.87
ASB Classic,2016-01-06,Wozniacki C.,Mchale C.,1.21,4.22
ASB Classic,2016-01-06,Paszek T.,Flipkens K.,2.01,1.78
ASB Classic,2016-01-07,Goerges J.,Hibino N.,1.42,2.8
ASB Classic,2016-01-07,Stephens S.,Broady N.,1.26,3.84
ASB Classic,2016-01-07,Wozniacki C.,Dulgheru A.,1.09,7.05
ASB Classic,2016-01-08,Goerges J.,Paszek T.,1.6,2.33
ASB Classic,2016-01-08,Stephens S.,Wozniacki C.,3.24,1.33
ASB Classic,2016-01-09,Stephens S.,Goerges J.,1.48,2.64
Brisbane International,2016-01-03,Lepchenko V.,Schmiedlova A.,2.21,1.64
Brisbane International,2016-01-03,Cibulkova D.,Wickmayer Y.,1.73,2.08
Brisbane International,2016-01-03,Pavlyuchenkova A.,Bacsinszky T.,2.02,1.77
Brisbane International,2016-01-03,Cornet A.,Mladenovic K.,2.29,1.61
Brisbane International,2016-01-03,Petkovic A.,Pereira T.,1.27,3.65
Brisbane International,2016-01-04,Crawford S.,Hon P.,1.2,4.46
Brisbane International,2016-01-04,Vinci R.,Jankovic J.,2.42,1.55
Brisbane International,2016-01-04,Suarez Navarro C.,Tomljanovic A.,1.34,3.2
Brisbane International,2016-01-04,Brengle M.,Bondarenko K.,1.73,2.07
Brisbane International,2016-01-04,Bencic B.,Errani S.,1.45,2.7
Brisbane International,2016-01-04,Kerber A.,Giorgi C.,1.3,3.45
Brisbane International,2016-01-04,Stosur S.,Cepelova J.,1.38,2.99
Brisbane International,2016-01-04,Azarenka V.,Vesnina E.,1.14,5.37
Brisbane International,2016-01-05,Makarova E.,Gasparyan M.,1.49,2.53
Brisbane International,2016-01-05,Vinci R.,Cibulkova D.,1.82,1.95
Brisbane International,2016-01-05,Pavlyuchenkova A.,Cornet A.,1.4,2.89
Brisbane International,2016-01-05,Suarez Navarro C.,Stosur S.,1.73,2.09
Brisbane International,2016-01-06,Kerber A.,Brengle M.,1.15,5.15
Brisbane International,2016-01-06,Crawford S.,Bencic B.,8.6,1.06
Brisbane International,2016-01-06,Petkovic A.,Makarova E.,1.89,1.87
Brisbane International,2016-01-06,Azarenka V.,Bonaventure Y.,1.02,15.6
Brisbane International,2016-01-06,Lepchenko V.,Muguruza G.,5.61,1.14
Brisbane International,2016-01-07,Kerber A.,Pavlyuchenkova A.,1.38,2.98
Brisbane International,2016-01-07,Crawford S.,Petkovic A.,3.94,1.24
Brisbane International,2016-01-07,Suarez Navarro C.,Lepchenko V.,1.38,3.01
Brisbane International,2016-01-07,Azarenka V.,Vinci R.,1.22,4.19
Brisbane International,2016-01-08,Kerber A.,Suarez Navarro C.,1.31,3.42
Brisbane International,2016-01-08,Azarenka V.,Crawford S.,1.12,6.26
Brisbane International,2016-01-09,Azarenka V.,Kerber A.,1.46,2.68
Shenzhen Open,2016-01-04,Hsieh S.W.,Duan Y.Y.,1.55,2.42
Shenzhen Open,2016-01-04,Riske A.,Beck A.,2.11,1.7
Shenzhen Open,2016-01-04,Babos T.,Rodina E.,1.44,2.73
Shenzhen Open,2016-01-04,Friedsam A.L.,Jovanovski B.,1.71,2.1
Shenzhen Open,2016-01-04,Begu I.,Arruabarrena L.,1.36,3.06
Shenzhen Open,2016-01-04,Niculescu M.,Sevastova A.,1.38,2.98
Shenzhen Open,2016-01-04,Diyas Z.,Zhang K.L.,1.59,2.31
Shenzhen Open,2016-01-04,Siniakova K.,Mitu A.,1.56,2.39
Shenzhen Open,2016-01-05,Wang Q.,Konta J.,4.05,1.23
Shenzhen Open,2016-01-05,Gibbs N.,Smitkova T.,1.37,3.01
Shenzhen Open,2016-01-05,Zhang S.,Khromacheva I.,1.39,2.93
Shenzhen Open,2016-01-05,Kontaveit A.,Shvedova Y.,3.18,1.33
Shenzhen Open,2016-01-05,Radwanska A.,Krunic A.,1.05,9.67
Shenzhen Open,2016-01-05,Bouchard E.,Vekic D.,1.46,2.66
Shenzhen Open,2016-01-05,King V.,Voegele S.,2.25,1.59
Shenzhen Open,2016-01-05,Zheng S.,Kvitova P.,7.87,1.07
Shenzhen Open,2016-01-06,Friedsam A.L.,Begu I.,2.68,1.45
Shenzhen Open,2016-01-06,Babos T.,Niculescu M.,2.26,1.62
Shenzhen Open,2016-01-06,Riske A.,Hsieh S.W.,1.72,2.09
Shenzhen Open,2016-01-06,Bouchard E.,Gibbs N.,1.84,1.93
Shenzhen Open,2016-01-06,Wang Q.,King V.,1.53,2.44
Shenzhen Open,2016-01-06,Siniakova K.,Diyas Z.,1.96,1.8
Shenzhen Open,2016-01-06,Radwanska A.,Zhang S.,1.03,11.51
Shenzhen Open,2016-01-06,Kontaveit A.,Zheng S.,1.75,2.04
Shenzhen Open,2016-01-07,Riske A.,Kontaveit A.,1.84,1.93
Shenzhen Open,2016-01-07,Babos T.,Bouchard E.,2.32,1.6
Shenzhen Open,2016-01-07,Radwanska A.,Wang Q.,1.04,11.16
Shenzhen Open,2016-01-07,Friedsam A.L.,Siniakova K.,2.01,1.78
Shenzhen Open,2016-01-08,Riske A.,Babos T.,2.52,1.51
