Tournament,Date,Winner,Loser,AvgW,AvgL
ASB Classic,2009-01-04,Rezai A.,Daniilidou E.,1.42,2.72
ASB Classic,2009-01-05,Vaidisova N.,Kudryavtseva A.,1.43,2.69
ASB Classic,2009-01-05,Zahlavova Strycova B.,Razzano V.,2.93,1.37
ASB Classic,2009-01-05,Craybas J.,Date Krumm K.,1.4,2.8
ASB Classic,2009-01-05,Gallovits E.,Zakopalova K.,1.7,2.09
ASB Classic,2009-01-05,Peer S.,Cetkovska P.,1.33,3.21
ASB Classic,2009-01-05,Wozniak A.,Rybarikova M.,1.66,2.13
ASB Classic,2009-01-05,Medina Garrigues A.,Santangelo M.,1.26,3.64
ASB Classic,2009-01-05,Vesnina E.,Nakamura A.,1.52,2.43
ASB Classic,2009-01-05,Suarez Navarro C.,Dechy N.,2.49,1.5
ASB Classic,2009-01-05,Wozniacki C.,Brianti A.,1.07,7.6
ASB Classic,2009-01-05,Dementieva E.,Chan Y.J.,1.06,7.84
ASB Classic,2009-01-05,Morita A.,Domachowska M.,1.83,1.88
ASB Classic,2009-01-06,Erakovic M.,Llagostera Vives N.,1.88,1.84
ASB Classic,2009-01-06,Keothavong A.,Lucic M.,1.37,2.94
ASB Classic,2009-01-06,Pavlyuchenkova A.,Barrois K.,1.36,3.01
ASB Classic,2009-01-06,Vesnina E.,Vaidisova N.,2.46,1.52
ASB Classic,2009-01-06,Peer S.,Zahlavova Strycova B.,1.39,2.86
ASB Classic,2009-01-06,Wozniacki C.,Craybas J.,1.1,6.88
ASB Classic,2009-01-07,Rezai A.,Pavlyuchenkova A.,2.79,1.41
ASB Classic,2009-01-07,Keothavong A.,Suarez Navarro C.,1.85,1.87
ASB Classic,2009-01-07,Dementieva E.,Erakovic M.,1.09,6.9
ASB Classic,2009-01-07,Gallovits E.,Medina Garrigues A.,3.52,1.28
ASB Classic,2009-01-07,Morita A.,Wozniak A.,2.31,1.56
ASB Classic,2009-01-07,Rezai A.,Gallovits E.,1.83,1.92
ASB Classic,2009-01-08,Dementieva E.,Peer S.,1.17,4.61
ASB Classic,2009-01-08,Keothavong A.,Morita A.,1.78,1.94
ASB Classic,2009-01-08,Vesnina E.,Wozniacki C.,4.91,1.16
ASB Classic,2009-01-08,Dementieva E.,Rezai A.,1.1,6.4
ASB Classic,2009-01-09,Vesnina E.,Keothavong A.,1.55,2.35
ASB Classic,2009-01-10,Dementieva E.,Vesnina E.,1.13,5.64
Brisbane International,2009-01-04,Gajdosova J.,Peng S.,2.73,1.41
Brisbane International,2009-01-04,Azarenka V.,Bondarenko K.,1.19,4.3
Brisbane International,2009-01-04,Bartoli M.,Wejnert M.,1.06,7.74
Brisbane International,2009-01-04,Pironkova T.,Niculescu M.,1.63,2.17
Brisbane International,2009-01-04,Kleybanova A.,Kanepi K.,2.17,1.63
Brisbane International,2009-01-05,Stosur S.,Sugiyama A.,1.63,2.19
Brisbane International,2009-01-05,Coin J.,Wickmayer Y.,2.03,1.72
Brisbane International,2009-01-05,Karatantcheva S.,Benesova I.,2.14,1.65
Brisbane International,2009-01-05,Govortsova O.,Schiavone F.,2.81,1.4
Brisbane International,2009-01-05,Vinci R.,Groenefeld A.L.,2.64,1.45
Brisbane International,2009-01-05,Errani S.,Hantuchova D.,2.69,1.43
Brisbane International,2009-01-05,Mauresmo A.,Dokic J.,1.29,3.4
Brisbane International,2009-01-05,Garbin T.,Arvidsson S.,2.27,1.58
Brisbane International,2009-01-05,Czink M.,Bondarenko A.,3.0,1.37
Brisbane International,2009-01-05,Safarova L.,Holland I.,1.11,5.95
Brisbane International,2009-01-05,Ivanovic A.,Kvitova P.,1.12,5.65
Brisbane International,2009-01-06,Garbin T.,Kleybanova A.,2.72,1.42
Brisbane International,2009-01-06,Azarenka V.,Gajdosova J.,1.15,5.03
Brisbane International,2009-01-06,Bartoli M.,Czink M.,1.2,4.27
Brisbane International,2009-01-06,Safarova L.,Stosur S.,2.41,1.54
Brisbane International,2009-01-07,Errani S.,Pironkova T.,1.67,2.12
Brisbane International,2009-01-07,Mauresmo A.,Coin J.,1.24,3.81
Brisbane International,2009-01-07,Govortsova O.,Karatantcheva S.,1.5,2.52
Brisbane International,2009-01-07,Ivanovic A.,Vinci R.,1.05,8.96
Brisbane International,2009-01-08,Azarenka V.,Safarova L.,1.33,3.24
Brisbane International,2009-01-08,Errani S.,Govortsova O.,1.7,2.06
Brisbane International,2009-01-08,Mauresmo A.,Ivanovic A.,3.37,1.3
Brisbane International,2009-01-08,Bartoli M.,Garbin T.,1.25,3.73
Brisbane International,2009-01-09,Azarenka V.,Errani S.,1.3,3.44
Brisbane International,2009-01-09,Bartoli M.,Mauresmo A.,2.12,1.68
Brisbane International,2009-01-10,Azarenka V.,Bartoli M.,1.48,2.58
Moorilla Hobart International,2009-01-11,Bondarenko A.,Niculescu M.,1.57,2.31
Moorilla Hobart International,2009-01-11,Benesova I.,Tanasugarn T.,1.76,1.98
Moorilla Hobart International,2009-01-11,Rybarikova M.,Bondarenko K.,1.72,2.04
Moorilla Hobart International,2009-01-11,Kvitova P.,Peers S.,1.09,6.8
Moorilla Hobart International,2009-01-11,Pironkova T.,Schnyder P.,2.91,1.38
Moorilla Hobart International,2009-01-11,Radwanska U.,Wozniak A.,2.56,1.47
Moorilla Hobart International,2009-01-11,Pavlyuchenkova A.,Rogowska O.,1.07,7.7
Moorilla Hobart International,2009-01-11,Razzano V.,Camerin M.E.,1.59,2.25
Moorilla Hobart International,2009-01-12,Zheng J.,Erakovic M.,1.43,2.73
Moorilla Hobart International,2009-01-12,Czink M.,Garbin T.,1.86,1.85
Moorilla Hobart International,2009-01-12,Govortsova O.,Moore J.,1.18,4.46
Moorilla Hobart International,2009-01-12,Keothavong A.,Szavay A.,1.84,1.85
Moorilla Hobart International,2009-01-12,Santangelo M.,Vaidisova N.,3.02,1.36
Moorilla Hobart International,2009-01-12,Suarez Navarro C.,Chakvetadze A.,3.45,1.28
Moorilla Hobart International,2009-01-12,Dulko G.,Voegele S.,1.44,2.66
Moorilla Hobart International,2009-01-12,Pennetta F.,Peer S.,1.42,2.76
Moorilla Hobart International,2009-01-13,Pavlyuchenkova A.,Suarez Navarro C.,1.39,2.84
Moorilla Hobart International,2009-01-13,Dulko G.,Zheng J.,2.36,1.54
Moorilla Hobart International,2009-01-13,Razzano V.,Keothavong A.,1.86,1.86
Moorilla Hobart International,2009-01-13,Benesova I.,Santangelo M.,1.67,2.1
Moorilla Hobart International,2009-01-13,Kvitova P.,Bondarenko A.,1.66,2.13
Moorilla Hobart International,2009-01-13,Rybarikova M.,Pennetta F.,3.63,1.26
Moorilla Hobart International,2009-01-13,Czink M.,Radwanska U.,1.66,2.12
Moorilla Hobart International,2009-01-13,Pironkova T.,Govortsova O.,1.52,2.44
Moorilla Hobart International,2009-01-14,Rybarikova M.,Czink M.,1.6,2.24
Moorilla Hobart International,2009-01-14,Benesova I.,Dulko G.,2.3,1.58
Moorilla Hobart International,2009-01-14,Razzano V.,Pironkova T.,2.13,1.67
Moorilla Hobart International,2009-01-14,Kvitova P.,Pavlyuchenkova A.,1.72,2.05
Moorilla Hobart International,2009-01-15,Benesova I.,Rybarikova M.,1.8,1.94
Moorilla Hobart International,2009-01-15,Kvitova P.,Razzano V.,1.81,1.93
Moorilla Hobart International,2009-01-16,Kvitova P.,Benesova I.,1.67,2.12
Medibank International,2009-01-11,Kuznetsova S.,Peng S.,1.16,4.77
Medibank International,2009-01-11,Williams S.,Stosur S.,1.12,5.65
Medibank International,2009-01-11,Radwanska A.,Bammer S.,1.31,3.31
Medibank International,2009-01-12,Cornet A.,Petrova N.,1.71,2.06
Medibank International,2009-01-12,Kleybanova A.,Kirilenko M.,1.82,1.9
Medibank International,2009-01-12,Wozniacki C.,Cibulkova D.,1.94,1.78
Medibank International,2009-01-12,Kanepi K.,Kerber A.,1.42,2.74
Medibank International,2009-01-12,Dementieva E.,Makarova E.,1.09,6.75
Medibank International,2009-01-12,Gajdosova J.,Knapp K.,,
Medibank International,2009-01-12,Dushevina V.,Starr E.,1.1,6.65
Medibank International,2009-01-12,South M.,Bartoli M.,4.92,1.16
Medibank International,2009-01-12,Sugiyama A.,Craybas J.,1.63,2.18
Medibank International,2009-01-12,Errani S.,Dellacqua C.,1.56,2.32
Medibank International,2009-01-12,Hantuchova D.,Zakopalova K.,1.34,3.08
Medibank International,2009-01-12,Medina Garrigues A.,Yakimova A.,,
Medibank International,2009-01-12,Safina D.,Cirstea S.,1.12,5.71
Medibank International,2009-01-13,Dementieva E.,Gajdosova J.,1.09,6.76
Medibank International,2009-01-13,Radwanska A.,Hantuchova D.,1.39,2.79
Medibank International,2009-01-13,Wozniacki C.,South M.,1.05,9.05
Medibank International,2009-01-13,Sugiyama A.,Medina Garrigues A.,1.86,1.87
Medibank International,2009-01-13,Safina D.,Dushevina V.,1.11,5.81
Medibank International,2009-01-13,Williams S.,Errani S.,1.14,5.42
Medibank International,2009-01-13,Kuznetsova S.,Kanepi K.,1.19,4.31
Medibank International,2009-01-13,Cornet A.,Kleybanova A.,1.52,2.43
Medibank International,2009-01-14,Safina D.,Cornet A.,1.22,4.08
Medibank International,2009-01-14,Sugiyama A.,Kuznetsova S.,4.21,1.21
Medibank International,2009-01-14,Dementieva E.,Radwanska A.,1.46,2.63
Medibank International,2009-01-14,Williams S.,Wozniacki C.,1.29,3.51
Medibank International,2009-01-15,Safina D.,Sugiyama A.,1.11,6.15
Medibank International,2009-01-15,Dementieva E.,Williams S.,2.11,1.68
Medibank International,2009-01-16,Dementieva E.,Safina D.,1.38,4.72
Australian Open,2009-01-19,Kanepi K.,Date Krumm K.,1.19,4.3
Australian Open,2009-01-19,Mayr P.,Schruff J.,2.35,1.55
Australian Open,2009-01-19,Cornet A.,Koryttseva M.,1.09,6.65
Australian Open,2009-01-19,Ivanovic A.,Goerges J.,1.06,8.65
Australian Open,2009-01-19,Zvonareva V.,Rybarikova M.,1.07,7.64
Australian Open,2009-01-19,Brianti A.,Wickmayer Y.,1.79,1.94
Australian Open,2009-01-19,Petkovic A.,Woerle K.,1.86,1.85
Australian Open,2009-01-19,Pironkova T.,Sprem K.,1.53,2.4
Australian Open,2009-01-19,Dechy N.,Kutuzova V.,1.56,2.33
Australian Open,2009-01-19,Niculescu M.,O'Brien K.,1.29,3.42
Australian Open,2009-01-19,Jankovic J.,Meusburger Y.,1.01,14.0
Australian Open,2009-01-19,Bartoli M.,South M.,1.13,5.64
Australian Open,2009-01-19,Flipkens K.,De Los Rios R.,1.92,1.8
Australian Open,2009-01-19,Voskoboeva G.,Szavay A.,2.89,1.39
