Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,AvgW,AvgL
Auckland,ASB Classic,2013-12-30,International,Outdoor,Hard,1st Round,3,Muguruza G.,Mchale C.,63,66.0,933,882.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,2.34,1.57
Auckland,ASB Classic,2013-12-30,International,Outdoor,Hard,1st Round,3,Meusburger Y.,Barthel M.,49,34.0,1138,1545.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,2.38,1.56
Auckland,ASB Classic,2013-12-30,International,Outdoor,Hard,1st Round,3,Pliskova Ka.,Ormaechea P.,71,62.0,839,954.0,7.0,6.0,6.0,1.0,,,2.0,0.0,Completed,1.6,2.3
Auckland,ASB Classic,2013-12-30,International,Outdoor,Hard,1st Round,3,Hampton J.,Paszek T.,28,179.0,1781,355.0,1.0,6.0,6.0,0.0,6.0,3.0,2.0,1.0,Completed,1.26,3.82
Auckland,ASB Classic,2013-12-30,International,Outdoor,Hard,1st Round,3,Larsson J.,Dominguez Lino L.,84,69.0,753,842.0,7.0,5.0,6.0,0.0,,,2.0,0.0,Completed,1.6,2.28
Auckland,ASB Classic,2013-12-30,International,Outdoor,Hard,1st Round,3,Nara K.,Cadantu A.,81,61.0,778,967.0,6.0,1.0,4.0,0.0,,,1.0,0.0,Retired,1.41,2.78
Auckland,ASB Classic,2013-12-30,International,Outdoor,Hard,1st Round,3,Williams V.,Hlavackova A.,47,134.0,1147,470.0,6.0,3.0,7.0,6.0,,,2.0,0.0,Completed,1.2,4.41
Auckland,ASB Classic,2013-12-30,International,Outdoor,Hard,1st Round,3,Pliskova Kr.,Wickmayer Y.,130,51.0,487,1127.0,7.0,6.0,6.0,0.0,,,2.0,0.0,Completed,2.35,1.57
Auckland,ASB Classic,2013-12-30,International,Outdoor,Hard,1st Round,3,Flipkens K.,Puig M.,20,56.0,2495,1061.0,6.0,4.0,7.0,5.0,,,2.0,0.0,Completed,1.59,2.3
Auckland,ASB Classic,2013-12-31,International,Outdoor,Hard,1st Round,3,Ishizu S.,Kontaveit A.,204,249.0,311,240.0,6.0,3.0,1.0,6.0,6.0,3.0,2.0,1.0,Completed,3.34,1.31
Auckland,ASB Classic,2013-12-31,International,Outdoor,Hard,1st Round,3,Fichman S.,Cirstea S.,116,22.0,576,2170.0,6.0,1.0,6.0,4.0,,,2.0,0.0,Completed,2.99,1.37
Auckland,ASB Classic,2013-12-31,International,Outdoor,Hard,1st Round,3,Ivanovic A.,Riske A.,16,57.0,2850,1060.0,7.0,5.0,7.0,6.0,,,2.0,0.0,Completed,1.18,4.66
Auckland,ASB Classic,2013-12-31,International,Outdoor,Hard,1st Round,3,Morita A.,Safarova L.,60,29.0,1022,1775.0,7.0,6.0,6.0,3.0,,,2.0,0.0,Completed,3.21,1.33
Auckland,ASB Classic,2013-12-31,International,Outdoor,Hard,1st Round,3,Davis L.,Erakovic M.,70,46.0,841,1150.0,6.0,1.0,6.0,4.0,,,2.0,0.0,Completed,2.49,1.52
Auckland,ASB Classic,2013-12-31,International,Outdoor,Hard,1st Round,3,Goerges J.,Knapp K.,72,41.0,836,1237.0,4.0,6.0,7.0,6.0,7.0,6.0,2.0,1.0,Completed,2.19,1.65
Auckland,ASB Classic,2013-12-31,International,Outdoor,Hard,1st Round,3,Konjuh A.,Vinci R.,259,14.0,225,3170.0,3.0,6.0,6.0,4.0,6.0,2.0,2.0,1.0,Completed,4.87,1.17
Auckland,ASB Classic,2013-12-31,International,Outdoor,Hard,2nd Round,3,Nara K.,Morita A.,81,60.0,778,1022.0,6.0,0.0,6.0,1.0,,,2.0,0.0,Completed,2.32,1.58
Auckland,ASB Classic,2013-12-31,International,Outdoor,Hard,2nd Round,3,Flipkens K.,Pliskova Ka.,20,71.0,2495,839.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.44,2.72
Auckland,ASB Classic,2014-01-01,International,Outdoor,Hard,2nd Round,3,Muguruza G.,Fichman S.,63,116.0,933,576.0,1.0,6.0,6.0,3.0,6.0,3.0,2.0,1.0,Completed,1.59,2.31
Auckland,ASB Classic,2014-01-01,International,Outdoor,Hard,2nd Round,3,Hampton J.,Pliskova Kr.,28,130.0,1781,487.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.42,2.76
Auckland,ASB Classic,2014-01-01,International,Outdoor,Hard,2nd Round,3,Williams V.,Meusburger Y.,47,49.0,1147,1138.0,4.0,6.0,6.0,3.0,6.0,2.0,2.0,1.0,Completed,1.24,3.95
Auckland,ASB Classic,2014-01-01,International,Outdoor,Hard,2nd Round,3,Ishizu S.,Goerges J.,204,72.0,311,836.0,6.0,2.0,3.0,6.0,7.0,5.0,2.0,1.0,Completed,3.22,1.33
Auckland,ASB Classic,2014-01-01,International,Outdoor,Hard,2nd Round,3,Ivanovic A.,Larsson J.,16,84.0,2850,753.0,6.0,1.0,6.0,1.0,,,2.0,0.0,Completed,1.1,6.49
Auckland,ASB Classic,2014-01-01,International,Outdoor,Hard,2nd Round,3,Davis L.,Konjuh A.,70,259.0,841,225.0,2.0,6.0,6.0,2.0,6.0,2.0,2.0,1.0,Completed,1.64,2.2
Auckland,ASB Classic,2014-01-01,International,Outdoor,Hard,Quarterfinals,3,Flipkens K.,Ishizu S.,20,204.0,2495,311.0,6.0,4.0,7.0,5.0,,,2.0,0.0,Completed,1.18,4.66
Auckland,ASB Classic,2014-01-02,International,Outdoor,Hard,Quarterfinals,3,Ivanovic A.,Nara K.,16,81.0,2850,778.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,1.14,5.4
Auckland,ASB Classic,2014-01-02,International,Outdoor,Hard,Quarterfinals,3,Hampton J.,Davis L.,28,70.0,1781,841.0,6.0,2.0,4.0,6.0,6.0,4.0,2.0,1.0,Completed,1.35,3.14
Auckland,ASB Classic,2014-01-02,International,Outdoor,Hard,Quarterfinals,3,Williams V.,Muguruza G.,47,63.0,1147,933.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,1.41,2.86
Auckland,ASB Classic,2014-01-03,International,Outdoor,Hard,Semifinals,3,Ivanovic A.,Flipkens K.,16,20.0,2850,2495.0,6.0,0.0,7.0,6.0,,,2.0,0.0,Completed,1.27,3.69
Auckland,ASB Classic,2014-01-03,International,Outdoor,Hard,Semifinals,3,Williams V.,Hampton J.,47,28.0,1147,1781.0,,,,,,,,,Walkover,1.51,2.46
Auckland,ASB Classic,2014-01-04,International,Outdoor,Hard,The Final,3,Ivanovic A.,Williams V.,16,47.0,2850,1147.0,6.0,2.0,5.0,7.0,6.0,4.0,2.0,1.0,Completed,1.6,2.3
Brisbane,Brisbane International,2013-12-29,Premier,Outdoor,Hard,1st Round,3,Date Krumm K.,Rogowska O.,75,175.0,806,359.0,6.0,3.0,7.0,5.0,,,2.0,0.0,Completed,1.41,2.82
Brisbane,Brisbane International,2013-12-29,Premier,Outdoor,Hard,1st Round,3,Svitolina E.,Lepchenko V.,45,54.0,1160,1087.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,2.0,1.77
Brisbane,Brisbane International,2013-12-29,Premier,Outdoor,Hard,1st Round,3,Lisicki S.,Rybarikova M.,15,37.0,2920,1450.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.33,3.2
Brisbane,Brisbane International,2013-12-29,Premier,Outdoor,Hard,1st Round,3,Voegele S.,Keys M.,50,38.0,1130,1380.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,2.64,1.46
Brisbane,Brisbane International,2013-12-29,Premier,Outdoor,Hard,1st Round,3,Petkovic A.,Mattek-Sands B.,43,48.0,1217,1144.0,6.0,4.0,7.0,5.0,,,2.0,0.0,Completed,1.44,2.71
Brisbane,Brisbane International,2013-12-30,Premier,Outdoor,Hard,1st Round,3,Kanepi K.,Panova A.,30,135.0,1768,469.0,6.0,3.0,6.0,7.0,6.0,2.0,2.0,1.0,Completed,1.31,3.35
Brisbane,Brisbane International,2013-12-30,Premier,Outdoor,Hard,1st Round,3,Cibulkova D.,Watson H.,23,121.0,2076,530.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.53,2.46
Brisbane,Brisbane International,2013-12-30,Premier,Outdoor,Hard,1st Round,3,Jankovic J.,Schiavone F.,8,39.0,4170,1250.0,6.0,2.0,7.0,6.0,,,2.0,0.0,Completed,1.22,4.1
Brisbane,Brisbane International,2013-12-30,Premier,Outdoor,Hard,1st Round,3,Suarez Navarro C.,Hsieh S.W.,17,86.0,2735,750.0,6.0,2.0,6.0,1.0,,,2.0,0.0,Completed,1.32,3.3
Brisbane,Brisbane International,2013-12-30,Premier,Outdoor,Hard,1st Round,3,Dellacqua C.,Voskoboeva G.,142,67.0,448,877.0,3.0,6.0,6.0,2.0,6.0,3.0,2.0,1.0,Completed,1.73,2.06
Brisbane,Brisbane International,2013-12-30,Premier,Outdoor,Hard,1st Round,3,Barty A.,Hantuchova D.,190,33.0,333,1575.0,6.0,3.0,7.0,5.0,,,2.0,0.0,Completed,2.53,1.5
Brisbane,Brisbane International,2013-12-30,Premier,Outdoor,Hard,1st Round,3,Pavlyuchenkova A.,Kudryavtseva A.,26,170.0,1965,376.0,7.0,6.0,4.0,6.0,6.0,3.0,2.0,1.0,Completed,1.13,5.6
Brisbane,Brisbane International,2013-12-30,Premier,Outdoor,Hard,1st Round,3,Sharapova M.,Garcia C.,4,74.0,5891,811.0,6.0,3.0,6.0,0.0,,,2.0,0.0,Completed,1.05,9.32
Brisbane,Brisbane International,2013-12-30,Premier,Outdoor,Hard,1st Round,3,Kerber A.,Mladenovic K.,9,55.0,3965,1075.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,1.14,5.52
Brisbane,Brisbane International,2013-12-31,Premier,Outdoor,Hard,2nd Round,3,Cibulkova D.,Date Krumm K.,23,75.0,2076,806.0,6.0,3.0,1.0,6.0,6.0,3.0,2.0,1.0,Completed,1.19,4.41
Brisbane,Brisbane International,2013-12-31,Premier,Outdoor,Hard,2nd Round,3,Jankovic J.,Svitolina E.,8,45.0,4170,1160.0,6.0,1.0,6.0,3.0,,,2.0,0.0,Completed,1.16,5.08
Brisbane,Brisbane International,2013-12-31,Premier,Outdoor,Hard,2nd Round,3,Williams S.,Petkovic A.,1,43.0,13260,1217.0,6.0,4.0,6.0,4.0,,,2.0,0.0,Completed,1.06,8.76
