Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,AvgW,AvgL
Auckland,ASB Classic,2015-01-04,International,Outdoor,Hard,1st Round,3,Davis L.,Rogers S.,54,72.0,950,722.0,1.0,6.0,6.0,4.0,6.0,3.0,2.0,1.0,Completed,1.7,2.09
Auckland,ASB Classic,2015-01-04,International,Outdoor,Hard,1st Round,3,Townsend T.,Wickmayer Y.,103,74.0,558,708.0,7.0,5.0,3.0,6.0,6.0,0.0,2.0,1.0,Completed,1.8,1.95
Auckland,ASB Classic,2015-01-05,International,Outdoor,Hard,1st Round,3,Nara K.,Bertens K.,45,68.0,1098,754.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,1.75,2.03
Auckland,ASB Classic,2015-01-05,International,Outdoor,Hard,1st Round,3,Stephens S.,Soler Espinosa S.,35,65.0,1343,788.0,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,1.39,2.9
Auckland,ASB Classic,2015-01-05,International,Outdoor,Hard,1st Round,3,Hantuchova D.,Errani S.,62,14.0,841,2775.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,2.63,1.46
Auckland,ASB Classic,2015-01-05,International,Outdoor,Hard,1st Round,3,Zahlavova Strycova B.,Scheepers C.,26,77.0,1720,693.0,6.0,1.0,3.0,6.0,6.0,2.0,2.0,1.0,Completed,1.45,2.65
Auckland,ASB Classic,2015-01-05,International,Outdoor,Hard,1st Round,3,Konjuh A.,Barthel M.,99,41.0,579,1193.0,6.0,2.0,6.0,1.0,,,2.0,0.0,Completed,1.62,2.23
Auckland,ASB Classic,2015-01-05,International,Outdoor,Hard,1st Round,3,Goerges J.,Tatishvili A.,75,144.0,700,378.0,6.0,1.0,6.0,4.0,,,2.0,0.0,Completed,1.74,2.04
Auckland,ASB Classic,2015-01-05,International,Outdoor,Hard,1st Round,3,Vandeweghe C.,Vinci R.,38,44.0,1236,1107.0,5.0,7.0,6.0,2.0,6.0,3.0,2.0,1.0,Completed,1.86,1.89
Auckland,ASB Classic,2015-01-05,International,Outdoor,Hard,1st Round,3,Radwanska U.,Schiavone F.,179,78.0,291,692.0,6.0,4.0,7.0,5.0,,,2.0,0.0,Completed,1.78,2.0
Auckland,ASB Classic,2015-01-06,International,Outdoor,Hard,1st Round,3,Hradecka L.,Kuznetsova S.,153,25.0,346,1730.0,3.0,6.0,7.0,6.0,6.0,4.0,2.0,1.0,Completed,3.93,1.23
Auckland,ASB Classic,2015-01-06,International,Outdoor,Hard,1st Round,3,Vesnina E.,Mladenovic K.,64,67.0,816,760.0,7.0,6.0,6.0,2.0,,,2.0,0.0,Completed,1.75,2.02
Auckland,ASB Classic,2015-01-06,International,Outdoor,Hard,1st Round,3,Flipkens K.,Larsson J.,49,71.0,1040,724.0,7.0,6.0,1.0,6.0,7.0,6.0,2.0,1.0,Completed,1.78,1.98
Auckland,ASB Classic,2015-01-06,International,Outdoor,Hard,1st Round,3,Williams V.,Cepelova J.,19,57.0,2091,906.0,6.0,1.0,6.0,0.0,,,2.0,0.0,Completed,1.25,3.84
Auckland,ASB Classic,2015-01-06,International,Outdoor,Hard,1st Round,3,Wozniacki C.,Glushko J.,8,154.0,4625,344.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,1.09,6.92
Auckland,ASB Classic,2015-01-06,International,Outdoor,Hard,1st Round,3,Erakovic M.,Puig M.,76,59.0,694,880.0,7.0,5.0,2.0,6.0,6.0,4.0,2.0,1.0,Completed,1.6,2.27
Auckland,ASB Classic,2015-01-06,International,Outdoor,Hard,2nd Round,3,Vandeweghe C.,Flipkens K.,38,49.0,1236,1040.0,6.0,1.0,6.0,7.0,7.0,5.0,2.0,1.0,Completed,1.46,2.65
Auckland,ASB Classic,2015-01-06,International,Outdoor,Hard,2nd Round,3,Vesnina E.,Konjuh A.,64,99.0,816,579.0,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,2.23,1.62
Auckland,ASB Classic,2015-01-07,International,Outdoor,Hard,2nd Round,3,Williams V.,Nara K.,19,45.0,2091,1098.0,6.0,4.0,6.0,1.0,,,2.0,0.0,Completed,1.2,4.24
