Tournament,Date,Winner,Loser,AvgW,AvgL
ASB Classic,2017-01-01,Safarova L.,Allertova D.,1.48,2.62
ASB Classic,2017-01-01,Nara K.,Lottner A.,1.32,3.31
ASB Classic,2017-01-02,Strycova B.,Stefkova B.,1.21,4.28
ASB Classic,2017-01-02,Williams S.,Parmentier P.,1.08,7.54
ASB Classic,2017-01-03,Lucic-Baroni M.,Barthel M.,2.36,1.57
ASB Classic,2017-01-03,Osaka N.,Beck A.,1.46,2.64
ASB Classic,2017-01-03,Davis L.,Bertens K.,2.44,1.53
ASB Classic,2017-01-03,Ostapenko J.,Erakovic M.,1.7,2.11
ASB Classic,2017-01-03,Brengle M.,Loeb J.,1.73,2.06
ASB Classic,2017-01-03,Wickmayer Y.,Larsson J.,1.78,2.0
ASB Classic,2017-01-03,Wozniacki C.,Gibbs N.,1.16,4.97
ASB Classic,2017-01-03,Lepchenko V.,Rodionova Ar.,1.19,4.7
ASB Classic,2017-01-03,Konjuh A.,Flipkens K.,1.57,2.37
ASB Classic,2017-01-03,Williams V.,Lewis J.,1.02,14.54
ASB Classic,2017-01-03,Broady N.,Kovinic D.,2.04,1.75
ASB Classic,2017-01-04,Goerges J.,Pavlyuchenkova A.,2.28,1.6
ASB Classic,2017-01-04,Strycova B.,Safarova L.,2.01,1.78
ASB Classic,2017-01-04,Davis L.,Nara K.,1.6,2.28
ASB Classic,2017-01-04,Ostapenko J.,Lucic-Baroni M.,1.64,2.22
ASB Classic,2017-01-04,Brengle M.,Williams S.,11.08,1.04
ASB Classic,2017-01-04,Goerges J.,Broady N.,1.27,3.67
ASB Classic,2017-01-04,Konjuh A.,Wickmayer Y.,1.76,2.15
ASB Classic,2017-01-04,Osaka N.,Williams V.,1.96,1.83
ASB Classic,2017-01-04,Wozniacki C.,Lepchenko V.,1.14,5.47
ASB Classic,2017-01-04,Davis L.,Strycova B.,2.7,1.45
ASB Classic,2017-01-05,Ostapenko J.,Brengle M.,1.56,2.39
ASB Classic,2017-01-05,Konjuh A.,Osaka N.,2.11,1.7
ASB Classic,2017-01-05,Goerges J.,Wozniacki C.,3.46,1.3
ASB Classic,2017-01-06,Davis L.,Ostapenko J.,1.94,1.85
ASB Classic,2017-01-06,Konjuh A.,Goerges J.,2.04,1.76
ASB Classic,2017-01-07,Davis L.,Konjuh A.,2.26,1.63
Brisbane International,2017-01-01,Mchale C.,Errani S.,1.69,2.13
Brisbane International,2017-01-01,Rogers S.,Bouchard E.,2.52,1.51
Brisbane International,2017-01-01,Cornet A.,Vesnina E.,1.81,1.97
Brisbane International,2017-01-01,Pliskova Ka.,Putintseva Y.,1.29,3.46
Brisbane International,2017-01-01,Kasatkina D.,Begu I.,1.48,2.62
Brisbane International,2017-01-01,Doi M.,Makarova E.,3.16,1.34
Brisbane International,2017-01-02,Svitolina E.,Puig M.,1.5,2.55
Brisbane International,2017-01-02,Vinci R.,Bondarenko K.,,
Brisbane International,2017-01-02,Kuznetsova S.,Chirico L.,1.29,3.54
Brisbane International,2017-01-02,Muhammad A.,Vekic D.,1.76,2.03
Brisbane International,2017-01-02,Muguruza G.,Stosur S.,1.33,3.23
Brisbane International,2017-01-02,Zhang S.,Siegemund L.,1.63,2.24
Brisbane International,2017-01-02,Barty A.,Krunic A.,2.18,1.66
Brisbane International,2017-01-03,Aiava D.,Mattek-Sands B.,2.78,1.42
Brisbane International,2017-01-03,Pliskova Ka.,Muhammad A.,1.1,6.59
Brisbane International,2017-01-03,Cornet A.,Mchale C.,1.9,1.88
Brisbane International,2017-01-03,Svitolina E.,Rogers S.,1.16,5.14
Brisbane International,2017-01-03,Muguruza G.,Kasatkina D.,1.71,2.1
Brisbane International,2017-01-04,Cibulkova D.,Zhang S.,1.41,2.83
Brisbane International,2017-01-04,Kuznetsova S.,Aiava D.,1.12,6.12
Brisbane International,2017-01-04,Vinci R.,Doi M.,1.81,1.96
Brisbane International,2017-01-04,Kerber A.,Barty A.,1.16,5.12
Brisbane International,2017-01-05,Cornet A.,Cibulkova D.,2.63,1.47
Brisbane International,2017-01-05,Muguruza G.,Kuznetsova S.,2.01,1.78
Brisbane International,2017-01-05,Pliskova Ka.,Vinci R.,1.31,3.35
Brisbane International,2017-01-05,Svitolina E.,Kerber A.,2.81,1.42
Brisbane International,2017-01-06,Cornet A.,Muguruza G.,2.99,1.38
Brisbane International,2017-01-06,Pliskova Ka.,Svitolina E.,1.75,2.06
Brisbane International,2017-01-07,Pliskova Ka.,Cornet A.,1.41,2.95
Shenzhen Open,2017-01-01,Niculescu M.,Zhang K.L.,1.23,4.08
Shenzhen Open,2017-01-01,Wang Q.,Rodina E.,1.81,1.98
Shenzhen Open,2017-01-01,Pironkova T.,Voskoboeva G.,1.4,2.9
Shenzhen Open,2017-01-01,Riske A.,Zhu L.,1.24,3.95
Shenzhen Open,2017-01-01,Cirstea S.,Kucova K.,1.79,1.99
Shenzhen Open,2017-01-01,King V.,Sakkari M.,1.91,1.85
Shenzhen Open,2017-01-02,Konta J.,Buyukakcay C.,1.08,7.53
Shenzhen Open,2017-01-02,Zheng S.,Liu F.,1.46,2.65
