Tournament,Date,Winner,Loser,AvgW,AvgL
ASB Classic,2007-12-30,Paszek T.,Wickmayer Y.,1.25,3.95
ASB Classic,2007-12-31,Davenport L.,Granville L.,1.07,8.6
ASB Classic,2007-12-31,Harkleroad A.,Loit E.,1.64,2.21
ASB Classic,2007-12-31,Srebotnik K.,Rodionova A.,1.18,4.77
ASB Classic,2007-12-31,Zakopalova K.,Tu M.,1.83,1.92
ASB Classic,2007-12-31,Medina Garrigues A.,Pratt N.,1.32,3.36
ASB Classic,2007-12-31,Meusburger Y.,Morigami A.,2.65,1.47
ASB Classic,2007-12-31,Daniilidou E.,Baltacha E.,1.21,4.41
ASB Classic,2007-12-31,Parmentier P.,Manasieva V.,1.37,3.09
ASB Classic,2008-01-01,Rezai A.,Zhang S.,1.54,2.46
ASB Classic,2008-01-01,Zvonareva V.,Jones S.,1.04,13.16
ASB Classic,2008-01-01,Pin C.,Muller M.,1.39,2.93
ASB Classic,2008-01-01,Errani S.,Krajicek M.,3.73,1.27
ASB Classic,2008-01-01,Arvidsson S.,Rolle A.,1.99,1.79
ASB Classic,2008-01-01,Erakovic M.,Barry E.,1.17,4.95
ASB Classic,2008-01-01,Kirilenko M.,Kanepi K.,1.24,4.06
ASB Classic,2008-01-01,Paszek T.,Pin C.,1.35,3.17
ASB Classic,2008-01-01,Zvonareva V.,Arvidsson S.,1.14,5.66
ASB Classic,2008-01-02,Davenport L.,Medina Garrigues A.,1.11,7.23
ASB Classic,2008-01-02,Errani S.,Parmentier P.,2.35,1.61
ASB Classic,2008-01-02,Erakovic M.,Harkleroad A.,2.27,1.62
ASB Classic,2008-01-02,Rezai A.,Daniilidou E.,2.95,1.38
ASB Classic,2008-01-02,Srebotnik K.,Meusburger Y.,1.23,4.22
ASB Classic,2008-01-02,Kirilenko M.,Zakopalova K.,1.21,4.33
ASB Classic,2008-01-02,Paszek T.,Kirilenko M.,2.29,1.6
ASB Classic,2008-01-03,Erakovic M.,Zvonareva V.,6.16,1.13
ASB Classic,2008-01-03,Davenport L.,Errani S.,1.07,8.14
ASB Classic,2008-01-03,Rezai A.,Srebotnik K.,2.96,1.39
ASB Classic,2008-01-04,Davenport L.,Paszek T.,1.15,5.28
ASB Classic,2008-01-04,Rezai A.,Erakovic M.,1.66,2.19
ASB Classic,2008-01-05,Davenport L.,Rezai A.,1.11,6.7
Mondial Australian Women's Hardcourts,2007-12-30,Dechy N.,Yan Z.,1.95,1.84
Mondial Australian Women's Hardcourts,2007-12-30,Azarenka V.,Sugiyama A.,1.38,3.14
Mondial Australian Women's Hardcourts,2007-12-30,Peer S.,Ditty J.,1.13,6.09
Mondial Australian Women's Hardcourts,2007-12-31,Schnyder P.,Kleybanova A.,1.12,6.4
Mondial Australian Women's Hardcourts,2007-12-31,Garbin T.,Petrova N.,5.69,1.14
Mondial Australian Women's Hardcourts,2007-12-31,Fedak Y.,Szavay A.,4.83,1.16
Mondial Australian Women's Hardcourts,2007-12-31,Safina D.,Gajdosova J.,1.1,7.34
Mondial Australian Women's Hardcourts,2007-12-31,Schiavone F.,Shaughnessy M.,1.42,2.84
Mondial Australian Women's Hardcourts,2007-12-31,Mauresmo A.,Savchuk O.,1.1,7.36
Mondial Australian Women's Hardcourts,2008-01-01,Schruff J.,Dominguez Lino L.,1.4,2.93
Mondial Australian Women's Hardcourts,2008-01-01,Li N.,Bammer S.,2.48,1.54
Mondial Australian Women's Hardcourts,2008-01-01,Cibulkova D.,Razzano V.,3.13,1.37
Mondial Australian Women's Hardcourts,2008-01-01,Pennetta F.,Bacsinszky T.,1.24,4.15
Mondial Australian Women's Hardcourts,2008-01-01,Malek T.,Nakamura A.,1.84,1.94
Mondial Australian Women's Hardcourts,2008-01-01,Vaidisova N.,Dellacqua C.,1.09,7.26
Mondial Australian Women's Hardcourts,2008-01-01,Adamczak M.,Vesnina E.,3.74,1.27
Mondial Australian Women's Hardcourts,2008-01-01,Azarenka V.,Fedak Y.,1.2,4.7
Mondial Australian Women's Hardcourts,2008-01-02,Peer S.,Schruff J.,1.16,5.34
Mondial Australian Women's Hardcourts,2008-01-02,Safina D.,Pennetta F.,1.45,2.71
Mondial Australian Women's Hardcourts,2008-01-02,Schnyder P.,Schiavone F.,1.33,3.3
Mondial Australian Women's Hardcourts,2008-01-02,Mauresmo A.,Dechy N.,1.14,5.86
Mondial Australian Women's Hardcourts,2008-01-02,Li N.,Adamczak M.,1.15,5.75
Mondial Australian Women's Hardcourts,2008-01-02,Vaidisova N.,Malek T.,1.11,7.02
Mondial Australian Women's Hardcourts,2008-01-02,Cibulkova D.,Garbin T.,1.86,1.92
Mondial Australian Women's Hardcourts,2008-01-03,Peer S.,Safina D.,1.91,1.87
Mondial Australian Women's Hardcourts,2008-01-03,Azarenka V.,Cibulkova D.,1.29,3.62
Mondial Australian Women's Hardcourts,2008-01-03,Li N.,Vaidisova N.,2.84,1.43
Mondial Australian Women's Hardcourts,2008-01-03,Schnyder P.,Mauresmo A.,2.9,1.41
Mondial Australian Women's Hardcourts,2008-01-04,Li N.,Schnyder P.,2.21,1.65
Mondial Australian Women's Hardcourts,2008-01-04,Azarenka V.,Peer S.,2.19,1.67
Mondial Australian Women's Hardcourts,2008-01-05,Li N.,Azarenka V.,1.92,1.86
Moorilla Hobart International,2008-01-06,Vesnina E.,Morigami A.,2.03,1.78
Moorilla Hobart International,2008-01-06,Daniilidou E.,Parmentier P.,1.42,2.84
Moorilla Hobart International,2008-01-06,Dellacqua C.,Medina Garrigues A.,1.96,1.81
Moorilla Hobart International,2008-01-07,Lapushchenkova A.,Bondarenko K.,3.85,1.24
Moorilla Hobart International,2008-01-07,Llagostera Vives N.,Dulko G.,4.32,1.22
Moorilla Hobart International,2008-01-07,Pennetta F.,Radwanska A.,2.18,1.66
Moorilla Hobart International,2008-01-07,Kudryavtseva A.,Adamczak M.,1.92,1.84
Moorilla Hobart International,2008-01-07,Tu M.,Loit E.,1.77,2.01
Moorilla Hobart International,2008-01-07,Mirza S.,Dominguez Lino L.,1.27,3.73
Moorilla Hobart International,2008-01-07,Harkleroad A.,Shvedova Y.,1.42,2.81
Moorilla Hobart International,2008-01-07,Gallovits E.,Brianti A.,1.46,2.72
Moorilla Hobart International,2008-01-07,Dokic J.,Muller M.,1.48,2.62
Moorilla Hobart International,2008-01-07,Govortsova O.,Azarenka V.,3.96,1.25
Moorilla Hobart International,2008-01-07,Olaru I.,Peng S.,2.94,1.41
Moorilla Hobart International,2008-01-07,Bondarenko A.,Moore J.,1.1,7.19
Moorilla Hobart International,2008-01-07,Zvonareva V.,Poutchkova O.,1.16,5.08
Moorilla Hobart International,2008-01-08,Mirza S.,Kudryavtseva A.,1.2,4.42
Moorilla Hobart International,2008-01-08,Vesnina E.,Llagostera Vives N.,1.49,2.58
Moorilla Hobart International,2008-01-08,Dellacqua C.,Lapushchenkova A.,1.46,2.68
Moorilla Hobart International,2008-01-08,Gallovits E.,Govortsova O.,1.99,1.79
Moorilla Hobart International,2008-01-08,Daniilidou E.,Bondarenko A.,2.25,1.63
Moorilla Hobart International,2008-01-08,Harkleroad A.,Tu M.,1.62,2.26
Moorilla Hobart International,2008-01-08,Zvonareva V.,Olaru I.,1.16,5.1
Moorilla Hobart International,2008-01-08,Pennetta F.,Dokic J.,1.3,3.5
Moorilla Hobart International,2008-01-09,Harkleroad A.,Gallovits E.,1.74,2.07
Moorilla Hobart International,2008-01-09,Pennetta F.,Mirza S.,1.78,2.0
Moorilla Hobart International,2008-01-09,Zvonareva V.,Vesnina E.,1.23,4.16
Moorilla Hobart International,2008-01-09,Daniilidou E.,Dellacqua C.,1.37,3.13
