Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,AvgW,AvgL
Auckland,ASB Classic,2020-01-06,International,Outdoor,Hard,1st Round,3,Kasatkina D.,Suarez Navarro C.,70.0,52.0,851.0,1048.0,6.0,3.0,3.0,6.0,6.0,2.0,2.0,1.0,Completed,1.61,2.3
Auckland,ASB Classic,2020-01-06,International,Outdoor,Hard,1st Round,3,Pegula J.,Bellis C.,82.0,855.0,743.0,19.0,6.0,0.0,6.0,4.0,,,2.0,0.0,Completed,2.41,1.56
Auckland,ASB Classic,2020-01-06,International,Outdoor,Hard,1st Round,3,Garcia C.,Townsend T.,46.0,77.0,1235.0,760.0,5.0,7.0,6.0,3.0,7.0,5.0,2.0,1.0,Completed,1.94,1.85
Auckland,ASB Classic,2020-01-06,International,Outdoor,Hard,1st Round,3,Zidansek T.,Peterson R.,64.0,44.0,870.0,1275.0,7.0,6.0,7.0,6.0,,,2.0,0.0,Completed,3.29,1.33
Auckland,ASB Classic,2020-01-06,International,Outdoor,Hard,1st Round,3,Teichmann J.,Ivanov V.,68.0,1001.0,855.0,12.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.06,9.42
Auckland,ASB Classic,2020-01-06,International,Outdoor,Hard,1st Round,3,Gauff C.,Kuzmova V.,67.0,61.0,855.0,965.0,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,1.68,2.16
Auckland,ASB Classic,2020-01-06,International,Outdoor,Hard,1st Round,3,Bouchard E.,Flipkens K.,262.0,72.0,223.0,819.0,7.0,5.0,7.0,5.0,,,2.0,0.0,Completed,2.72,1.45
Auckland,ASB Classic,2020-01-07,International,Outdoor,Hard,1st Round,3,Martic P.,Arconada U.M.,15.0,135.0,2617.0,459.0,5.0,7.0,6.0,4.0,6.0,4.0,2.0,1.0,Completed,1.19,4.62
Auckland,ASB Classic,2020-01-07,International,Outdoor,Hard,1st Round,3,Cornet A.,Bonaventure Y.,57.0,116.0,1015.0,574.0,4.0,6.0,7.0,5.0,6.0,3.0,2.0,1.0,Completed,1.54,2.45
Auckland,ASB Classic,2020-01-07,International,Outdoor,Hard,1st Round,3,Anisimova A.,Kozlova K.,25.0,89.0,1734.0,710.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.25,3.86
Auckland,ASB Classic,2020-01-07,International,Outdoor,Hard,1st Round,3,Williams S.,Giorgi C.,10.0,99.0,3935.0,680.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,1.22,4.21
Auckland,ASB Classic,2020-01-07,International,Outdoor,Hard,1st Round,3,Siegemund L.,Mcnally C.,73.0,118.0,805.0,539.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,2.05,1.75
Auckland,ASB Classic,2020-01-07,International,Outdoor,Hard,1st Round,3,Mchale C.,Li A.,86.0,145.0,720.0,414.0,7.0,5.0,6.0,2.0,,,2.0,0.0,Completed,2.42,1.55
Auckland,ASB Classic,2020-01-07,International,Outdoor,Hard,1st Round,3,Wozniacki C.,Hourigan P.M.,39.0,447.0,1353.0,92.0,6.0,1.0,6.0,0.0,,,2.0,0.0,Completed,1.02,15.27
Auckland,ASB Classic,2020-01-07,International,Outdoor,Hard,1st Round,3,Davis L.,Lepchenko V.,63.0,170.0,874.0,354.0,7.0,6.0,6.0,2.0,,,2.0,0.0,Completed,1.64,2.23
Auckland,ASB Classic,2020-01-07,International,Outdoor,Hard,1st Round,3,Goerges J.,Minnen G.,41.0,109.0,1331.0,599.0,6.0,1.0,7.0,6.0,,,2.0,0.0,Completed,1.59,2.33
Auckland,ASB Classic,2020-01-08,International,Outdoor,Hard,2nd Round,3,Cornet A.,Martic P.,57.0,15.0,1015.0,2617.0,3.0,6.0,6.0,4.0,6.0,4.0,2.0,1.0,Completed,2.63,1.48
Auckland,ASB Classic,2020-01-08,International,Outdoor,Hard,2nd Round,3,Pegula J.,Zidansek T.,82.0,64.0,743.0,870.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,1.57,2.38
Auckland,ASB Classic,2020-01-08,International,Outdoor,Hard,2nd Round,3,Bouchard E.,Garcia C.,262.0,46.0,223.0,1235.0,6.0,4.0,6.0,4.0,,,2.0,0.0,Completed,2.61,1.49
Auckland,ASB Classic,2020-01-08,International,Outdoor,Hard,2nd Round,3,Anisimova A.,Kasatkina D.,25.0,70.0,1734.0,851.0,6.0,2.0,6.0,4.0,,,2.0,0.0,Completed,1.46,2.68
Auckland,ASB Classic,2020-01-09,International,Outdoor,Hard,2nd Round,3,Siegemund L.,Gauff C.,73.0,67.0,805.0,855.0,5.0,7.0,6.0,2.0,6.0,3.0,2.0,1.0,Completed,2.83,1.42
