Tournament,Date,Winner,Loser,AvgW,AvgL
ASB Classic,2012-01-02,Mchale C.,Dulgheru A.,1.38,2.94
ASB Classic,2012-01-02,Pennetta F.,Cirstea S.,1.3,3.36
ASB Classic,2012-01-02,Hradecka L.,Brianti A.,1.5,2.51
ASB Classic,2012-01-02,Errani S.,Larsson J.,1.36,2.97
ASB Classic,2012-01-02,Baltacha E.,Jones S.,1.19,4.4
ASB Classic,2012-01-02,Lisicki S.,Razzano V.,1.16,4.85
ASB Classic,2012-01-02,Barthel M.,Dokic J.,1.7,2.07
ASB Classic,2012-01-03,Kuznetsova S.,Riske A.,1.15,5.01
ASB Classic,2012-01-03,Niculescu M.,Hampton J.,1.41,2.78
ASB Classic,2012-01-03,Wickmayer Y.,Pliskova Ka.,1.37,2.99
ASB Classic,2012-01-03,Vinci R.,Marino R.,1.31,3.34
ASB Classic,2012-01-03,Peng S.,Rezai A.,1.31,3.32
ASB Classic,2012-01-03,Zheng J.,Morita A.,1.78,1.97
ASB Classic,2012-01-03,Vesnina E.,Rybarikova M.,1.7,2.08
ASB Classic,2012-01-03,Goerges J.,Arn G.,1.33,3.18
ASB Classic,2012-01-03,Kerber A.,Erakovic M.,1.41,2.76
ASB Classic,2012-01-04,Lisicki S.,Barthel M.,1.19,4.52
ASB Classic,2012-01-04,Vesnina E.,Vinci R.,2.12,1.68
ASB Classic,2012-01-04,Pennetta F.,Baltacha E.,1.22,4.08
ASB Classic,2012-01-04,Kerber A.,Goerges J.,1.78,1.98
ASB Classic,2012-01-04,Hradecka L.,Peng S.,3.14,1.35
ASB Classic,2012-01-04,Zheng J.,Niculescu M.,2.32,1.59
ASB Classic,2012-01-04,Kuznetsova S.,Mchale C.,1.49,2.56
ASB Classic,2012-01-04,Errani S.,Wickmayer Y.,2.24,1.61
ASB Classic,2012-01-05,Pennetta F.,Vesnina E.,1.37,2.99
ASB Classic,2012-01-05,Kerber A.,Lisicki S.,2.04,1.74
ASB Classic,2012-01-05,Zheng J.,Hradecka L.,1.91,1.84
ASB Classic,2012-01-05,Kuznetsova S.,Errani S.,1.28,3.58
ASB Classic,2012-01-06,Pennetta F.,Kerber A.,1.51,2.48
ASB Classic,2012-01-06,Zheng J.,Kuznetsova S.,3.12,1.35
ASB Classic,2012-01-08,Zheng J.,Pennetta F.,3.06,1.36
Brisbane International,2012-01-01,Schiavone F.,Pervak K.,1.39,2.85
Brisbane International,2012-01-01,Benesova I.,Safarova L.,3.15,1.33
Brisbane International,2012-01-01,Jovanovski B.,Dellacqua C.,1.91,1.82
Brisbane International,2012-01-01,Clijsters K.,Halep S.,1.07,7.39
Brisbane International,2012-01-01,Hantuchova D.,Cibulkova D.,1.94,1.79
Brisbane International,2012-01-02,Voskoboeva G.,Dushevina V.,1.83,1.92
Brisbane International,2012-01-02,Ivanovic A.,Paszek T.,1.25,3.79
Brisbane International,2012-01-02,Zahlavova Strycova B.,Rogowska O.,1.29,3.41
Brisbane International,2012-01-02,King V.,Czink M.,1.43,2.74
Brisbane International,2012-01-02,Williams S.,Scheepers C.,1.05,9.13
Brisbane International,2012-01-02,Petkovic A.,Peer S.,1.25,3.77
Brisbane International,2012-01-02,Pavlyuchenkova A.,Hercog P.,1.27,3.61
Brisbane International,2012-01-02,Kanepi K.,Panova A.,1.26,3.74
Brisbane International,2012-01-02,Bratchikova N.,Zakopalova K.,3.21,1.32
Brisbane International,2012-01-02,Jankovic J.,Suarez Navarro C.,1.19,4.25
Brisbane International,2012-01-02,Stosur S.,Yakimova A.,1.04,10.39
Brisbane International,2012-01-03,Petkovic A.,Zahlavova Strycova B.,1.2,4.38
Brisbane International,2012-01-03,Schiavone F.,Voskoboeva G.,1.69,2.09
Brisbane International,2012-01-03,Hantuchova D.,King V.,1.39,2.88
Brisbane International,2012-01-03,Clijsters K.,Ivanovic A.,1.37,2.96
Brisbane International,2012-01-04,Kanepi K.,Pavlyuchenkova A.,2.21,1.63
Brisbane International,2012-01-04,Benesova I.,Stosur S.,6.29,1.1
Brisbane International,2012-01-04,Jankovic J.,Bratchikova N.,1.08,7.18
Brisbane International,2012-01-04,Williams S.,Jovanovski B.,1.04,9.93
Brisbane International,2012-01-04,Hantuchova D.,Williams S.,4.6,1.17
Brisbane International,2012-01-05,Schiavone F.,Jankovic J.,2.29,1.59
Brisbane International,2012-01-05,Kanepi K.,Petkovic A.,1.98,1.79
Brisbane International,2012-01-05,Clijsters K.,Benesova I.,1.11,6.0
Brisbane International,2012-01-06,Hantuchova D.,Clijsters K.,5.51,1.13
Brisbane International,2012-01-06,Kanepi K.,Schiavone F.,1.62,2.22
Brisbane International,2012-01-07,Kanepi K.,Hantuchova D.,1.43,2.72
Moorilla Hobart International,2012-01-08,Cirstea S.,Pervak K.,2.05,1.72
Moorilla Hobart International,2012-01-08,Halep S.,Zakopalova K.,1.95,1.79
Moorilla Hobart International,2012-01-08,Chakvetadze A.,Niculescu M.,3.07,1.34
Moorilla Hobart International,2012-01-08,Begu I.,Baltacha E.,1.92,1.82
Moorilla Hobart International,2012-01-08,Rodionova An.,Arn G.,2.2,1.64
Moorilla Hobart International,2012-01-09,Errani S.,Larsson J.,1.15,5.02
Moorilla Hobart International,2012-01-09,Kerber A.,Vesnina E.,1.45,2.63
Moorilla Hobart International,2012-01-09,Dellacqua C.,Voskoboeva G.,3.32,1.31
Moorilla Hobart International,2012-01-09,Pironkova T.,Watson H.,1.74,2.04
Moorilla Hobart International,2012-01-09,Barthel M.,Oprandi R.,1.56,2.34
Moorilla Hobart International,2012-01-09,Wickmayer Y.,Erakovic M.,1.7,2.08
Moorilla Hobart International,2012-01-09,Mattek-Sands B.,Barty A.,1.12,6.0
Moorilla Hobart International,2012-01-09,Gajdosova J.,Morita A.,1.73,2.14
Moorilla Hobart International,2012-01-10,Jones S.,Barrois K.,1.87,1.86
Moorilla Hobart International,2012-01-10,Peer S.,Hradecka L.,1.69,2.11
Moorilla Hobart International,2012-01-10,Medina Garrigues A.,Suarez Navarro C.,1.72,2.05
Moorilla Hobart International,2012-01-10,Chakvetadze A.,Pironkova T.,1.66,2.15
Moorilla Hobart International,2012-01-10,Kerber A.,Errani S.,1.68,2.13
Moorilla Hobart International,2012-01-10,Cirstea S.,Mattek-Sands B.,1.88,1.85
Moorilla Hobart International,2012-01-10,Halep S.,Begu I.,2.17,1.65
Moorilla Hobart International,2012-01-10,Wickmayer Y.,Dellacqua C.,1.34,3.11
Moorilla Hobart International,2012-01-11,Peer S.,Jones S.,1.24,3.81
Moorilla Hobart International,2012-01-11,Barthel M.,Medina Garrigues A.,1.66,2.15
Moorilla Hobart International,2012-01-11,Gajdosova J.,Rodionova An.,1.29,3.44
Moorilla Hobart International,2012-01-12,Kerber A.,Cirstea S.,1.34,3.12
Moorilla Hobart International,2012-01-12,Barthel M.,Gajdosova J.,1.71,2.07
Moorilla Hobart International,2012-01-12,Wickmayer Y.,Halep S.,1.33,3.24
Moorilla Hobart International,2012-01-12,Peer S.,Chakvetadze A.,1.96,1.79
Moorilla Hobart International,2012-01-13,Barthel M.,Kerber A.,2.02,1.75
Moorilla Hobart International,2012-01-13,Wickmayer Y.,Peer S.,1.39,2.89
Moorilla Hobart International,2012-01-14,Barthel M.,Wickmayer Y.,2.4,1.56
Apai International,2012-01-08,Safarova L.,Ivanovic A.,2.85,1.4
Apai International,2012-01-08,Dokic J.,Holland I.,1.27,3.56
Apai International,2012-01-09,Li N.,Makarova E.,1.18,4.74
Apai International,2012-01-09,Petkovic A.,Pavlyuchenkova A.,1.5,2.52
Apai International,2012-01-09,Dulgheru A.,Arvidsson S.,2.07,1.72
Apai International,2012-01-09,Cibulkova D.,Peng S.,1.66,2.17
Apai International,2012-01-09,Hantuchova D.,Vinci R.,1.63,2.22
Apai International,2012-01-09,Bartoli M.,Hercog P.,1.14,5.46
Apai International,2012-01-09,Azarenka V.,Voegele S.,1.04,10.11
Apai International,2012-01-09,Kuznetsova S.,Zvonareva V.,1.98,1.77
Apai International,2012-01-09,Scheepers C.,Czink M.,1.44,2.72
Apai International,2012-01-09,Radwanska A.,Radwanska U.,1.18,4.62
Apai International,2012-01-09,Schiavone F.,Stosur S.,2.73,1.43
Apai International,2012-01-09,Jankovic J.,Goerges J.,1.4,2.81
Apai International,2012-01-10,Safarova L.,Kuznetsova S.,3.09,1.35
Apai International,2012-01-10,Li N.,Scheepers C.,1.18,4.59
Apai International,2012-01-10,Wozniacki C.,Cibulkova D.,1.32,3.28
