Tournament,Date,Winner,Loser,AvgW,AvgL
ASB Classic,2012-12-30,Parmentier P.,Mchale C.,2.5,1.5
ASB Classic,2012-12-31,Vesnina E.,Bouchard E.,1.53,2.44
ASB Classic,2012-12-31,Daniilidou E.,Vandeweghe C.,1.83,1.91
ASB Classic,2012-12-31,Bertens K.,Kuznetsova S.,2.64,1.46
ASB Classic,2012-12-31,Flipkens K.,Voskoboeva G.,1.44,2.71
ASB Classic,2012-12-31,Larsson J.,Doi M.,1.66,2.16
ASB Classic,2012-12-31,Halep S.,Rus A.,1.37,2.92
ASB Classic,2012-12-31,Wickmayer Y.,Rybarikova M.,1.55,2.38
ASB Classic,2012-12-31,Hampton J.,Zheng J.,1.98,1.8
ASB Classic,2012-12-31,Watson H.,Cirstea S.,1.67,2.14
ASB Classic,2013-01-01,Oprandi R.,Luangnam N.,1.42,2.8
ASB Classic,2013-01-01,Shvedova Y.,Arruabarrena-Vecino L.,1.29,3.47
ASB Classic,2013-01-01,Barthel M.,Min G.,1.28,3.59
ASB Classic,2013-01-01,Radwanska A.,Arn G.,1.06,8.93
ASB Classic,2013-01-01,Erakovic M.,Dubois S.,1.65,2.18
ASB Classic,2013-01-01,Goerges J.,Sevastova A.,1.43,2.78
ASB Classic,2013-01-01,Barthel M.,Daniilidou E.,1.21,4.2
ASB Classic,2013-01-01,Flipkens K.,Parmentier P.,1.48,2.54
ASB Classic,2013-01-01,Wickmayer Y.,Oprandi R.,1.5,2.52
ASB Classic,2013-01-02,Larsson J.,Goerges J.,3.25,1.33
ASB Classic,2013-01-02,Vesnina E.,Shvedova Y.,2.3,1.58
ASB Classic,2013-01-02,Bertens K.,Watson H.,2.27,1.6
ASB Classic,2013-01-02,Hampton J.,Erakovic M.,1.67,2.14
ASB Classic,2013-01-02,Radwanska A.,Halep S.,1.11,6.21
ASB Classic,2013-01-02,Barthel M.,Larsson J.,1.36,3.08
ASB Classic,2013-01-03,Wickmayer Y.,Flipkens K.,1.69,2.12
ASB Classic,2013-01-03,Radwanska A.,Vesnina E.,1.12,5.93
ASB Classic,2013-01-03,Hampton J.,Bertens K.,1.6,2.29
ASB Classic,2013-01-03,Wickmayer Y.,Barthel M.,2.21,1.64
ASB Classic,2013-01-04,Radwanska A.,Hampton J.,1.12,6.04
ASB Classic,2013-01-05,Radwanska A.,Wickmayer Y.,1.25,3.87
Brisbane International,2012-12-30,Radwanska U.,Paszek T.,1.59,2.3
Brisbane International,2012-12-30,Gajdosova J.,Vinci R.,3.81,1.25
Brisbane International,2012-12-30,Pavlyuchenkova A.,Hradecka L.,1.58,2.31
Brisbane International,2012-12-30,Kvitova P.,Suarez Navarro C.,1.27,3.58
Brisbane International,2012-12-30,Hantuchova D.,Dominguez Lino L.,1.32,3.25
Brisbane International,2012-12-30,Williams S.,Lepchenko V.,1.04,10.8
Brisbane International,2012-12-31,Kerber A.,Tatishvili A.,1.09,7.04
Brisbane International,2012-12-31,Lisicki S.,Safarova L.,2.49,1.51
Brisbane International,2012-12-31,Cornet A.,Bobusic B.,1.35,3.09
Brisbane International,2012-12-31,Errani S.,Puchkova O.,1.11,6.13
Brisbane International,2012-12-31,Pervak K.,Wozniacki C.,5.28,1.15
Brisbane International,2012-12-31,Stephens S.,Cibulkova D.,2.45,1.52
Brisbane International,2012-12-31,Puig M.,Rogowska O.,1.47,2.63
Brisbane International,2012-12-31,Arvidsson S.,Stosur S.,3.3,1.31
Brisbane International,2013-01-01,Hantuchova D.,Errani S.,2.95,1.38
Brisbane International,2013-01-01,Pavlyuchenkova A.,Kvitova P.,2.97,1.37
Brisbane International,2013-01-01,Pervak K.,Radwanska U.,2.18,1.65
Brisbane International,2013-01-01,Williams S.,Cornet A.,1.03,12.28
Brisbane International,2013-01-02,Kerber A.,Puig M.,1.13,5.62
Brisbane International,2013-01-02,Stephens S.,Arvidsson S.,1.71,2.07
Brisbane International,2013-01-02,Tsurenko L.,Gajdosova J.,2.35,1.56
Brisbane International,2013-01-02,Azarenka V.,Lisicki S.,1.14,5.3
Brisbane International,2013-01-03,Pavlyuchenkova A.,Kerber A.,2.63,1.46
Brisbane International,2013-01-03,Tsurenko L.,Hantuchova D.,3.87,1.25
Brisbane International,2013-01-03,Azarenka V.,Pervak K.,1.04,11.48
Brisbane International,2013-01-03,Williams S.,Stephens S.,1.04,10.97
Brisbane International,2013-01-04,Williams S.,Azarenka V.,1.47,2.62
Brisbane International,2013-01-04,Pavlyuchenkova A.,Tsurenko L.,1.19,4.54
Brisbane International,2013-01-05,Williams S.,Pavlyuchenkova A.,1.07,8.42
Shenzhen Longgang Gemdale Open,2012-12-30,Beck A.,Muguruza G.,1.48,2.6
Shenzhen Longgang Gemdale Open,2012-12-30,Hsieh S.W.,Czink M.,1.29,3.53
Shenzhen Longgang Gemdale Open,2012-12-30,Niculescu M.,Zheng S.,1.35,3.05
Shenzhen Longgang Gemdale Open,2012-12-30,Robson L.,Gallovits E.,1.21,4.25
Shenzhen Longgang Gemdale Open,2012-12-31,Jovanovski B.,Cadantu A.,1.26,3.72
Shenzhen Longgang Gemdale Open,2012-12-31,Morita A.,Chan Y.J.,1.6,2.27
Shenzhen Longgang Gemdale Open,2012-12-31,Svitolina E.,Peer S.,1.51,2.5
Shenzhen Longgang Gemdale Open,2012-12-31,Cohen J.,Bratchikova N.,2.67,1.45
Shenzhen Longgang Gemdale Open,2012-12-31,Chang K.C.,Soler Espinosa S.,1.56,2.36
Shenzhen Longgang Gemdale Open,2012-12-31,Peng S.,Keothavong A.,1.32,3.31
