Tournament,Date,Winner,Loser,AvgW,AvgL
ASB Classic,2017-12-31,Hsieh S.W.,Hibino N.,1.92,1.86
ASB Classic,2017-12-31,Martic P.,Vondrousova M.,2.53,1.5
ASB Classic,2018-01-01,Flipkens K.,Vekic D.,1.76,2.05
ASB Classic,2018-01-01,Goerges J.,Puig M.,1.48,2.58
ASB Classic,2018-01-01,Kenin S.,Fett J.,2.72,1.44
ASB Classic,2018-01-01,Lepchenko V.,Barthel M.,1.57,2.37
ASB Classic,2018-01-01,Vickery S.,Davis L.,2.14,1.68
ASB Classic,2018-01-02,Cepede Royg V.,Arruabarrena L.,2.14,1.68
ASB Classic,2018-01-02,Bonaventure Y.,Putintseva Y.,1.88,1.89
ASB Classic,2018-01-02,Strycova B.,Errani S.,1.32,3.28
ASB Classic,2018-01-02,Larsson J.,Nara K.,1.79,1.99
ASB Classic,2018-01-02,Townsend T.,Mchale C.,1.96,1.81
ASB Classic,2018-01-02,Hercog P.,Van Uytvanck A.,2.32,1.59
ASB Classic,2018-01-02,Radwanska A.,Haddad Maia B.,1.32,3.3
ASB Classic,2018-01-02,Wozniacki C.,Brengle M.,1.1,6.65
ASB Classic,2018-01-02,Kuzmova V.,Lewis J.,1.04,10.86
ASB Classic,2018-01-02,Hsieh S.W.,Bonaventure Y.,1.83,1.95
ASB Classic,2018-01-02,Strycova B.,Larsson J.,1.37,3.0
ASB Classic,2018-01-03,Kenin S.,Lepchenko V.,2.58,1.49
ASB Classic,2018-01-03,Wozniacki C.,Martic P.,1.12,6.21
ASB Classic,2018-01-03,Vickery S.,Cepede Royg V.,1.55,2.41
ASB Classic,2018-01-03,Hercog P.,Flipkens K.,2.1,1.71
ASB Classic,2018-01-03,Goerges J.,Kuzmova V.,1.17,4.83
ASB Classic,2018-01-03,Radwanska A.,Townsend T.,1.36,3.04
ASB Classic,2018-01-05,Hsieh S.W.,Strycova B.,3.57,1.29
ASB Classic,2018-01-05,Goerges J.,Hercog P.,1.24,4.03
ASB Classic,2018-01-05,Wozniacki C.,Kenin S.,1.07,8.54
ASB Classic,2018-01-06,Vickery S.,Radwanska A.,4.8,1.19
ASB Classic,2018-01-06,Goerges J.,Hsieh S.W.,1.19,4.71
ASB Classic,2018-01-06,Wozniacki C.,Vickery S.,1.16,5.2
ASB Classic,2018-01-07,Goerges J.,Wozniacki C.,2.27,1.63
Brisbane International,2017-12-31,Lucic-Baroni M.,Maria T.,1.61,2.29
Brisbane International,2017-12-31,Cornet A.,Garcia C.,3.06,1.37
Brisbane International,2017-12-31,Krunic A.,Witthoeft C.,1.83,1.96
Brisbane International,2017-12-31,Sevastova A.,Stosur S.,1.52,2.52
Brisbane International,2017-12-31,Tomljanovic A.,Aiava D.,1.49,2.61
Brisbane International,2017-12-31,Konjuh A.,Bertens K.,1.74,2.08
Brisbane International,2018-01-01,Kanepi K.,Kasatkina D.,1.99,1.8
Brisbane International,2018-01-01,Svitolina E.,Suarez Navarro C.,1.31,3.39
Brisbane International,2018-01-01,Cirstea S.,Brady J.,2.03,1.77
Brisbane International,2018-01-01,Sasnovich A.,Mladenovic K.,1.71,2.12
Brisbane International,2018-01-01,Bellis C.,Bondarenko K.,1.73,2.09
Brisbane International,2018-01-01,Konta J.,Keys M.,2.04,1.76
Brisbane International,2018-01-01,Kontaveit A.,Watson H.,1.59,2.34
Brisbane International,2018-01-01,Tsurenko L.,Barty A.,3.77,1.26
Brisbane International,2018-01-02,Krunic A.,Muguruza G.,3.45,1.3
Brisbane International,2018-01-02,Cornet A.,Lucic-Baroni M.,1.6,2.33
Brisbane International,2018-01-02,Sevastova A.,Cirstea S.,1.48,2.61
Brisbane International,2018-01-02,Konta J.,Tomljanovic A.,1.39,2.99
Brisbane International,2018-01-03,Sasnovich A.,Kontaveit A.,2.79,1.43
Brisbane International,2018-01-03,Svitolina E.,Konjuh A.,1.26,3.81
Brisbane International,2018-01-03,Kanepi K.,Tsurenko L.,1.65,2.22
Brisbane International,2018-01-03,Pliskova Ka.,Bellis C.,1.22,4.21
Brisbane International,2018-01-04,Sasnovich A.,Cornet A.,2.52,1.52
Brisbane International,2018-01-04,Svitolina E.,Konta J.,1.48,2.63
Brisbane International,2018-01-04,Sevastova A.,Krunic A.,1.46,2.69
Brisbane International,2018-01-04,Pliskova Ka.,Kanepi K.,1.37,3.09
Brisbane International,2018-01-05,Sasnovich A.,Sevastova A.,3.26,1.34
Brisbane International,2018-01-05,Svitolina E.,Pliskova Ka.,2.03,1.79
Brisbane International,2018-01-06,Svitolina E.,Sasnovich A.,1.17,5.07
Shenzhen Open,2017-12-31,Begu I.,Liu F.,1.41,2.87
Shenzhen Open,2017-12-31,Siniakova K.,Jabeur O.,1.5,2.55
Shenzhen Open,2017-12-31,Linette M.,Cepelova J.,1.67,2.17
Shenzhen Open,2017-12-31,Riske A.,Wang Q.,2.55,1.5
Shenzhen Open,2017-12-31,Sabalenka A.,Niculescu M.,1.66,2.18
Shenzhen Open,2017-12-31,Duan Y.Y.,Rodina E.,1.72,2.09
Shenzhen Open,2018-01-01,Zhang S.,Blinkova A.,1.39,2.9
Shenzhen Open,2018-01-01,Wang Yaf.,Paolini J.,1.56,2.39
Shenzhen Open,2018-01-01,Diyas Z.,Parmentier P.,1.66,2.19
Shenzhen Open,2018-01-01,Kovinic D.,Sakkari M.,2.41,1.55
Shenzhen Open,2018-01-01,Alexandrova E.,Voegele S.,2.21,1.65
Shenzhen Open,2018-01-01,Halep S.,Gibbs N.,1.05,9.23
Shenzhen Open,2018-01-01,Sharapova M.,Buzarnescu M.,1.3,3.45
Shenzhen Open,2018-01-01,Babos T.,Wang Xiyu,1.13,5.62
Shenzhen Open,2018-01-02,Bogdan A.,Giorgi C.,2.22,1.64
Shenzhen Open,2018-01-02,Pliskova Kr.,Ostapenko J.,2.95,1.38
Shenzhen Open,2018-01-02,Diyas Z.,Zhang S.,2.76,1.43
Shenzhen Open,2018-01-02,Sabalenka A.,Kovinic D.,1.38,3.0
Shenzhen Open,2018-01-02,Sharapova M.,Riske A.,1.19,4.64
Shenzhen Open,2018-01-02,Babos T.,Linette M.,1.57,2.36
Shenzhen Open,2018-01-03,Begu I.,Alexandrova E.,1.79,1.99
Shenzhen Open,2018-01-03,Siniakova K.,Wang Yaf.,1.32,3.29
Shenzhen Open,2018-01-03,Halep S.,Duan Y.Y.,1.08,7.65
Shenzhen Open,2018-01-03,Pliskova Kr.,Bogdan A.,1.7,2.12
Shenzhen Open,2018-01-04,Begu I.,Babos T.,2.31,1.6
Shenzhen Open,2018-01-04,Sharapova M.,Diyas Z.,1.19,4.6
Shenzhen Open,2018-01-04,Halep S.,Sabalenka A.,1.3,3.44
Shenzhen Open,2018-01-04,Siniakova K.,Pliskova Kr.,1.79,2.0
