Tournament,Date,Winner,Loser,AvgW,AvgL
Adelaide International 1,2023-01-01,Giron M.,Gasquet R.,1.89,1.89
Adelaide International 1,2023-01-01,Mcdonald M.,Galan D.E.,1.36,3.12
Adelaide International 1,2023-01-02,Kecmanovic M.,O Connell C.,1.58,2.36
Adelaide International 1,2023-01-02,Nishioka Y.,Rune H.,3.56,1.29
Adelaide International 1,2023-01-02,Popyrin A.,Auger-Aliassime F.,6.04,1.13
Adelaide International 1,2023-01-02,Halys Q.,Thompson J.,2.08,1.74
Adelaide International 1,2023-01-02,Safiullin R.,Ymer M.,2.2,1.65
Adelaide International 1,2023-01-02,Draper J.,Kwon S.W.,1.65,2.22
Adelaide International 1,2023-01-02,Kokkinakis T.,Cressy M.,1.9,1.89
Adelaide International 1,2023-01-03,Medvedev D.,Sonego L.,1.12,6.15
Adelaide International 1,2023-01-03,Khachanov K.,Cachin P.,1.18,4.84
Adelaide International 1,2023-01-03,Djokovic N.,Lestienne C.,1.02,13.52
Adelaide International 1,2023-01-03,Sinner J.,Edmund K.,1.12,6.04
Adelaide International 1,2023-01-03,Shapovalov D.,Hijikata R.,1.26,3.82
Adelaide International 1,2023-01-03,Bautista Agut R.,Rublev A.,2.71,1.46
Adelaide International 1,2023-01-03,Korda S.,Murray A.,1.58,2.36
Adelaide International 1,2023-01-04,Khachanov K.,Draper J.,2.25,1.63
Adelaide International 1,2023-01-04,Nishioka Y.,Mcdonald M.,1.64,2.24
Adelaide International 1,2023-01-04,Medvedev D.,Kecmanovic M.,1.16,5.24
Adelaide International 1,2023-01-04,Popyrin A.,Giron M.,1.74,2.09
Adelaide International 1,2023-01-05,Shapovalov D.,Safiullin R.,1.45,2.73
Adelaide International 1,2023-01-05,Djokovic N.,Halys Q.,1.02,14.1
Adelaide International 1,2023-01-05,Korda S.,Bautista Agut R.,1.79,2.01
Adelaide International 1,2023-01-05,Sinner J.,Kokkinakis T.,1.24,3.92
Adelaide International 1,2023-01-06,Nishioka Y.,Popyrin A.,1.68,2.16
Adelaide International 1,2023-01-06,Korda S.,Sinner J.,2.44,1.55
Adelaide International 1,2023-01-06,Medvedev D.,Khachanov K.,1.24,3.97
Adelaide International 1,2023-01-06,Djokovic N.,Shapovalov D.,1.15,5.34
Adelaide International 1,2023-01-07,Korda S.,Nishioka Y.,1.33,3.25
Adelaide International 1,2023-01-07,Djokovic N.,Medvedev D.,1.54,2.46
Adelaide International 1,2023-01-08,Djokovic N.,Korda S.,1.15,5.55
Maharashtra Open,2023-01-02,Bonzi B.,Tseng C.H.,1.4,2.91
Maharashtra Open,2023-01-02,Carballes Baena R.,Zapata Miralles B.,2.01,1.78
Maharashtra Open,2023-01-02,Mmoh M.,Dhamne M.,1.01,22.04
Maharashtra Open,2023-01-02,Griekspoor T.,Munar J.,1.82,1.97
Maharashtra Open,2023-01-02,Djere L.,Molcan A.,1.88,1.9
Maharashtra Open,2023-01-02,Cecchinato M.,Basilashvili N.,2.76,1.44
Maharashtra Open,2023-01-02,Krajinovic F.,Nagal S.,1.25,3.89
Maharashtra Open,2023-01-03,Van Rijthoven T.,Albot R.,1.79,2.01
Maharashtra Open,2023-01-03,Marterer M.,Ymer E.,2.04,1.77
Maharashtra Open,2023-01-03,Martinez P.,Ramanathan R.,1.63,2.25
Maharashtra Open,2023-01-03,Karatsev A.,Andujar P.,1.29,3.52
Maharashtra Open,2023-01-03,Cobolli F.,Mukund S.,1.34,3.19
Maharashtra Open,2023-01-04,Marterer M.,Djere L.,2.38,1.56
Maharashtra Open,2023-01-04,Karatsev A.,Van Rijthoven T.,1.67,2.19
Maharashtra Open,2023-01-04,Martinez P.,Baez S.,1.91,1.88
Maharashtra Open,2023-01-04,Griekspoor T.,Cecchinato M.,1.29,3.52
Maharashtra Open,2023-01-04,Van De Zandschulp B.,Cobolli F.,1.27,3.72
Maharashtra Open,2023-01-04,Bonzi B.,Ruusuvuori E.,2.27,1.62
Maharashtra Open,2023-01-04,Krajinovic F.,Mmoh M.,1.79,2.01
Maharashtra Open,2023-01-04,Cilic M.,Carballes Baena R.,1.21,4.28
Maharashtra Open,2023-01-05,Karatsev A.,Martinez P.,1.48,2.63
Maharashtra Open,2023-01-05,Griekspoor T.,Cilic M.,2.79,1.43
Maharashtra Open,2023-01-05,Van De Zandschulp B.,Marterer M.,1.42,2.83
Maharashtra Open,2023-01-05,Bonzi B.,Krajinovic F.,1.53,2.48
Maharashtra Open,2023-01-06,Griekspoor T.,Karatsev A.,2.46,1.54
Maharashtra Open,2023-01-06,Bonzi B.,Van De Zandschulp B.,2.22,1.65
Maharashtra Open,2023-01-07,Griekspoor T.,Bonzi B.,2.24,1.64
Adelaide International 2,2023-01-09,Mcdonald M.,Evans D.,2.51,1.51
Adelaide International 2,2023-01-09,Draper J.,Sonego L.,1.44,2.75
Adelaide International 2,2023-01-09,Kecmanovic M.,Edmund K.,1.2,4.53
Adelaide International 2,2023-01-09,Davidovich Fokina A.,Nakashima B.,2.79,1.43
Adelaide International 2,2023-01-09,Kokkinakis T.,Popyrin A.,1.7,2.14
Adelaide International 2,2023-01-10,Paul T.,O Connell C.,1.45,2.71
Adelaide International 2,2023-01-10,Millman J.,Ramos-Vinolas A.,1.56,2.41
Adelaide International 2,2023-01-10,Haase R.,Bonzi B.,,
Adelaide International 2,2023-01-10,Huesler M.A.,Rinderknech A.,2.14,1.69
Adelaide International 2,2023-01-10,Kwon S.W.,Machac T.,1.87,1.92
Adelaide International 2,2023-01-10,Ymer M.,Ruusuvuori E.,1.73,2.09
Adelaide International 2,2023-01-10,Kubler J.,Etcheverry T.,1.42,2.85
Adelaide International 2,2023-01-11,Davidovich Fokina A.,Millman J.,1.43,2.81
Adelaide International 2,2023-01-11,Draper J.,Paul T.,1.81,2.0
Adelaide International 2,2023-01-11,Khachanov K.,Huesler M.A.,1.35,3.19
Adelaide International 2,2023-01-11,Ymer M.,Mcdonald M.,1.68,2.19
Adelaide International 2,2023-01-11,Kwon S.W.,Carreno Busta P.,2.55,1.52
Adelaide International 2,2023-01-11,Bautista Agut R.,Haase R.,1.09,7.29
Adelaide International 2,2023-01-11,Kecmanovic M.,Kubler J.,1.52,2.47
Adelaide International 2,2023-01-11,Kokkinakis T.,Rublev A.,3.28,1.33
Adelaide International 2,2023-01-12,Draper J.,Khachanov K.,1.91,1.88
Adelaide International 2,2023-01-12,Kwon S.W.,Ymer M.,2.17,1.68
Adelaide International 2,2023-01-12,Bautista Agut R.,Davidovich Fokina A.,1.64,2.23
Adelaide International 2,2023-01-12,Kokkinakis T.,Kecmanovic M.,1.65,2.22
Adelaide International 2,2023-01-13,Kwon S.W.,Draper J.,3.07,1.37
Adelaide International 2,2023-01-13,Bautista Agut R.,Kokkinakis T.,1.83,1.97
Adelaide International 2,2023-01-14,Kwon S.W.,Bautista Agut R.,2.58,1.5
ASB Classic,2023-01-08,Lestienne C.,Cachin P.,1.64,2.23
ASB Classic,2023-01-09,Goffin D.,Bublik A.,2.13,1.7
ASB Classic,2023-01-09,Brooksby J.,Fognini F.,1.39,2.94
ASB Classic,2023-01-09,Gasquet R.,Pannu K.,1.05,9.76
ASB Classic,2023-01-09,Wolf J.J.,Mannarino A.,2.03,1.77
ASB Classic,2023-01-09,Barrere G.,Isner J.,2.42,1.55
ASB Classic,2023-01-09,Giron M.,Coria F.,1.19,4.71
ASB Classic,2023-01-10,Eubanks C.,Humbert U.,2.1,1.72
ASB Classic,2023-01-10,Halys Q.,Molcan A.,1.39,2.93
ASB Classic,2023-01-10,Lehecka J.,Monteiro T.,1.54,2.43
ASB Classic,2023-01-10,Shelton B.,Baez S.,1.43,2.79
ASB Classic,2023-01-10,Djere L.,Munar J.,1.75,2.06
ASB Classic,2023-01-10,Giron M.,Wolf J.J.,2.22,1.65
ASB Classic,2023-01-10,Brooksby J.,Schwartzman D.,1.52,2.51
ASB Classic,2023-01-11,Norrie C.,Lehecka J.,1.28,3.68
ASB Classic,2023-01-11,Gasquet R.,Sousa J.,1.41,2.89
ASB Classic,2023-01-11,Halys Q.,Shelton B.,1.73,2.11
ASB Classic,2023-01-11,Goffin D.,Eubanks C.,1.54,2.46
ASB Classic,2023-01-11,Lestienne C.,Barrere G.,1.86,1.93
ASB Classic,2023-01-11,Djere L.,Ruud C.,4.82,1.18
ASB Classic,2023-01-12,Norrie C.,Giron M.,1.31,3.47
ASB Classic,2023-01-12,Brooksby J.,Halys Q.,1.86,1.93
ASB Classic,2023-01-12,Gasquet R.,Goffin D.,2.27,1.62
ASB Classic,2023-01-12,Lestienne C.,Djere L.,2.16,1.69
ASB Classic,2023-01-13,Norrie C.,Brooksby J.,1.35,3.15
ASB Classic,2023-01-13,Gasquet R.,Lestienne C.,1.47,2.7
ASB Classic,2023-01-14,Gasquet R.,Norrie C.,3.83,1.26
Australian Open,2023-01-16,Moutet C.,Wu Y.,2.33,1.61
Australian Open,2023-01-16,Watanuki Y.,Rinderknech A.,2.28,1.64
Australian Open,2023-01-16,Van De Zandschulp B.,Ivashka I.,1.39,3.03
Australian Open,2023-01-16,Etcheverry T.,Barrere G.,2.36,1.6
Australian Open,2023-01-16,Sinner J.,Edmund K.,1.05,11.18
Australian Open,2023-01-16,Cerundolo F.,Pella G.,1.15,5.58
Australian Open,2023-01-16,Shang J.,Otte O.,2.79,1.44
Australian Open,2023-01-16,Hurkacz H.,Martinez P.,1.05,10.6
Australian Open,2023-01-16,Korda S.,Garin C.,1.08,8.1
Australian Open,2023-01-16,Nishioka Y.,Ymer M.,1.94,1.86
Australian Open,2023-01-16,Shapovalov D.,Lajovic D.,1.08,8.01
Australian Open,2023-01-16,Griekspoor T.,Kotov P.,1.37,3.13
Australian Open,2023-01-16,Mcdonald M.,Nakashima B.,2.54,1.52
Australian Open,2023-01-16,Khachanov K.,Zapata Miralles B.,1.06,9.77
Australian Open,2023-01-16,Tiafoe F.,Altmaier D.,1.1,7.19
Australian Open,2023-01-16,Nadal R.,Draper J.,1.39,3.02
Australian Open,2023-01-16,Daniel T.,Escobedo E.,1.57,2.43
Australian Open,2023-01-16,Sonego L.,Borges N.,1.34,3.27
Australian Open,2023-01-16,Lehecka J.,Coric B.,3.2,1.35
Australian Open,2023-01-16,Kubler J.,Baez S.,1.33,3.38
Australian Open,2023-01-16,Svrcina D.,Munar J.,2.64,1.48
Australian Open,2023-01-16,Millman J.,Huesler M.A.,2.18,1.69
