Tournament,Date,Winner,Loser,AvgW,AvgL
Antalya Open,2021-01-07,Basilashvili N.,Arnaboldi A.,1.56,2.42
Antalya Open,2021-01-07,Celikbilek A.,Zuk K.,2.57,1.5
Antalya Open,2021-01-07,Ruusuvuori E.,Vesely J.,1.52,2.53
Antalya Open,2021-01-07,Bublik A.,Caruso S.,1.72,2.11
Antalya Open,2021-01-07,Goffin D.,Herbert P.H.,1.44,2.78
Antalya Open,2021-01-07,Travaglia S.,Kecmanovic M.,2.71,1.45
Antalya Open,2021-01-08,Struff J.L.,Kotov P.,1.22,4.16
Antalya Open,2021-01-08,Lamasine T.,Gerasimov E.,5.12,1.16
Antalya Open,2021-01-08,Andreev A.,Ilhan M.,1.22,4.24
Antalya Open,2021-01-08,Grenier H.,Molcan A.,1.87,1.92
Antalya Open,2021-01-08,Berrettini M.,Kirkin E.,1.02,13.94
Antalya Open,2021-01-08,Chardy J.,Albot R.,2.11,1.71
Antalya Open,2021-01-08,De Minaur A.,Jaziri M.,1.03,12.68
Antalya Open,2021-01-08,Kuhn N.,Bachinger M.,2.42,1.56
Antalya Open,2021-01-08,Fognini F.,Vrbensky M.,1.43,2.8
Antalya Open,2021-01-08,Kuzmanov D.,Djere L.,2.6,1.49
Antalya Open,2021-01-09,De Minaur A.,Andreev A.,1.07,8.57
Antalya Open,2021-01-09,Basilashvili N.,Celikbilek A.,1.41,2.87
Antalya Open,2021-01-09,Travaglia S.,Ruusuvuori E.,2.61,1.49
Antalya Open,2021-01-09,Goffin D.,Kuhn N.,1.1,6.82
Antalya Open,2021-01-10,Chardy J.,Fognini F.,2.2,1.66
Antalya Open,2021-01-10,Bublik A.,Lamasine T.,1.21,4.35
Antalya Open,2021-01-10,Struff J.L.,Grenier H.,1.2,4.54
Antalya Open,2021-01-10,Berrettini M.,Kuzmanov D.,1.07,8.72
Antalya Open,2021-01-11,Goffin D.,Travaglia S.,1.34,3.25
Antalya Open,2021-01-11,Chardy J.,Struff J.L.,2.65,1.48
Antalya Open,2021-01-11,Bublik A.,Berrettini M.,3.49,1.3
Antalya Open,2021-01-11,De Minaur A.,Basilashvili N.,1.11,6.76
Antalya Open,2021-01-12,De Minaur A.,Goffin D.,1.57,2.41
Antalya Open,2021-01-12,Bublik A.,Chardy J.,1.44,2.8
Antalya Open,2021-01-13,De Minaur A.,Bublik A.,1.21,4.43
Delray Beach Open,2021-01-07,Monteiro T.,Bellucci T.,1.36,3.1
Delray Beach Open,2021-01-07,Paul T.,Nam J.S.,1.13,6.0
Delray Beach Open,2021-01-07,Mager G.,Harrison R.,2.18,1.68
Delray Beach Open,2021-01-07,Korda S.,Kwon S.W.,1.74,2.09
Delray Beach Open,2021-01-08,Querrey S.,Mcdonald M.,1.87,1.92
Delray Beach Open,2021-01-08,Harrison C.,Etcheverry T.,1.39,3.01
Delray Beach Open,2021-01-08,Galan D.E.,Martin A.,1.46,2.7
Delray Beach Open,2021-01-08,Quiroz R.,Rubin N.,2.07,1.76
Delray Beach Open,2021-01-08,Fratangelo B.,King K.,1.5,2.57
Delray Beach Open,2021-01-08,Norrie C.,Aragone J.C.,1.18,4.85
Delray Beach Open,2021-01-08,Karlovic I.,Andujar P.,2.72,1.46
Delray Beach Open,2021-01-09,Tiafoe F.,Young D.,1.19,4.69
Delray Beach Open,2021-01-09,Mager G.,Querrey S.,3.84,1.25
Delray Beach Open,2021-01-09,Harrison C.,Garin C.,2.55,1.51
Delray Beach Open,2021-01-09,Korda S.,Paul T.,2.45,1.54
Delray Beach Open,2021-01-10,Isner J.,Monteiro T.,1.47,2.67
Delray Beach Open,2021-01-10,Hurkacz H.,Galan D.E.,1.36,3.12
Delray Beach Open,2021-01-10,Tiafoe F.,Fratangelo B.,1.29,3.53
Delray Beach Open,2021-01-10,Quiroz R.,Karlovic I.,2.22,1.66
Delray Beach Open,2021-01-11,Norrie C.,Mannarino A.,1.84,1.95
Delray Beach Open,2021-01-11,Harrison C.,Mager G.,1.69,2.18
Delray Beach Open,2021-01-11,Hurkacz H.,Quiroz R.,1.15,5.4
Delray Beach Open,2021-01-11,Korda S.,Isner J.,2.1,1.74
Delray Beach Open,2021-01-12,Norrie C.,Tiafoe F.,2.04,1.78
Delray Beach Open,2021-01-12,Hurkacz H.,Harrison C.,1.37,3.13
Delray Beach Open,2021-01-13,Korda S.,Norrie C.,1.69,2.17
Delray Beach Open,2021-01-13,Hurkacz H.,Korda S.,1.81,2.0
Great Ocean Road Open,2021-01-31,Vukic A.,Lu Y.,1.17,4.95
Great Ocean Road Open,2021-01-31,Majchrzak K.,Djere L.,1.44,2.76
Great Ocean Road Open,2021-01-31,Bedene A.,Uchiyama Y.,1.33,3.29
