Tournament,Date,Winner,Loser,AvgW,AvgL
Next Generation Adelaide International,31/12/2007,Querrey S.,Darcis S.,1.59,2.33
Next Generation Adelaide International,31/12/2007,Sirianni J.,Stepanek R.,5.95,1.13
Next Generation Adelaide International,31/12/2007,Russell M.,Del Potro J.M.,3.57,1.29
Next Generation Adelaide International,31/12/2007,Becker B.,Smeets R.,1.43,2.79
Next Generation Adelaide International,31/12/2007,Zverev M.,Mayer F.,1.84,1.93
Next Generation Adelaide International,31/12/2007,Llodra M.,Simon G.,2.42,1.55
Next Generation Adelaide International,01/01/2008,Mathieu P.H.,Benneteau J.,1.49,2.6
Next Generation Adelaide International,01/01/2008,Korolev E.,Jones A.,,
Next Generation Adelaide International,01/01/2008,Guccione C.,Odesnik W.,1.6,2.31
Next Generation Adelaide International,01/01/2008,Nieminen J.,Klec I.,1.18,4.67
Next Generation Adelaide International,01/01/2008,Tsonga J.W.,Hanescu V.,1.32,3.37
Next Generation Adelaide International,01/01/2008,Spadea V.,Grosjean S.,2.84,1.42
Next Generation Adelaide International,01/01/2008,Acasuso J.,Falla A.,1.86,1.9
Next Generation Adelaide International,01/01/2008,Hewitt L.,Sela D.,1.18,4.83
Next Generation Adelaide International,01/01/2008,Dancevic F.,Bolelli S.,1.61,2.28
Next Generation Adelaide International,01/01/2008,Gulbis E.,Golubev A.,1.44,2.77
Next Generation Adelaide International,02/01/2008,Sirianni J.,Querrey S.,3.22,1.34
Next Generation Adelaide International,02/01/2008,Becker B.,Russell M.,2.13,1.69
Next Generation Adelaide International,02/01/2008,Mathieu P.H.,Guccione C.,1.4,2.9
Next Generation Adelaide International,02/01/2008,Llodra M.,Korolev E.,1.8,1.96
Next Generation Adelaide International,03/01/2008,Nieminen J.,Dancevic F.,1.47,2.64
Next Generation Adelaide International,03/01/2008,Hewitt L.,Acasuso J.,1.21,4.43
Next Generation Adelaide International,03/01/2008,Spadea V.,Zverev M.,2.04,1.75
Next Generation Adelaide International,03/01/2008,Tsonga J.W.,Gulbis E.,1.54,2.43
Next Generation Adelaide International,04/01/2008,Llodra M.,Becker B.,1.84,1.91
Next Generation Adelaide International,04/01/2008,Sirianni J.,Mathieu P.H.,4.73,1.19
Next Generation Adelaide International,04/01/2008,Tsonga J.W.,Hewitt L.,3.73,1.27
Next Generation Adelaide International,04/01/2008,Nieminen J.,Spadea V.,1.32,3.42
Next Generation Adelaide International,05/01/2008,Llodra M.,Sirianni J.,1.53,2.48
Next Generation Adelaide International,05/01/2008,Nieminen J.,Tsonga J.W.,2.2,1.66
Next Generation Adelaide International,06/01/2008,Llodra M.,Nieminen J.,3.11,1.37
Chennai Open,31/12/2007,Malisse X.,Muller G.,1.51,2.54
Chennai Open,31/12/2007,Melzer J.,Capdeville P.,1.44,2.74
Chennai Open,31/12/2007,Serra F.,Navarro-Pastor I.,1.45,2.69
Chennai Open,31/12/2007,Roger-Vasselin E.,Vardhan V.,,
Chennai Open,31/12/2007,Youzhny M.,Vanek J.,1.13,5.9
Chennai Open,01/01/2008,Eschauer W.,Salva B.,1.46,2.66
Chennai Open,01/01/2008,Vliegen K.,Gicquel M.,2.1,1.72
Chennai Open,01/01/2008,Haase R.,Baghdatis M.,4.14,1.23
Chennai Open,01/01/2008,Garcia-Lopez G.,Peya A.,1.6,2.35
Chennai Open,01/01/2008,Zovko L.,Ascione T.,3.14,1.37
Chennai Open,01/01/2008,Nadal R.,Montcourt M.,1.03,14.25
Chennai Open,01/01/2008,Ram R.,Schukin Y.,1.59,2.42
Chennai Open,01/01/2008,Mahut N.,Haase R.,,
Chennai Open,01/01/2008,Moya C.,Gabashvili T.,1.05,9.79
Chennai Open,01/01/2008,Cilic M.,Troicki V.,1.49,2.58
Chennai Open,01/01/2008,Kudryavtsev A.,Amritraj P.,1.53,2.37
Chennai Open,02/01/2008,Youzhny M.,Roger-Vasselin E.,1.12,6.3
Chennai Open,02/01/2008,Serra F.,Vliegen K.,2.03,1.76
Chennai Open,02/01/2008,Malisse X.,Melzer J.,1.63,2.24
Chennai Open,02/01/2008,Moya C.,Kudryavtsev A.,1.05,10.24
Chennai Open,03/01/2008,Garcia-Lopez G.,Eschauer W.,1.41,2.88
Chennai Open,03/01/2008,Cilic M.,Mahut N.,2.25,1.63
Chennai Open,03/01/2008,Nadal R.,Ram R.,1.01,19.4
Chennai Open,03/01/2008,Haase R.,Zovko L.,1.29,3.59
Chennai Open,04/01/2008,Moya C.,Serra F.,1.33,3.35
Chennai Open,04/01/2008,Nadal R.,Garcia-Lopez G.,1.03,14.65
Chennai Open,04/01/2008,Cilic M.,Haase R.,1.6,2.3
Chennai Open,04/01/2008,Youzhny M.,Malisse X.,1.85,1.91
Chennai Open,05/01/2008,Youzhny M.,Cilic M.,1.3,3.5
Chennai Open,05/01/2008,Nadal R.,Moya C.,1.18,4.7
Chennai Open,06/01/2008,Youzhny M.,Nadal R.,2.82,1.42
Qatar Exxon Mobil Open,31/12/2007,Volandri F.,Hartfield D.,1.86,1.92
Qatar Exxon Mobil Open,31/12/2007,Johansson T.,Andreev I.,2.1,1.71
Qatar Exxon Mobil Open,31/12/2007,Kohlschreiber P.,Hernandez O.,1.12,6.27
Qatar Exxon Mobil Open,31/12/2007,Berrer M.,Haji A.,1.04,15.08
Qatar Exxon Mobil Open,31/12/2007,Lee H.T.,Mirnyi M.,1.53,2.45
Qatar Exxon Mobil Open,31/12/2007,Santoro F.,Seppi A.,1.74,2.05
Qatar Exxon Mobil Open,31/12/2007,Ljubicic I.,Koubek S.,1.56,2.39
Qatar Exxon Mobil Open,01/01/2008,Murray A.,Rochus O.,1.19,4.54
Qatar Exxon Mobil Open,01/01/2008,Schuettler R.,Pavel A.,2.04,1.76
Qatar Exxon Mobil Open,01/01/2008,Tipsarevic J.,Ventura S.,1.19,4.61
Qatar Exxon Mobil Open,01/01/2008,Calleri A.,Robredo T.,2.67,1.46
Qatar Exxon Mobil Open,01/01/2008,Wawrinka S.,Martin A.,1.23,4.22
Qatar Exxon Mobil Open,01/01/2008,Davydenko N.,Dorsch B.,1.1,7.05
Qatar Exxon Mobil Open,01/01/2008,Kiefer N.,de Chaunac S.,1.14,5.49
Qatar Exxon Mobil Open,01/01/2008,Rochus C.,Karlovic I.,5.15,1.16
Qatar Exxon Mobil Open,01/01/2008,Tursunov D.,Montanes A.,1.14,5.56
Qatar Exxon Mobil Open,02/01/2008,Johansson T.,Berrer M.,1.43,2.79
Qatar Exxon Mobil Open,02/01/2008,Kohlschreiber P.,Volandri F.,1.23,4.16
Qatar Exxon Mobil Open,02/01/2008,Ljubicic I.,Tipsarevic J.,1.3,3.51
Qatar Exxon Mobil Open,02/01/2008,Tursunov D.,Kiefer N.,2.12,1.69
Qatar Exxon Mobil Open,02/01/2008,Wawrinka S.,Rochus C.,1.21,4.31
Qatar Exxon Mobil Open,02/01/2008,Murray A.,Schuettler R.,1.09,7.75
Qatar Exxon Mobil Open,02/01/2008,Calleri A.,Lee H.T.,1.69,2.13
Qatar Exxon Mobil Open,02/01/2008,Davydenko N.,Santoro F.,1.16,5.27
Qatar Exxon Mobil Open,03/01/2008,Ljubicic I.,Kohlschreiber P.,1.52,2.52
Qatar Exxon Mobil Open,03/01/2008,Murray A.,Johansson T.,1.23,4.14
Qatar Exxon Mobil Open,03/01/2008,Wawrinka S.,Calleri A.,1.66,2.2
